B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0435617609828	0.0	0.213884411172	0.613827896124	0.128725931721
mix_2	0.0343814544717	0.0	0.17283177814	0.771033896198	0.0217528711904
mix_3	0.421846681433	0.174220867725	0.266460717703	0.137471733139	0.0
mix_4	0.426768386405	0.0	0.27096767777	0.302263935825	0.0
mix_5	0.293186937447	0.0	0.351878520503	0.245659857617	0.109274684433
mix_6	0.249258064091	0.0	0.270132983214	0.480608952694	0.0
mix_7	0.519032467194	0.0	0.283597853185	0.145189578321	0.0521801013006
mix_8	0.40798423339	0.0821865838082	0.0116950584911	0.498134124311	0.0
mix_9	0.0794054142518	0.0	0.298916600686	0.482242859561	0.139435125501
mix_10	0.609426696911	0.09358822386	0.0716085092912	0.225376569938	0.0
mix_11	0.0833581633912	0.0248138124395	0.151780044721	0.71342538484	0.0266225946077
mix_12	0.0214603232273	0.0531424302559	0.212957463528	0.712439782989	0.0
mix_13	0.567333374758	0.0	0.226363594975	0.126970065073	0.0793329651945
mix_14	0.644376830355	0.0270423746821	0.133993504536	0.194587290426	0.0
mix_15	0.422529435214	0.0	0.239158625484	0.0393375976287	0.298974341673
mix_16	0.420834502524	0.11341907628	0.206906670763	0.258839750432	0.0
mix_17	0.791543815239	0.0705608852936	0.137895299468	0.0	0.0
mix_18	0.0817264020525	0.00752547495724	0.120224236849	0.790523886142	0.0
mix_19	0.369596062776	0.0	0.209966075439	0.420437861785	0.0
mix_20	0.291571649841	0.0952056327124	0.492196937434	0.00972343258702	0.111302347425
mix_21	0.509808361968	0.0495354536112	0.232656541687	0.207999642733	0.0
mix_22	0.390263727802	0.0	0.201896851999	0.30640977281	0.101429647389
mix_23	0.489384832172	0.0789093335763	0.0674437261396	0.364262108112	0.0
mix_24	0.0155820278288	0.0	0.122967641174	0.779563277652	0.0818870533451
mix_25	0.0971505598206	0.247436003273	0.0749141466198	0.580499290287	0.0
mix_26	0.111499487074	0.0945216083954	0.357669746387	0.0426822110772	0.393626947066
mix_27	0.37330466383	0.0	0.0262717706436	0.492049010411	0.108374555116
mix_28	0.438175600872	0.0970409919782	0.378988341397	0.0	0.0857950657525
mix_29	0.212367851333	0.0	0.29129790918	0.438234343335	0.0580998961524
mix_30	0.325395551322	0.0	0.265896264954	0.408708183724	0.0
mix_31	0.208613396001	0.134574394279	0.145835899245	0.510976310476	0.0
mix_32	0.341709012211	0.0203870513244	0.310150690376	0.32615314268	0.00160010340864
mix_33	0.327509447961	0.00475571174535	0.199003707221	0.468731133072	0.0
mix_34	0.0238434466349	0.00117039515749	0.206414663593	0.706347490303	0.0622240043112
mix_35	0.166546457824	0.0	0.270253395528	0.543534648841	0.0196654978074
mix_36	0.578716757361	0.126696167306	0.132437279893	0.16214979544	0.0
mix_37	0.552053403767	0.159405276911	0.0707670922056	0.217774227116	0.0
mix_38	0.24063046255	0.15567573066	0.326730662515	0.064035446868	0.212927697408
mix_39	0.480249598951	0.0	0.294805335201	0.0432722563825	0.181672809466
mix_40	0.354100386522	0.0903099648261	0.0959166242684	0.459673024383	0.0
mix_41	0.0797201253988	0.0	0.237434684286	0.600439978733	0.0824052115824
mix_42	0.65023344239	0.0458051532071	0.302971882701	0.0	0.000989521701457
mix_43	0.0280192948006	0.0	0.437016235345	0.313127277048	0.221837192806
mix_44	0.13132143366	0.137597920721	0.31731872543	0.253803488982	0.159958431207
mix_45	0.0331448410111	0.345997904588	0.0550248599926	0.565832394408	0.0
mix_46	0.357473124668	0.0	0.445491205528	0.110872008891	0.086163660912
mix_47	0.369066031062	0.0824552837363	0.0949308233129	0.453547861889	0.0
mix_48	0.341087863749	0.0	0.0	0.513212841213	0.145699295039
mix_49	0.328942122931	0.0	0.160432569707	0.435718881031	0.0749064263306
mix_50	0.566355421639	0.260135983231	0.0812808477535	0.0922277473763	0.0
mix_51	0.336999773777	0.0	0.078514794	0.483373356096	0.101112076128
mix_52	0.611912357847	0.0	0.281036287203	0.0	0.10705135495
mix_53	0.347352318581	0.0	0.143951102629	0.470377780951	0.0383187978392
mix_54	0.656002725228	0.0211723633304	0.311943602453	0.0108813089885	0.0
mix_55	0.338664041875	0.0	0.17426182635	0.467863950827	0.0192101809478
mix_56	0.302417006022	0.316892889209	0.0325095691937	0.348180535575	0.0
mix_57	0.00575226669286	0.0730958668034	0.24568242444	0.584174009792	0.0912954322719
mix_58	0.331541820372	0.0	0.344294240737	0.226333911729	0.0978300271628
mix_59	0.0132500739027	0.0	0.282277614213	0.627717894832	0.076754417052
mix_60	0.538002960209	0.0779811211537	0.0745460707502	0.309469847887	0.0
mix_61	0.574526759155	0.331511753481	0.0939614873641	0.0	0.0
mix_62	0.459396648711	0.109816533787	0.292621879271	0.0381920422942	0.0999728959367
mix_63	0.0586131320276	0.0553902491287	0.226389924729	0.649533758467	0.0100729356478
mix_64	0.375723804184	0.12868883199	0.0100311818896	0.485556181936	0.0
mix_65	0.234632605948	0.0	0.261582024231	0.233654966425	0.270130403397
mix_66	0.324944538399	0.0	0.0813808069324	0.488291746284	0.105382908384
mix_67	0.539442092383	0.0	0.323917592195	0.0	0.136640315422
mix_68	0.155095239188	0.0	0.455145600661	0.135794837781	0.25396432237
mix_69	0.346496941443	0.0812884478359	0.058024700169	0.514189910552	0.0
mix_70	0.460990290078	0.0	0.0	0.191452598548	0.347557111374
mix_71	0.411144020418	0.0	0.0274591585823	0.561396820999	0.0
mix_72	0.753053322702	0.0820737104796	0.0876104630429	0.0772625037758	0.0
mix_73	0.479071798388	0.0	0.140968154322	0.153528204943	0.226431842347
mix_74	0.462344842569	0.0102509351972	0.202390537174	0.325013685059	0.0
mix_75	0.308427864086	0.0	0.103836492526	0.553611181462	0.0341244619269
mix_76	0.153591267116	0.0195371952999	0.426743260334	0.249025012978	0.151103264272
mix_77	0.276063543056	0.217547473616	0.362459613022	0.0416648454248	0.102264524881
mix_78	0.275734974065	0.0	0.20479707161	0.495073637412	0.0243943169128
mix_79	0.082253877587	0.0645957344947	0.164068139886	0.689082248032	0.0
mix_80	0.543718017498	0.136901344361	0.0838791987373	0.235501439404	0.0
mix_81	0.333916260032	0.330869651464	0.0531949643951	0.282019124109	0.0
mix_82	0.376536333896	0.0	0.180859998403	0.442603667701	0.0
mix_83	0.258784241186	0.0	0.152758052789	0.568261468581	0.020196237444
mix_84	0.409443797723	0.159440272051	0.110870916806	0.320245013421	0.0
mix_85	0.307381432102	0.22322487575	0.120349242997	0.349044449152	0.0
mix_86	0.199611519825	0.186861413526	0.337761248443	0.160833398912	0.114932419294
mix_87	0.218409871769	0.270089933912	0.0220287990067	0.489471395312	0.0
mix_88	0.397952341633	0.0121028058059	0.345605325158	0.198811743985	0.045527783418
mix_89	0.390172090356	0.107864856037	0.370217821049	0.0849540938442	0.0467911387133
mix_90	0.164727195674	0.171572132962	0.111158007213	0.552542664151	0.0
mix_91	0.244283621976	0.0	0.136087933454	0.52113113587	0.098497308701
mix_92	0.312020750131	0.143823588696	0.0794260293395	0.464729631834	0.0
mix_93	0.0294366189343	0.0	0.117131459901	0.84694360382	0.00648831734507
mix_94	0.00321892111816	0.0	0.187631236274	0.637347266654	0.171802575954
mix_95	0.340501094707	0.0	0.0658431881946	0.434106290716	0.159549426383
mix_96	0.262978678423	0.0	0.0733479766193	0.376417120017	0.287256224941
mix_97	0.231037362374	0.0203554420351	0.190194561249	0.558412634343	0.0
mix_98	0.356126641579	0.0717806695695	0.0934216602533	0.478671028598	0.0
mix_99	0.360617709797	0.405373406767	0.234008883436	0.0	0.0
mix_100	0.345619330457	0.122216506673	0.114337182481	0.41782698039	0.0
