B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0971603901856	0.449018365423	0.345249173742	0.0	0.0	0.0360302826113	0.0725417880385
mix_2	0.153800772607	0.478203579052	0.210414797706	0.0	0.0	0.000504470510712	0.157076380124
mix_3	0.161865594458	0.469809760522	0.0395257620123	0.0	0.0	0.159987039985	0.168811843022
mix_4	0.116212747332	0.56640476531	0.234639525291	0.0	0.0	0.0	0.0827429620665
mix_5	0.117685766864	0.489829930668	0.222387979899	0.0	0.0	0.0537041093893	0.116392213179
mix_6	0.118915463593	0.542887704708	0.265351234757	0.0	0.0	0.00151638631682	0.0713292106256
mix_7	0.129735256714	0.454660032639	0.168331012767	0.0	0.0	0.0906556643243	0.156618033556
mix_8	0.120895086314	0.447549755202	0.226828729949	0.0	0.0	0.0593863208674	0.145340107668
mix_9	0.105469148952	0.554563919123	0.298324136774	0.0	0.0	0.0	0.0416427951511
mix_10	0.138461870447	0.65266015297	0.050967336975	0.0	0.0	0.0430579238476	0.114852715761
mix_11	0.126193904179	0.483296578711	0.316341152343	0.0	0.0	0.0	0.0741683647671
mix_12	0.0979412148375	0.533499794117	0.213922171221	0.0	0.0	0.0531787628171	0.101458057007
mix_13	0.108296393922	0.655029546019	0.147103009917	0.0	0.0	0.00898389633024	0.0805871538112
mix_14	0.117138858327	0.615430857392	0.206498153764	0.0	0.0	0.0028437315233	0.0580883989938
mix_15	0.124402978309	0.506210208225	0.22112657738	0.0	0.0	0.0437509733792	0.104509262707
mix_16	0.194933595029	0.456692022855	0.0393296623183	0.0	0.0	0.160417876227	0.148626843571
mix_17	0.180514871439	0.502029296355	0.00316735818385	0.0	0.0	0.141443378996	0.172845095026
mix_18	0.135162937538	0.705997310943	0.0	0.0	0.0	0.0306351918348	0.128204559684
mix_19	0.134608623721	0.471875024728	0.0829825960816	0.0	0.0	0.148553886135	0.161979869334
mix_20	0.131946478134	0.589461760754	0.212181210294	0.0	0.0	0.0	0.0664105508181
mix_21	0.128614817625	0.603205787435	0.0509552530098	0.0	0.0	0.0925006739963	0.124723467934
mix_22	0.0926720620343	0.538610166803	0.259054565215	0.0	0.0	0.0237208838679	0.0859423220797
mix_23	0.121064281947	0.580072349176	0.238938009757	0.0	0.0	0.0	0.0599253591201
mix_24	0.120433424429	0.539869927674	0.187084219469	0.0	0.0	0.0504461147658	0.102166313663
mix_25	0.115374845956	0.591839300526	0.248071541637	0.0	0.0	0.0	0.0447143118814
mix_26	0.130455364454	0.609045960116	0.00189701676119	0.0	0.0	0.123161719753	0.135439938916
mix_27	0.115611734431	0.519150573094	0.30913149462	0.0	0.0	0.0	0.0561061978548
mix_28	0.121170385274	0.560687525864	0.222691961429	0.0	0.0	0.0125544359504	0.0828956914827
mix_29	0.107804806271	0.486848164733	0.297076093373	0.0	0.0	0.00976154644312	0.0985093891791
mix_30	0.109608661319	0.58474616156	0.235010612586	0.0	0.0	0.0	0.0706345645352
mix_31	0.108928308093	0.597986559632	0.168644392006	0.0	0.0	0.021315869846	0.103124870423
mix_32	0.111292237153	0.632743289263	0.195022619049	0.0	0.0	0.0	0.0609418545344
mix_33	0.113463582802	0.644186214939	0.103064212665	0.0	0.0	0.0579429201661	0.0813430694282
mix_34	0.151403710967	0.551937556899	0.0	0.0	0.0	0.101551123429	0.195107608705
mix_35	0.0962105628786	0.544391620218	0.231679969727	0.0	0.0	0.0243558501113	0.103361997065
mix_36	0.109161662068	0.53927524851	0.188424364979	0.0	0.0	0.0519602629068	0.111178461536
mix_37	0.139664058479	0.497915543494	0.107028874476	0.0	0.0	0.113251126533	0.142140397018
mix_38	0.127373584499	0.475812425739	0.178423358309	0.0	0.0	0.101811329666	0.116579301787
mix_39	0.121229540929	0.538802242148	0.242734188391	0.0	0.0	0.0	0.0972340285322
mix_40	0.0988717954227	0.584053780156	0.156849825514	0.0	0.0	0.0531075048504	0.107117094057
mix_41	0.139678442284	0.584694565433	0.0172745575831	0.0	0.0	0.116782291219	0.141570143482
mix_42	0.121719403966	0.674670506981	0.110404173261	0.0	0.0	0.0	0.0932059157925
mix_43	0.142048931386	0.631018966118	0.0	0.0	0.0	0.0840717459804	0.142860356517
mix_44	0.130551470934	0.57662125072	0.224718162515	0.0	0.0	0.0	0.0681091158311
mix_45	0.11881391368	0.488314000669	0.223232383428	0.0	0.0	0.0235440750903	0.146095627132
mix_46	0.108090265719	0.578715156682	0.0914087426946	0.0	0.0	0.113775389686	0.108010445219
mix_47	0.255441200156	0.317209893715	0.0	0.0	0.0	0.24225495568	0.185093950449
mix_48	0.131732318209	0.690268628556	0.0585889304131	0.0	0.0	0.0102946396634	0.109115483158
mix_49	0.0969470741874	0.517694218721	0.22134953633	0.0	0.0	0.06157421564	0.102434955122
mix_50	0.104306828244	0.533607170957	0.253305298546	0.0	0.0	0.0	0.108780702254
mix_51	0.158230923963	0.547286477603	0.0	0.0	0.0	0.138520586775	0.155962011659
mix_52	0.139199424784	0.578253090231	0.040234128192	0.0	0.0	0.0978435328197	0.144469823973
mix_53	0.169184210828	0.641191053545	0.0180705235661	0.0	0.0	0.0414636403362	0.130090571724
mix_54	0.121686653461	0.601582350009	0.155215783574	0.0	0.0	0.0393896088474	0.0821256041089
mix_55	0.124887496638	0.655907906074	0.0335602292001	0.0	0.0	0.0629341166597	0.122710251428
mix_56	0.0963630865896	0.613029950099	0.202961448352	0.0	0.0	0.0269228612677	0.0607226536914
mix_57	0.110278927941	0.538978496042	0.28353648669	0.0	0.0	0.0	0.0672060893272
mix_58	0.109813029428	0.531863218462	0.21939955688	0.0	0.0	0.0489792405509	0.0899449546786
mix_59	0.158003898612	0.548224918427	0.0	0.0	0.0	0.111462648036	0.182308534925
mix_60	0.125515230715	0.64268174391	0.0940611851058	0.0	0.0	0.0453112146238	0.0924306256455
mix_61	0.119227797501	0.533505532039	0.184415513702	0.0	0.0	0.0559100491781	0.10694110758
mix_62	0.132391754969	0.514672564357	0.109226034926	0.0	0.0	0.126017588471	0.117692057277
mix_63	0.104147706329	0.556831380643	0.209320043267	0.0	0.0	0.0470069727708	0.082693896991
mix_64	0.263470019123	0.347444804146	0.0	0.0	0.0	0.176314095018	0.212771081713
mix_65	0.148023856801	0.544773764633	0.0419132012065	0.0	0.0	0.119349761168	0.145939416192
mix_66	0.153078602044	0.528523934003	0.105678067541	0.0	0.0	0.049782623687	0.162936772725
mix_67	0.127251872101	0.482273056546	0.276494006822	0.0	0.0	0.0530234359023	0.0609576286277
mix_68	0.131795470063	0.543883584492	0.107967360004	0.0	0.0	0.0721212378551	0.144232347586
mix_69	0.137850075208	0.603151469695	0.168775163214	0.0	0.0	0.0	0.0902232918832
mix_70	0.133619039194	0.568649559369	0.0282708038736	0.0	0.0	0.130474827141	0.138985770423
mix_71	0.133658768732	0.520371029227	0.140442410875	0.0	0.0	0.0835667936654	0.1219609975
mix_72	0.133044334712	0.48342252851	0.133951624144	0.0	0.0	0.13560713312	0.113974379514
mix_73	0.144239347551	0.547317321598	0.0566961784661	0.0	0.0	0.12654971701	0.125197435375
mix_74	0.103404670071	0.609347736467	0.246243558784	0.0	0.0	0.0	0.0410040346781
mix_75	0.136020333461	0.641441719252	0.0831099968106	0.0	0.0	0.0368519663532	0.102575984123
mix_76	0.113186507179	0.427892683045	0.245349005233	0.0	0.0	0.101587770238	0.111984034305
mix_77	0.121616100049	0.584183169672	0.192919526813	0.0	0.0	0.00989838878998	0.0913828146762
mix_78	0.130449007324	0.582668175786	0.109609382537	0.0	0.0	0.0704379997242	0.106835434629
mix_79	0.191178148981	0.53689431878	0.0	0.0	0.0	0.167733838763	0.104193693477
mix_80	0.154016485488	0.670860054052	0.0212978106188	0.0	0.0	0.0546570441734	0.0991686056679
mix_81	0.195647986867	0.540395167843	0.0	0.0	0.0	0.120535519477	0.143421325813
mix_82	0.20422726966	0.292559642829	0.0	0.0	0.0	0.262038851235	0.241174236276
mix_83	0.115641611331	0.588192105485	0.0480009699046	0.0	0.0	0.0883385664723	0.159826746808
mix_84	0.119370149446	0.488339957759	0.182422312672	0.0	0.0	0.0740574380108	0.135810142112
mix_85	0.143475317729	0.479996424876	0.0644698516209	0.0	0.0	0.136199204364	0.175859201409
mix_86	0.125494737494	0.546577563802	0.196799479136	0.0	0.0	0.0441098893071	0.0870183302599
mix_87	0.0940705129669	0.555194705517	0.334175911185	0.0	0.0	0.0	0.0165588703314
mix_88	0.103859080128	0.58698035427	0.221088312164	0.0	0.0	0.0177012983337	0.0703709551049
mix_89	0.240536657627	0.507988687101	0.0	0.0	0.0	0.148360689067	0.103113966206
mix_90	0.0811397088659	0.542939814858	0.316954861581	0.0	0.0	0.0	0.058965614695
mix_91	0.0917386662478	0.528598566676	0.240085149728	0.0	0.0	0.0324764687835	0.107101148565
mix_92	0.122975499295	0.603490784492	0.171486735625	0.0	0.0	0.00294069822226	0.0991062823667
mix_93	0.18476801012	0.454295376918	0.0107766377785	0.0	0.0	0.201011244389	0.149148730794
mix_94	0.0949833827626	0.580877851932	0.252017948873	0.0	0.0	0.0	0.0721208164321
mix_95	0.102086910277	0.620036527802	0.178792752621	0.0	0.0	0.00993962791883	0.089144181381
mix_96	0.131394292841	0.592162333259	0.127593674122	0.0	0.0	0.0361685816053	0.112681118172
mix_97	0.0942551084616	0.584247265646	0.21532232907	0.0	0.0	0.0	0.106175296822
mix_98	0.0997945206367	0.640611612873	0.114223680882	0.0	0.0	0.0395718313144	0.105798354294
mix_99	0.222034143717	0.353571683314	0.0	0.0	0.0	0.196450664303	0.227943508666
mix_100	0.0972647988908	0.54818317939	0.184184479823	0.0	0.0	0.0579354331687	0.112432108728
