B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0794836956522	0.0615942028986	0.00815217391304	0.329030797101	0.264266304348	0.257472826087
B	0.0809222423146	0.0614828209765	0.00858951175407	0.3297920434	0.26582278481	0.253390596745
C	0.069295380308	0.0513299113392	0.00746616892207	0.2874475035	0.33061129258	0.25384974335
D	0.0699626865672	0.0513059701493	0.00769589552239	0.291277985075	0.330923507463	0.248833955224
E	0.0687300864816	0.0539371870733	0.00568957669549	0.305188893946	0.259217114247	0.307237141557
F	0.0782997762864	0.0631369624658	0.0149142431022	0.348247576435	0.262987820035	0.232413621675
G	0.0777456003564	0.0608153263533	0.00824237023836	0.398975272889	0.245488973045	0.208732457117
H	0.0829424833374	0.0743026413231	0.00691187361145	0.337941249074	0.267835102444	0.23006665021
I	0.0815377081293	0.0737022526934	0.00685602350637	0.337169441724	0.270812928501	0.229921645446
J	0.0736196319018	0.0441717791411	0.0100613496933	0.278527607362	0.401963190184	0.191656441718
K	0.0689821514713	0.039315002412	0.00410033767487	0.273275446213	0.27496382055	0.339363241679
L	0.0666991236611	0.05282375852	0.0102239532619	0.279454722493	0.395569620253	0.195228821811
