B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.250811080609	0.125280758672	0.250811080609	0.248065884702	0.125031195408
Mix_2	0.451310176722	0.145155393053	0.251188299817	0.0	0.152346130408
Mix_3	0.309887193099	0.150630391506	0.191937624419	0.164565361646	0.18297942933
Mix_4	0.458819174533	0.218212104386	0.273921895243	0.0427540255414	0.00629280029613
Mix_5	0.431798181285	0.169551188032	0.218685831622	0.037254326782	0.142710472279
Mix_6	0.34612176814	0.196691687517	0.297470113984	0.0365582429803	0.123158187378
Mix_7	0.361086242913	0.166517457475	0.281557743957	0.00746045956431	0.183378096091
Mix_8	0.372592466337	0.141298789841	0.193454917334	0.0739730697119	0.218680756775
Mix_9	0.377988684066	0.132505931739	0.182332542435	0.165541157145	0.141631684614
Mix_10	0.482980392157	0.104	0.221960784314	0.0378039215686	0.153254901961
Mix_11	0.265400717703	0.196321770335	0.264802631579	0.0773026315789	0.196172248804
Mix_12	0.231896551724	0.140948275862	0.265517241379	0.218965517241	0.142672413793
Mix_13	0.37964348891	0.107633691659	0.289699278813	0.12396244387	0.0990610967479
Mix_14	0.250748502994	0.125499001996	0.250499001996	0.24750499002	0.125748502994
Mix_15	0.253180344225	0.124968820155	0.251683711649	0.244200548765	0.125966575206
Mix_16	0.392857142857	0.160108958838	0.230780871671	0.0561440677966	0.160108958838
Mix_17	0.332963647566	0.153912507702	0.306469500924	0.0285890326556	0.178065311152
Mix_18	0.354893328818	0.222654927193	0.222824246529	0.00186251269895	0.197764984761
Mix_19	0.250124564026	0.125062282013	0.250373692078	0.248629795715	0.125809666168
Mix_20	0.260848831664	0.127324749642	0.242250834526	0.243919885551	0.125655698617
Mix_21	0.403284121723	0.211810786381	0.217686050015	0.00406749020789	0.163151551672
Mix_22	0.326611308818	0.168841439304	0.283511269276	0.0172004744958	0.203835508106
Mix_23	0.250685956598	0.12546769768	0.249688201547	0.249189324021	0.124968820155
Mix_24	0.393865905849	0.185021398003	0.205135520685	0.0306704707561	0.185306704708
Mix_25	0.277763659466	0.206607369759	0.279542566709	0.0330368487929	0.203049555273
Mix_26	0.399182381643	0.188315969933	0.23592245813	0.000131873928524	0.176447316366
Mix_27	0.397102818454	0.184380412533	0.158557707448	0.101401354117	0.158557707448
Mix_28	0.355817875211	0.163387670976	0.160014989695	0.160014989695	0.160764474424
Mix_29	0.435826524199	0.167064739158	0.306599622879	0.00791954745443	0.0825895663105
Mix_30	0.250559840756	0.124906693207	0.25080865887	0.248818113959	0.124906693207
Mix_31	0.356943012811	0.161537328818	0.269474304226	0.0413782948019	0.170667059343
Mix_32	0.407729606389	0.180119794638	0.260838562464	0.00156873930405	0.149743297205
Mix_33	0.227040421248	0.237416757008	0.338392442311	0.0103763357596	0.186774043674
Mix_34	0.417053157331	0.0924009989297	0.328219764538	0.00677845165894	0.155547627542
Mix_35	0.252443792766	0.126344086022	0.246578690127	0.243157380254	0.131476050831
Mix_36	0.40589751853	0.121011923945	0.282468578795	0.066065098292	0.124556880438
Mix_37	0.273055555556	0.145416666667	0.282361111111	0.0993055555556	0.199861111111
Mix_38	0.247576039315	0.137335635543	0.355824146633	0.0379864523841	0.221277726126
Mix_39	0.24975024975	0.125624375624	0.25	0.2495004995	0.125124875125
Mix_40	0.367239467849	0.14149113082	0.315410199557	0.0231430155211	0.152716186253
Mix_41	0.286150194948	0.0398372605526	0.399220206815	0.00440752669944	0.270384810985
Mix_42	0.419167983149	0.136650868878	0.239468141127	0.00223802001053	0.202474986835
Mix_43	0.394840461643	0.208825526137	0.246571622539	0.0329938900204	0.116768499661
Mix_44	0.25	0.125249003984	0.250249003984	0.249003984064	0.125498007968
Mix_45	0.340470766894	0.124069855733	0.304328018223	0.000759301442673	0.230372057707
Mix_46	0.385836385836	0.129833129833	0.239316239316	0.030525030525	0.214489214489
Mix_47	0.253343239227	0.127290737989	0.24343734522	0.244923229321	0.131005448242
Mix_48	0.325208466966	0.200898011546	0.364336112893	0.00218088518281	0.107376523412
Mix_49	0.292973766281	0.159236837278	0.269858741515	0.0974133186571	0.180517336269
Mix_50	0.25124750499	0.125499001996	0.25124750499	0.247255489022	0.124750499002
Mix_51	0.445685528415	0.165827912115	0.194672885725	0.0306861421382	0.163127531607
Mix_52	0.296825176764	0.221128517954	0.272563427145	0.0164979897407	0.192984888396
Mix_53	0.411844792376	0.15003403676	0.26929884275	0.0514635806671	0.117358747447
Mix_54	0.343984023964	0.15959394242	0.241304709602	0.169079713763	0.0860376102513
Mix_55	0.258954501452	0.124636979671	0.250242013553	0.236931268151	0.129235237173
Mix_56	0.252060954284	0.125655758181	0.249313015239	0.248563577317	0.124406694979
Mix_57	0.299578770008	0.152653748947	0.272114574558	0.101769165965	0.173883740522
Mix_58	0.401894646189	0.156882445816	0.237261375054	0.0351657815416	0.168795751399
Mix_59	0.249937888199	0.125465838509	0.249689440994	0.248944099379	0.125962732919
Mix_60	0.469103448276	0.153931034483	0.188689655172	0.00772413793103	0.180551724138
Mix_61	0.250499001996	0.125	0.249750499002	0.249750499002	0.125
Mix_62	0.415906462804	0.151098548118	0.24887575485	0.0372606963896	0.146858537839
Mix_63	0.25031195408	0.125031195408	0.250062390816	0.249563264287	0.125031195408
Mix_64	0.250934462995	0.125841016696	0.249937702467	0.248193371542	0.1250934463
Mix_65	0.380476393024	0.188643130583	0.247341556784	0.0912377711612	0.0923011484475
Mix_66	0.418297931417	0.202693322227	0.212689157296	0.00138831042621	0.164931278634
Mix_67	0.387662901825	0.0321459600348	0.179148566464	0.202953953084	0.198088618593
Mix_68	0.345378635186	0.187877915347	0.258997984451	0.0650734235531	0.142672041463
Mix_69	0.253412757508	0.125093075205	0.248696947133	0.247455944403	0.125341275751
Mix_70	0.37974281632	0.186537545642	0.272582949675	0.0104778536276	0.150658834736
Mix_71	0.306150061501	0.176629766298	0.243296432964	0.0719557195572	0.20196801968
Mix_72	0.295225952685	0.253152004533	0.243802238277	0.0276243093923	0.180195495113
Mix_73	0.26359932902	0.129403306973	0.239396117901	0.238197939133	0.129403306973
Mix_74	0.299728137744	0.12483008609	0.239918441323	0.206615314907	0.128908019937
Mix_75	0.250249003984	0.125	0.250249003984	0.249003984064	0.125498007968
Mix_76	0.250373692078	0.125062282013	0.250373692078	0.248629795715	0.125560538117
Mix_77	0.365833193489	0.096996140292	0.232085920456	0.134921966773	0.17016277899
Mix_78	0.251246261216	0.124626121635	0.25074775673	0.248005982054	0.125373878365
Mix_79	0.354450179884	0.165337087439	0.375097763178	0.00172063194119	0.103394337557
Mix_80	0.409664209664	0.210810810811	0.277641277641	0.0255528255528	0.0763308763309
Mix_81	0.327382849857	0.178355116353	0.297896079056	0.0213579853363	0.175007969398
Mix_82	0.253786938167	0.125651850012	0.251055376211	0.243109014154	0.126396821455
Mix_83	0.422279400636	0.147722112911	0.208415317088	0.123959436961	0.097623732405
Mix_84	0.35463018641	0.180697534576	0.279164161155	0.000450992182802	0.185057125676
Mix_85	0.355097012627	0.225592854943	0.298275331075	0.0583615645211	0.062673236834
Mix_86	0.251432843259	0.12633939696	0.251183653127	0.243458759033	0.12758534762
Mix_87	0.250811080609	0.125280758672	0.25031195408	0.24856501123	0.125031195408
Mix_88	0.449088036766	0.134855665661	0.24701996266	0.00718081286802	0.161855522045
