B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0783959899749	0.000300751879699	0.338646616541	0.275989974937	0.306666666667
mix_2	0.0471833881579	0.0401932565789	0.361019736842	0.438116776316	0.113486842105
mix_3	0.312067640277	0.25738442956	0.295706599319	0.0639068848139	0.0709344460305
mix_4	0.351819757366	0.114818024263	0.286503466205	0.125866551127	0.12099220104
mix_5	0.245741831816	0.015961435458	0.415318693091	0.0979110873058	0.22506695233
mix_6	0.250670960816	0.0511003757381	0.391196994096	0.19398819109	0.113043478261
mix_7	0.402160864346	0.089708610717	0.268689293899	0.07148313871	0.167958092328
mix_8	0.467691308583	0.226864379262	0.0585561207923	0.246888191363	0.0
mix_9	0.121091707623	0.0527031266339	0.333995608073	0.185088361393	0.307121196277
mix_10	0.548097429566	0.201593893815	0.139409585812	0.110899090807	0.0
mix_11	0.125309405941	0.129641089109	0.225866336634	0.367161716172	0.152021452145
mix_12	0.0712358337831	0.120237452779	0.446950890448	0.317754991905	0.0438208310847
mix_13	0.472136057332	0.0275965343887	0.230612899775	0.0683495561023	0.201304952401
mix_14	0.560560560561	0.105661216772	0.236792347903	0.0969858747637	0.0
mix_15	0.32196969697	0.0	0.26463963964	0.0339885339885	0.379402129402
mix_16	0.341057766936	0.204679010977	0.303359574232	0.110322652179	0.0405809956758
mix_17	0.647249552773	0.148479427549	0.19476744186	0.00950357781753	0.0
mix_18	0.128622805162	0.0619843452507	0.320393484239	0.487095409351	0.00190395599746
mix_19	0.359265262021	0.0555375472717	0.33246893571	0.181091301999	0.0716369529984
mix_20	0.214390768186	0.0814571784138	0.574951917638	0.0156126258627	0.113587509899
mix_21	0.409958691526	0.119794574076	0.372669420565	0.0961259350229	0.00145137880987
mix_22	0.348443983402	0.0	0.275726141079	0.130497925311	0.245331950207
mix_23	0.472554998911	0.195055543455	0.163254192986	0.169135264648	0.0
mix_24	0.0	0.0	0.2272	0.5179	0.2549
mix_25	0.172723243962	0.357190339021	0.229115887436	0.240970529581	0.0
mix_26	0.109991603694	0.0792401343409	0.352644836272	0.0131192275399	0.445004198153
mix_27	0.393669330055	0.0	0.10008195042	0.229870928089	0.276377791436
mix_28	0.297734627832	0.140832496373	0.408548153108	0.0169623925901	0.135922330097
mix_29	0.214595452142	0.0978318350079	0.314119513485	0.170280274987	0.203172924379
mix_30	0.293075510425	0.0830722696338	0.342767635303	0.165496381117	0.115588203522
mix_31	0.247108420711	0.256296616582	0.235542103556	0.204194141174	0.0568587179764
mix_32	0.287283802894	0.135537909279	0.337213096922	0.124660067443	0.115305123464
mix_33	0.313046293299	0.149455055574	0.208589619078	0.201359663321	0.127549368728
mix_34	0.0514924607652	0.0638014155298	0.33254692789	0.344753308032	0.207405887783
mix_35	0.193821989529	0.0153926701571	0.417172774869	0.228167539267	0.145445026178
mix_36	0.458065943793	0.242863465368	0.163531754813	0.0813233016154	0.0542155344103
mix_37	0.460824857494	0.257740024589	0.173913043478	0.107522074438	0.0
mix_38	0.19817987152	0.203211991435	0.281370449679	0.0336188436831	0.283618843683
mix_39	0.380046257359	0.000525651808242	0.300147182506	0.0365853658537	0.282695542473
mix_40	0.34796962694	0.231539562012	0.169362826015	0.210960713107	0.0401672719269
mix_41	0.105321958156	0.0	0.377310582978	0.270566727605	0.246800731261
