B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.859788359788	0.140211640212	0.0	0.0	0.0	0.0
mix_2	0.0	0.836515513126	0.163484486874	0.0	0.0	0.0	0.0
mix_3	0.0	0.826582278481	0.173417721519	0.0	0.0	0.0	0.0
mix_4	0.0	0.995348837209	0.0046511627907	0.0	0.0	0.0	0.0
mix_5	0.0	0.916666666667	0.0833333333333	0.0	0.0	0.0	0.0
mix_6	0.0	0.988035892323	0.011964107677	0.0	0.0	0.0	0.0
mix_7	0.0	0.89366786141	0.10633213859	0.0	0.0	0.0	0.0
mix_8	0.0	0.836144578313	0.163855421687	0.0	0.0	0.0	0.0
mix_9	0.0	0.999050332384	0.000949667616334	0.0	0.0	0.0	0.0
mix_10	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_11	0.0	0.92	0.08	0.0	0.0	0.0	0.0
mix_12	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_13	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_14	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_15	0.0	0.952017448201	0.0479825517993	0.0	0.0	0.0	0.0
mix_16	0.0	0.789855072464	0.210144927536	0.0	0.0	0.0	0.0
mix_17	0.00113765642776	0.898748577929	0.100113765643	0.0	0.0	0.0	0.0
mix_18	0.0	0.985243055556	0.0147569444444	0.0	0.0	0.0	0.0
mix_19	0.0	0.815423514539	0.184576485461	0.0	0.0	0.0	0.0
mix_20	0.0	0.985074626866	0.0149253731343	0.0	0.0	0.0	0.0
mix_21	0.0	0.983098591549	0.0169014084507	0.0	0.0	0.0	0.0
mix_22	0.0	0.995215311005	0.00478468899522	0.0	0.0	0.0	0.0
mix_23	0.0	0.976261127596	0.0237388724036	0.0	0.0	0.0	0.0
mix_24	0.0	0.948667324778	0.0513326752221	0.0	0.0	0.0	0.0
mix_25	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_26	0.0	0.984047856431	0.0159521435693	0.0	0.0	0.0	0.0
mix_27	0.0	0.920403587444	0.0795964125561	0.0	0.0	0.0	0.0
mix_28	0.0	0.998998998999	0.001001001001	0.0	0.0	0.0	0.0
mix_29	0.0	0.899262899263	0.100737100737	0.0	0.0	0.0	0.0
mix_30	0.0	0.997183098592	0.00281690140845	0.0	0.0	0.0	0.0
mix_31	0.0	0.981873111782	0.0181268882175	0.0	0.0	0.0	0.0
mix_32	0.0	0.988538681948	0.0114613180516	0.0	0.0	0.0	0.0
mix_33	0.000919963201472	0.999080036799	0.0	0.0	0.0	0.0	0.0
mix_34	0.0	0.906651108518	0.0933488914819	0.0	0.0	0.0	0.0
mix_35	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_36	0.0	0.991001124859	0.00899887514061	0.0	0.0	0.0	0.0
mix_37	0.0	0.911161731207	0.0888382687927	0.0	0.0	0.0	0.0
mix_38	0.0	0.857314148681	0.142685851319	0.0	0.0	0.0	0.0
mix_39	0.0	0.955102040816	0.0448979591837	0.0	0.0	0.0	0.0
mix_40	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_41	0.0	0.941240478781	0.0587595212187	0.0	0.0	0.0	0.0
mix_42	0.0	1.0	0.0	0.0	0.0	0.0	0.0
