B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0959	0.5713	0.2173	0.0	0.0	0.0581	0.0574
mix_2	0.139586709887	0.541227714749	0.14515802269	0.0	0.0	0.0313006482982	0.142726904376
mix_3	0.139368421053	0.495894736842	0.0592631578947	0.0	0.0	0.122526315789	0.182947368421
mix_4	0.102589741026	0.707529247075	0.139686031397	0.0	0.0	0.026097390261	0.024097590241
mix_5	0.108510851085	0.5799579958	0.140314031403	0.0	0.0	0.0691069106911	0.102110211021
mix_6	0.107710771077	0.661766176618	0.165216521652	0.0	0.0	0.032503250325	0.032803280328
mix_7	0.123648235054	0.520199959192	0.116302795348	0.0	0.0	0.0885533564579	0.151295653948
mix_8	0.119164742496	0.521734765586	0.148479068367	0.0	0.0	0.0658568416826	0.144764581869
mix_9	0.0829917008299	0.734926507349	0.177682231777	0.0	0.0	0.00299970003	0.001399860014
mix_10	0.117311731173	0.689268926893	0.044804480448	0.0	0.0	0.0601060106011	0.0885088508851
mix_11	0.1111	0.611	0.2051	0.0	0.0	0.0249	0.0479
mix_12	0.0943905609439	0.63903609639	0.135686431357	0.0	0.0	0.0684931506849	0.0623937606239
mix_13	0.0951904809519	0.767323267673	0.0889911008899	0.0	0.0	0.024597540246	0.023897610239
mix_14	0.0988901109889	0.74102589741	0.125387461254	0.0	0.0	0.033496650335	0.001199880012
mix_15	0.114	0.5826	0.1406	0.0	0.0	0.0593	0.1035
mix_16	0.159171789065	0.468348970128	0.0613609403645	0.0	0.0	0.112692763938	0.198425536504
mix_17	0.151833560996	0.517389933803	0.0353052432489	0.0	0.0	0.101082273826	0.194388988127
mix_18	0.1135	0.7557	0.0034	0.0	0.0	0.0404	0.087
mix_19	0.123512982311	0.508741077894	0.0766525292231	0.0	0.0	0.109134167787	0.181959242785
mix_20	0.1154	0.6961	0.1351	0.0	0.0	0.0136	0.0398
mix_21	0.11705652043	0.638690894489	0.0367432988656	0.0	0.0	0.0796104808754	0.127898805341
mix_22	0.0937	0.6491	0.1646	0.0	0.0	0.0524	0.0402
mix_23	0.1049	0.7049	0.1499	0.0	0.0	0.0186	0.0217
mix_24	0.110811081108	0.617761776178	0.117811781178	0.0	0.0	0.0634063406341	0.0902090209021
mix_25	0.101289871013	0.727527247275	0.158384161584	0.0	0.0	0.012098790121	0.000699930006999
mix_26	0.117552334944	0.625704508857	0.0179146537842	0.0	0.0	0.094806763285	0.14402173913
mix_27	0.107910791079	0.63796379638	0.197419741974	0.0	0.0	0.032103210321	0.024602460246
mix_28	0.1134	0.6501	0.1413	0.0	0.0	0.0397	0.0555
mix_29	0.0963096309631	0.595759575958	0.195619561956	0.0	0.0	0.040104010401	0.0722072207221
mix_30	0.104689531047	0.696930306969	0.142485751425	0.0	0.0	0.026897310269	0.02899710029
mix_31	0.10098990101	0.685431456854	0.109189081092	0.0	0.0	0.043895610439	0.0604939506049
mix_32	0.0973097309731	0.758575857586	0.118111811181	0.0	0.0	0.02600260026	0.0
mix_33	0.1023	0.7212	0.0591	0.0	0.0	0.0617	0.0557
mix_34	0.141278529381	0.584529587938	0.00898481875452	0.0	0.0	0.0869565217391	0.178250542187
