B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0417910447761	0.287893864013	0.54328358209	0.0	0.0	0.0850746268657	0.0419568822554
mix_2	0.0769367448472	0.324626865672	0.448471926084	0.0	0.0	0.0460199004975	0.1039445629
mix_3	0.0792354796808	0.396362961588	0.228057153461	0.0	0.0	0.204861755428	0.0914826498423
mix_4	0.0520203627108	0.533089405027	0.336621062679	0.0	0.0	0.0443843461661	0.0338848234171
mix_5	0.053568401424	0.397864044753	0.416680793355	0.0	0.0	0.083403966774	0.0484827936938
mix_6	0.0482769830949	0.462451235371	0.43433029909	0.0	0.0	0.0442132639792	0.0107282184655
mix_7	0.0663893222396	0.369214768591	0.376148379269	0.0	0.0	0.102617438031	0.0856300918703
mix_8	0.0568399096124	0.313749348166	0.474708847558	0.0	0.0	0.0721362767252	0.0825656179385
mix_9	0.0459031803227	0.477988406705	0.43835187216	0.0	0.0	0.0358765470782	0.00187999373335
mix_10	0.0792490446918	0.591294234923	0.141717893338	0.0	0.0	0.125768400066	0.0619704269812
mix_11	0.0649482787858	0.33695099203	0.460403595048	0.0	0.0	0.074783788367	0.062913345769
mix_12	0.0407548366635	0.485252140818	0.362670472566	0.0	0.0	0.0794481446242	0.0318744053283
mix_13	0.0428840716305	0.631008482564	0.252120640905	0.0	0.0	0.0647188187245	0.00926798617656
mix_14	0.0571337882876	0.511029995239	0.323282018727	0.0	0.0	0.0831614029519	0.0253927947945
mix_15	0.0519191226868	0.40661411926	0.441055517478	0.0	0.0	0.0741946538725	0.0262165867032
mix_16	0.109449636552	0.368016614746	0.285981308411	0.0	0.0	0.18753894081	0.0490134994808
mix_17	0.0912606341841	0.522041763341	0.151198762568	0.0	0.0	0.151198762568	0.0843000773395
mix_18	0.0731786467629	0.728541294824	0.00941100113581	0.0	0.0	0.113743306831	0.0751257504462
mix_19	0.0616947922337	0.375068045727	0.299764108147	0.0	0.0	0.183995645073	0.0794774088187
mix_20	0.0586684245221	0.519446275544	0.381015161503	0.0	0.0	0.0383981542518	0.0024719841793
mix_21	0.0571283268351	0.662146126462	0.144261739278	0.0	0.0	0.119511781658	0.0169520257671
mix_22	0.0503184713376	0.400955414013	0.39076433121	0.0	0.0	0.0980891719745	0.059872611465
mix_23	0.0585563665856	0.462935928629	0.385888077859	0.0	0.0	0.0676399026764	0.0249797242498
mix_24	0.048833696929	0.497902332606	0.363148179225	0.0	0.0	0.0750125860044	0.0151032052358
mix_25	0.0509574299731	0.523975312549	0.384079759456	0.0	0.0	0.0409874980218	0.0
mix_26	0.0631092868138	0.643577903198	0.0850008551394	0.0	0.0	0.172738156319	0.0355737985292
mix_27	0.0548145738452	0.379472999349	0.47918022121	0.0	0.0	0.0673389720234	0.0191932335719
mix_28	0.0474637090197	0.486054477247	0.397161963791	0.0	0.0	0.0549665633665	0.0143532865764
mix_29	0.0521852576647	0.305120678408	0.50016307893	0.0	0.0	0.0714285714286	0.0711024135682
mix_30	0.0474683544304	0.530063291139	0.352056962025	0.0	0.0	0.0569620253165	0.0134493670886
mix_31	0.0519794013518	0.518345671065	0.287254586418	0.0	0.0	0.0869005471516	0.0555197940135
mix_32	0.057585995086	0.532401719902	0.271345208845	0.0	0.0	0.0901412776413	0.0485257985258
mix_33	0.0517185473411	0.606517509728	0.20444228275	0.0	0.0	0.135051880674	0.00226977950713
mix_34	0.0878639074009	0.546124166959	0.0468256752017	0.0	0.0	0.171518765345	0.147667485093
mix_35	0.0427282797911	0.456084823548	0.377116632379	0.0	0.0	0.0685235005539	0.0555467637284
mix_36	0.0552920006543	0.445444135449	0.335187305742	0.0	0.0	0.101586782267	0.0624897758875
mix_37	0.0599464763604	0.446208742194	0.315967885816	0.0	0.0	0.130954504906	0.0469223907226
mix_38	0.0603264726757	0.346344925479	0.427253371185	0.0	0.0	0.137154009936	0.0289212207239
mix_39	0.054163955758	0.446811971373	0.414118412492	0.0	0.0	0.0427781392323	0.0421275211451
mix_40	0.0539096648859	0.515460579569	0.259996762182	0.0	0.0	0.109114456856	0.0615185365064
mix_41	0.0735165412218	0.567652721862	0.123577805006	0.0	0.0	0.176964817084	0.0582881148258
mix_42	0.0676808444582	0.664855634896	0.14653834213	0.0	0.0	0.0422229121391	0.0787022663769
mix_43	0.0831034482759	0.625344827586	0.0677586206897	0.0	0.0	0.158103448276	0.0656896551724
mix_44	0.0696067138391	0.428171795294	0.401678459766	0.0	0.0	0.0648346223466	0.0357084087543
mix_45	0.0603937270604	0.382382382382	0.386886886887	0.0	0.0	0.0627293960627	0.107607607608
mix_46	0.0561872909699	0.509698996656	0.222073578595	0.0	0.0	0.172909698997	0.0391304347826
mix_47	0.178142076503	0.325956284153	0.0863387978142	0.0	0.0	0.331420765027	0.0781420765027
mix_48	0.075641025641	0.630608974359	0.130448717949	0.0	0.0	0.0966346153846	0.0666666666667
