B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.2218	0.1908	0.1267	0.095	0.2851	0.0806
B	0.2192	0.1906	0.1246	0.0911	0.2788	0.0957
C	0.121712171217	0.0664066406641	0.0702070207021	0.0850085008501	0.515651565157	0.14101410141
D	0.12201220122	0.0511051105111	0.0723072307231	0.0826082608261	0.54595459546	0.12601260126
E	0.1239	0.0871	0.1273	0.0741	0.3214	0.2662
F	0.1427	0.1308	0.3685	0.0895	0.1827	0.0858
G	0.2205	0.2367	0.0692	0.2297	0.1743	0.0696
H	0.1605	0.4096	0.0625	0.0943	0.191	0.0821
I	0.1799820018	0.430856914309	0.0700929907009	0.0838916108389	0.187081291871	0.048095190481
J	0.110811081108	0.038903890389	0.03100310031	0.0956095609561	0.592759275928	0.130913091309
K	0.1302	0.0477	0.1051	0.0636	0.3784	0.275
L	0.1083	0.0504	0.0465	0.1104	0.5699	0.1145
