B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.1387	0.2751	0.1775	0.0242	0.3424	0.0421
B	0.146414641464	0.29802980298	0.159815981598	0.024302430243	0.293229322932	0.0782078207821
C	0.0408	0.0	0.0659	0.0003	0.7781	0.1149
D	0.0318	0.0	0.102	0.0017	0.7299	0.1346
E	0.020597940206	0.0	0.187081291871	0.025797420258	0.367063293671	0.399460053995
F	0.030503050305	0.0694069406941	0.696169616962	0.017801780178	0.186118611861	0.0
G	0.0810918908109	0.380861913809	0.0780921907809	0.273572642736	0.186381361864	0.0
H	0.0548	0.7358	0.0221	0.0179	0.1694	0.0
I	0.0722	0.7406	0.0253	0.023	0.1389	0.0
J	0.021402140214	0.0	0.044704470447	0.0	0.912591259126	0.021302130213
K	0.018401840184	0.0	0.114211421142	0.0	0.388538853885	0.478847884788
L	0.0	0.0	0.1249	0.0084	0.8667	0.0
