B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.399528926836	0.0	0.0	0.0	0.158103930517	0.442367142647
B	0.377022889634	0.0	0.0	0.0	0.206881469602	0.416095640764
C	0.189632467377	0.0	0.0	0.0	0.47456003831	0.335807494313
D	0.187867417136	0.0	0.0	0.0	0.484677923702	0.327454659162
E	0.21530412034	0.0	0.0	0.0	0.245258338784	0.539437540876
F	0.204174000503	0.0	0.0	0.0	0.212345989439	0.583480010058
G	0.494518402506	0.0	0.0	0.0	0.27114330462	0.234338292874
H	0.461887694146	0.0	0.0	0.0	0.330465949821	0.207646356033
I	0.399470899471	0.0	0.0	0.0	0.23721340388	0.363315696649
J	0.212358882947	0.0	0.0	0.0	0.55092097445	0.236720142602
K	0.179159265838	0.0	0.0	0.0	0.382711663706	0.438129070456
L	0.18083028083	0.0	0.0	0.0	0.48315018315	0.33601953602
