Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10001	0.797014306448	0.0	0.202985693552	0.0	0.0
S10006	0.907395358924	0.0	0.0926046410757	0.0	0.0
S1001	0.581281565657	0.151515151515	0.267203282828	0.0	0.0
S10010	0.724427372315	0.0570493669085	0.218523260777	0.0	0.0
S10011	0.750238322212	0.0	0.249761677788	0.0	0.0
S10014	0.771128705579	0.0498987295157	0.178972564905	0.0	0.0
S10026	0.751046755059	0.0	0.248953244941	0.0	0.0
S10032	0.533554817276	0.0	0.466445182724	0.0	0.0
S10036	0.876789366053	0.0383435582822	0.0848670756646	0.0	0.0
S10042	0.756893542757	0.0251308900524	0.21797556719	0.0	0.0
S10044	0.792052469136	0.00906635802469	0.19888117284	0.0	0.0
S10049	0.719083048462	0.0154836115021	0.265433340036	0.0	0.0
S10057	0.647378277154	0.21797752809	0.134644194757	0.0	0.0
S10062	0.628512679918	0.00925291295408	0.362234407128	0.0	0.0
S10066	0.788844621514	0.0	0.211155378486	0.0	0.0
S10067	0.602329749104	0.174193548387	0.223476702509	0.0	0.0
S1007	0.74850775965	0.00557103064067	0.24592120971	0.0	0.0
S10073	0.692124578457	0.0983931759572	0.209482245586	0.0	0.0
S10077	0.62282200205	0.0594465322856	0.317731465665	0.0	0.0
S10080	0.651683657708	0.100710534445	0.247605807847	0.0	0.0
S10082	0.739361702128	0.0	0.260638297872	0.0	0.0
S10087	0.618044822257	0.0	0.381955177743	0.0	0.0
S10089	0.832107392424	0.00275836704671	0.16513424053	0.0	0.0
S1009	0.700726505742	0.0164049683618	0.282868525896	0.0	0.0
S10090	0.850674974039	0.0	0.149325025961	0.0	0.0
S10093	0.881018153118	0.0	0.118981846882	0.0	0.0
S10094	0.669548999661	0.0227195659546	0.307731434385	0.0	0.0
S1010	0.584828862165	0.0684551341351	0.3467160037	0.0	0.0
S10111	0.731515812432	0.00436205016358	0.264122137405	0.0	0.0
S10116	0.44818805093	0.331831537708	0.219980411361	0.0	0.0
S10119	0.816238437821	0.0115107913669	0.172250770812	0.0	0.0
S10121	0.609525175728	0.19810644097	0.192368383302	0.0	0.0
S10130	0.756669881067	0.0482160077146	0.195114111218	0.0	0.0
S10140	0.74491135916	0.0	0.25508864084	0.0	0.0
S10142	0.435858738304	0.312858436462	0.251282825234	0.0	0.0
S10150	0.723685970309	0.123044001605	0.153270028086	0.0	0.0
S10155	0.756193472277	0.0	0.243806527723	0.0	0.0
S1016	0.66013564431	0.143029389601	0.196834966089	0.0	0.0
S10163	0.704744451232	0.0728975768683	0.2223579719	0.0	0.0
S10167	0.652896412486	0.233887249573	0.113216337941	0.0	0.0
S10168	0.564496124031	0.300930232558	0.134573643411	0.0	0.0
S10173	0.728776836715	0.0823320858775	0.188891077408	0.0	0.0
S10175	0.77900974957	0.0	0.22099025043	0.0	0.0
S10179	0.497850868996	0.241076434311	0.261072696692	0.0	0.0
S10186	0.431056427662	0.168010182435	0.400933389902	0.0	0.0
S1019	0.627279358133	0.0877097009482	0.285010940919	0.0	0.0
S10190	0.576412776413	0.151023751024	0.272563472563	0.0	0.0
S10195	0.801260659993	0.0	0.198739340007	0.0	0.0
S10196	0.748088685015	0.0	0.251911314985	0.0	0.0
S10200	0.554414250423	0.211545962814	0.234039786764	0.0	0.0
S10201	0.796980318145	0.0825020221084	0.120517659747	0.0	0.0
S10202	0.527533184387	0.262583782363	0.20988303325	0.0	0.0
S10205	0.806662449926	0.00147585916087	0.191861690913	0.0	0.0
S10211	0.733034111311	0.0549371633752	0.212028725314	0.0	0.0
S10221	0.821335472228	0.0	0.178664527772	0.0	0.0
S10222	0.822556943424	0.0	0.177443056576	0.0	0.0
S10226	0.710658082976	0.0114449213162	0.277896995708	0.0	0.0
S10227	0.792899408284	0.0	0.207100591716	0.0	0.0
S10228	0.737731733915	0.0685205379862	0.193747728099	0.0	0.0
S10232	0.556178724995	0.261731164704	0.182090110301	0.0	0.0
S10248	0.810367090943	0.0782143515956	0.111418557462	0.0	0.0
S10249	0.603657685327	0.0	0.396342314673	0.0	0.0
S1025	0.501558557221	0.219682351195	0.278759091584	0.0	0.0
S10266	0.748319098673	0.00526985280756	0.246411048519	0.0	0.0
S10269	0.71501311526	0.0989044900478	0.186082394692	0.0	0.0
S10272	0.87442806304	0.00864260294865	0.116929334011	0.0	0.0
S10273	0.714599898494	0.0698697343935	0.215530367112	0.0	0.0
S10274	0.753196220122	0.0444691495275	0.20233463035	0.0	0.0
S1028	0.601685393258	0.199859550562	0.19845505618	0.0	0.0
S10280	0.542852215899	0.0813933436799	0.375754440421	0.0	0.0
S10283	0.401766372271	0.212797867022	0.385435760707	0.0	0.0
S1029	0.673884390887	0.09131990209	0.234795707023	0.0	0.0
S10292	0.829342013485	0.0599860497559	0.110671936759	0.0	0.0
S10294	0.650154236981	0.161132280893	0.188713482127	0.0	0.0
S10302	0.770694576594	0.0483349191246	0.180970504282	0.0	0.0
S10303	0.578674351585	0.212824207493	0.208501440922	0.0	0.0
S10323	0.653650254669	0.1259762309	0.220373514431	0.0	0.0
S10326	0.590192644483	0.150904845301	0.258902510216	0.0	0.0
S10328	0.492268370607	0.388370607029	0.119361022364	0.0	0.0
S10329	0.579276538201	0.159905341447	0.260818120352	0.0	0.0
S10336	0.515229457154	0.264518749154	0.220251793692	0.0	0.0
S10340	0.803075213042	0.0	0.196924786958	0.0	0.0
S10347	0.686599142968	0.104012465914	0.209388391118	0.0	0.0
S10353	0.706490727532	0.043152639087	0.250356633381	0.0	0.0
S10356	0.739470899471	0.0	0.260529100529	0.0	0.0
S10358	0.679686106652	0.0108792580703	0.309434635277	0.0	0.0
S10365	0.686799501868	0.0776774595268	0.235523038605	0.0	0.0
S1037	0.576162906768	0.23976841685	0.184068676383	0.0	0.0
S10373	0.768464370804	0.00844704353476	0.223088585662	0.0	0.0
S10374	0.784394654088	0.0658411949686	0.149764150943	0.0	0.0
S10375	0.711111111111	0.0342254663423	0.254663422547	0.0	0.0
S10377	0.855126128211	0.0	0.144873871789	0.0	0.0
S10378	0.651368349482	0.10827808941	0.240353561108	0.0	0.0
S10390	0.908405411399	0.0	0.0915945886006	0.0	0.0
S10391	0.712230215827	0.0	0.287769784173	0.0	0.0
S10393	0.708596083638	0.125290408231	0.166113508131	0.0	0.0
S10400	0.651651143099	0.0	0.348348856901	0.0	0.0
S10401	0.575491979494	0.183892839425	0.240615181082	0.0	0.0
S10406	0.742951360264	0.0	0.257048639736	0.0	0.0
S10408	0.626476377953	0.150426509186	0.223097112861	0.0	0.0
S10409	0.682936202921	0.0186395080707	0.298424289008	0.0	0.0
S10418	0.904389880952	0.0	0.0956101190476	0.0	0.0
S10431	0.729493891798	0.0404886561955	0.230017452007	0.0	0.0
S10438	0.724279835391	0.0316124205013	0.244107744108	0.0	0.0
S10439	0.623791102515	0.0459381044487	0.330270793037	0.0	0.0
S10441	0.564315918701	0.0969854044469	0.338698676852	0.0	0.0
S10442	0.686038011696	0.0244883040936	0.289473684211	0.0	0.0
S1046	0.776007646965	0.0	0.223992353035	0.0	0.0
S10478	0.668423242269	0.0	0.331576757731	0.0	0.0
