B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.0196794720716	0.122790478435	0.0514965826066	0.188663681358	0.617369785529
Mix_2	0.132262835411	0.246883583351	0.0216564546799	0.0811324741179	0.51806465244
Mix_3	0.0229908864954	0.0	0.0847141673571	0.0708367854184	0.821458160729
Mix_4	0.0531253186499	0.062812276945	0.0860609768533	0.0371163454675	0.760885082084
Mix_5	0.258967076891	0.0	0.137688019354	0.0492268854528	0.554118018302
Mix_6	0.143958868895	0.0	0.0	0.263496143959	0.592544987147
Mix_7	0.0639342619501	0.11955105722	0.0	0.0300631325784	0.786451548251
Mix_8	0.0958947368421	0.377052631579	0.0	0.0984210526316	0.428631578947
Mix_9	0.128778203491	0.0888676032354	0.036717752235	0.0753512132822	0.670285227756
Mix_10	0.197533763946	0.0	0.0	0.141867293012	0.660598943042
Mix_11	0.0852237890865	0.32781524627	0.0214592274678	0.0405681585939	0.524933578582
Mix_12	0.0	0.0716579909182	0.0476243216303	0.136116956474	0.744600730978
Mix_13	0.202898550725	0.00118970365563	0.0	0.0816569327277	0.714254812892
Mix_14	0.0103	0.0	0.0787	0.0076	0.9034
Mix_15	0.0193528878137	0.33857474045	0.0	0.0378994053019	0.604172966435
Mix_16	0.0951121455777	0.227888277613	0.0	0.0767033432078	0.600296233601
Mix_17	0.0416457096872	0.21939442712	0.0	0.0425510512021	0.696408811991
Mix_18	0.0	0.5173	0.0	0.031	0.4517
Mix_19	0.0315914489311	0.0	0.0464370546318	0.160926365796	0.761045130641
Mix_20	0.138922820655	0.134036646308	0.0	0.121710161022	0.605330372016
Mix_21	0.123829588015	0.148993445693	0.0	0.156952247191	0.570224719101
Mix_22	0.0265255144522	0.0	0.0	0.211966218627	0.76150826692
Mix_23	0.190557209698	0.261697150149	0.0	0.0720969800085	0.475648660145
Mix_24	0.0	0.456339168269	0.0	0.0298492360619	0.513811595669
Mix_25	0.177452596867	0.0589447650453	0.0	0.0373042044518	0.726298433636
Mix_26	0.0887770508304	0.221640664318	0.0	0.0308002013085	0.658782083543
Mix_27	0.140623203403	0.0773830056341	0.0	0.119466482695	0.662527308267
Mix_28	0.083617359691	0.162235855487	0.0	0.136446262213	0.617700522608
Mix_29	0.115400202634	0.225734549139	0.0	0.0405268490375	0.618338399189
Mix_30	0.097	0.0	0.1161	0.0143	0.7726
Mix_31	0.113783727254	0.200794812801	0.0	0.0748797322736	0.610541727672
Mix_32	0.0	0.51747886883	0.0	0.0372534696859	0.445267661484
Mix_33	0.0	0.283314202233	0.0	0.0738808306376	0.642804967129
Mix_34	0.150761053395	0.0	0.0	0.224933558831	0.624305387775
Mix_35	0.0794407042983	0.132573795961	0.084619368203	0.0473329880891	0.656033143449
Mix_36	0.120299145299	0.0866452991453	0.0	0.0691239316239	0.723931623932
Mix_37	0.0311433447099	0.0	0.0946032423208	0.0795648464164	0.794688566553
Mix_38	0.0	0.189608709712	0.00495849951493	0.113075347634	0.692357443139
Mix_39	0.162409409528	0.312938101461	0.0	0.172864441012	0.351788047998
Mix_40	0.125076328109	0.0	0.119580704254	0.0660492570731	0.689293710564
Mix_41	0.104942965779	0.0	0.147745790331	0.0789788158609	0.668332428028
Mix_42	0.083904109589	0.289081385979	0.0	0.0338436744561	0.593170829976
Mix_43	0.178690599471	0.0	0.0246231733978	0.144402255207	0.652283971925
Mix_44	0.0149352075555	0.108060619372	0.104107182078	0.124752910169	0.648144080826
Mix_45	0.0305895439377	0.0334816462736	0.0	0.0866518353726	0.849276974416
Mix_46	0.108447979364	0.167347377472	0.0	0.0658856405847	0.65831900258
Mix_47	0.099787950605	0.0	0.0	0.168516901584	0.731695147811
Mix_48	0.114439165462	0.174860565999	0.0	0.0716794050816	0.639020863458
Mix_49	0.0263	0.0423	0.1678	0.0149	0.7487
Mix_50	0.0	0.243811881188	0.0	0.0554867986799	0.700701320132
Mix_51	0.095893266625	0.270273087346	0.0	0.0727538044611	0.561079841568
Mix_52	0.0	0.0130650089559	0.0	0.0613212517121	0.925613739332
Mix_53	0.0942987457241	0.13078677309	0.0	0.131470923603	0.643443557583
Mix_54	0.0362573099415	0.0	0.281988304094	0.155789473684	0.525964912281
Mix_55	0.0	0.0	0.172131984881	0.0519971396465	0.775870875472
Mix_56	0.00634226353198	0.15680699836	0.0	0.0832148715145	0.753635866594
Mix_57	0.0	0.0568193410181	0.237172294196	0.0539630725288	0.652045292257
Mix_58	0.0252682242054	0.26982853705	0.0	0.0438183094355	0.661084929309
Mix_59	0.0375373826957	0.0	0.243889862844	0.0550685779107	0.663504176549
Mix_60	0.195384615385	0.0	0.0	0.0190769230769	0.785538461538
Mix_61	0.219197707736	0.0	0.0538902358387	0.122217324223	0.604694732202
Mix_62	0.2466873706	0.0	0.16314699793	0.022049689441	0.568115942029
Mix_63	0.0	0.0	0.221638655462	0.137254901961	0.641106442577
Mix_64	0.127804049958	0.0	0.0	0.212319631381	0.659876318661
Mix_65	0.100471318542	0.0719622945166	0.0	0.139441315094	0.688125071847
Mix_66	0.13221104496	0.105727776637	0.0142681174297	0.0388010675426	0.708991993431
Mix_67	0.282688992859	0.0879093819256	0.0	0.183082984487	0.446318640729
Mix_68	0.0284330244313	0.2299915754	0.0	0.0731887110362	0.668386689132
Mix_69	0.218389541909	0.0	0.0080193342854	0.089091508294	0.684499615511
Mix_70	0.0259930824861	0.260245257311	0.0	0.0542920029347	0.659469657269
Mix_71	0.0976258916214	0.0	0.0811242414564	0.0638773554775	0.757372511445
Mix_72	0.0	0.465900627726	0.0	0.100223428024	0.433875944249
