B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.249614791988	0.224724428114	0.0	0.0	0.525660779898
Mix_2	0.371545327455	0.27583611141	0.0	0.0	0.352618561136
Mix_3	0.143148187862	0.217134891701	0.0	0.0	0.639716920437
Mix_4	0.188617715127	0.273301073007	0.0	0.0	0.538081211866
Mix_5	0.448078920042	0.115887850467	0.0	0.0	0.436033229491
Mix_6	0.395082559961	0.0997951066651	0.0	0.0	0.505122333374
Mix_7	0.230619559652	0.333435739887	0.0	0.0	0.435944700461
Mix_8	0.397862494491	0.424636403702	0.0	0.0	0.177501101807
Mix_9	0.321081312106	0.234747302062	0.0	0.0	0.444171385832
Mix_10	0.428017718715	0.137320044297	0.0	0.0	0.434662236988
Mix_11	0.280367969893	0.35960694125	0.0	0.0	0.360025088856
Mix_12	0.13575591361	0.25871328991	0.0	0.0	0.60553079648
Mix_13	0.417050691244	0.21491411814	0.0	0.0	0.368035190616
Mix_14	0.118031447825	0.290381866449	0.0	0.0	0.591586685726
Mix_15	0.203660845782	0.430044182622	0.0	0.0	0.366294971597
Mix_16	0.33540239726	0.352311643836	0.0	0.0	0.312285958904
Mix_17	0.225759315312	0.378561736771	0.0	0.0	0.395678947918
Mix_18	0.222680194462	0.548404142887	0.0	0.0	0.228915662651
Mix_19	0.204968226459	0.183362218371	0.0	0.0	0.61166955517
Mix_20	0.393440812721	0.26214664311	0.0	0.0	0.34441254417
Mix_21	0.4062965083	0.271093302805	0.0	0.0	0.322610188895
Mix_22	0.224513987672	0.206851588431	0.0	0.0	0.568634423898
Mix_23	0.456334432507	0.290926497181	0.0	0.0	0.252739070312
Mix_24	0.0625	0.612847222222	0.0	0.0	0.324652777778
Mix_25	0.380484811292	0.262248133374	0.0	0.0	0.357267055334
Mix_26	0.295649478144	0.375839619717	0.0	0.0	0.328510902139
Mix_27	0.439593235327	0.302641759699	0.0	0.0	0.257765004974
Mix_28	0.328353140917	0.268477645727	0.0	0.0	0.403169213356
Mix_29	0.343782117163	0.367625899281	0.0	0.0	0.288591983556
Mix_30	0.222587268994	0.197433264887	0.0	0.0	0.579979466119
Mix_31	0.345309168443	0.323347547974	0.0	0.0	0.331343283582
Mix_32	0.235568576389	0.532660590278	0.0	0.0	0.231770833333
Mix_33	0.163394415358	0.420702443281	0.0	0.0	0.415903141361
Mix_34	0.412759957702	0.132769357302	0.0	0.0	0.454470684996
Mix_35	0.254373024236	0.274183350896	0.0	0.0	0.471443624868
Mix_36	0.313955950868	0.265459551038	0.0	0.0	0.420584498094
Mix_37	0.16990920882	0.194876783398	0.0	0.0	0.635214007782
Mix_38	0.140905498476	0.328666591397	0.0	0.0	0.530427910128
Mix_39	0.532241076653	0.302165008777	0.0	0.0	0.16559391457
Mix_40	0.278930188481	0.156365167948	0.0	0.0	0.564704643572
Mix_41	0.253333333333	0.162493224932	0.0	0.0	0.584173441734
Mix_42	0.313288866085	0.424422780913	0.0	0.0	0.262288353002
Mix_43	0.399379776276	0.137335253073	0.0	0.0	0.46328497065
Mix_44	0.186799501868	0.236159855089	0.0	0.0	0.577040643043
Mix_45	0.213413304253	0.296837513631	0.0	0.0	0.489749182116
Mix_46	0.374867219035	0.378053962184	0.0	0.0	0.247078818781
Mix_47	0.336213849522	0.184007374121	0.0	0.0	0.479778776357
Mix_48	0.320384249974	0.287026285232	0.0	0.0	0.392589464795
Mix_49	0.146756616502	0.257913855734	0.0	0.0	0.595329527763
Mix_50	0.180259350552	0.458364591148	0.0	0.0	0.3613760583
Mix_51	0.32611709502	0.350111976112	0.0	0.0	0.323770928869
Mix_52	0.0930331804118	0.309506027953	0.0	0.0	0.597460791636
Mix_53	0.340919282511	0.289573991031	0.0	0.0	0.369506726457
Mix_54	0.202546569205	0.0515208677199	0.0	0.0	0.745932563075
Mix_55	0.109783907047	0.197741339993	0.0	0.0	0.692474752959
Mix_56	0.204926108374	0.375041050903	0.0	0.0	0.420032840722
Mix_57	0.0520660241498	0.225545585466	0.0	0.0	0.722388390384
Mix_58	0.194031413613	0.41277486911	0.0	0.0	0.393193717277
Mix_59	0.149412905311	0.126036841538	0.0	0.0	0.724550253151
Mix_60	0.412226020511	0.28976472954	0.0	0.0	0.29800924995
Mix_61	0.430608468488	0.12844236421	0.0	0.0	0.440949167302
Mix_62	0.41450617284	0.11378600823	0.0	0.0	0.47170781893
Mix_63	0.150291036088	0.126193247963	0.0	0.0	0.723515715949
Mix_64	0.382249766137	0.193171188026	0.0	0.0	0.424579045837
Mix_65	0.35847992783	0.258231844835	0.0	0.0	0.383288227334
Mix_66	0.311617359035	0.27430161839	0.0	0.0	0.414081022575
Mix_67	0.552414339025	0.139319235554	0.0	0.0	0.308266425421
Mix_68	0.253671706263	0.408531317495	0.0	0.0	0.337796976242
Mix_69	0.431151003168	0.166420274551	0.0	0.0	0.402428722281
Mix_70	0.220805440442	0.422165550951	0.0	0.0	0.357029008607
Mix_71	0.247261512283	0.170477507179	0.0	0.0	0.582260980538
Mix_72	0.261063976152	0.519032332034	0.0	0.0	0.219903691814
Mix_73	0.0885561497326	0.233155080214	0.0	0.0	0.678288770053
Mix_74	0.418743768694	0.0948266312175	0.0	0.0	0.486429600089
Mix_75	0.21412803532	0.209397666351	0.0	0.0	0.576474298329
Mix_76	0.211665098777	0.189192014216	0.0	0.0	0.599142887007
Mix_77	0.282886408102	0.243181033491	0.0	0.0	0.473932558407
Mix_78	0.0982653061224	0.353265306122	0.0	0.0	0.548469387755
Mix_79	0.144193474789	0.0763175906913	0.0	0.0	0.77948893452
Mix_80	0.273118742599	0.382172462052	0.0	0.0	0.344708795349
Mix_81	0.283397683398	0.169884169884	0.0	0.0	0.546718146718
Mix_82	0.274569402229	0.227760891591	0.0	0.0	0.49766970618
