B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0235	0.0706	0.0527	0.7143	0.1389
mix_2	0.00640064006401	0.040104010401	0.0649064906491	0.855885588559	0.032703270327
mix_3	0.2008	0.4849	0.0874	0.147	0.0799
mix_4	0.2517	0.1889	0.1003	0.3705	0.0886
mix_5	0.167683231677	0.124187581242	0.224377562244	0.311268873113	0.172482751725
mix_6	0.1314	0.1111	0.145	0.5431	0.0694
mix_7	0.3486	0.2048	0.0947	0.2124	0.1395
mix_8	0.2496	0.1192	0.0223	0.6089	0.0
mix_9	0.0394	0.1404	0.0857	0.5637	0.1708
mix_10	0.4065	0.1253	0.1647	0.3035	0.0
mix_11	0.026597340266	0.0965903409659	0.017798220178	0.813718628137	0.045295470453
mix_12	0.002	0.1079	0.1256	0.7406	0.0239
mix_13	0.4406	0.1261	0.064	0.2044	0.1649
mix_14	0.4517	0.0747	0.2044	0.2692	0.0
mix_15	0.32803280328	0.0615061506151	0.16801680168	0.0909090909091	0.351535153515
mix_16	0.217621762176	0.311131113111	0.102510251025	0.311631163116	0.0571057105711
mix_17	0.621919191919	0.181515151515	0.189898989899	0.00666666666667	0.0
mix_18	0.0271	0.0335	0.0435	0.8893	0.0066
mix_19	0.224722472247	0.0631063106311	0.154315431543	0.516651665167	0.041204120412
mix_20	0.1111	0.2922	0.4692	0.0106	0.1169
mix_21	0.30612244898	0.159663865546	0.262905162065	0.263905562225	0.00740296118447
mix_22	0.265426542654	0.046204620462	0.109110911091	0.420642064206	0.158615861586
mix_23	0.306075467921	0.171854669202	0.0382344109699	0.47762986688	0.00620558502652
mix_24	0.0021	0.0248	0.0125	0.894	0.0666
mix_25	0.032703270327	0.256725672567	0.12401240124	0.586558655866	0.0
mix_26	0.0331	0.4264	0.1051	0.0215	0.4139
mix_27	0.247424742474	0.00890089008901	0.0	0.627162716272	0.116511651165
mix_28	0.209220922092	0.342134213421	0.291529152915	0.016701670167	0.140414041404
mix_29	0.1136	0.166	0.0931	0.5022	0.1251
