B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0880351573575	0.392826764956	0.519138077686	0.0	0.0
mix_2	0.131689157748	0.543508608655	0.324802233597	0.0	0.0
mix_3	0.0692284538979	0.424099528444	0.506672017658	0.0	0.0
mix_4	0.194252077562	0.365881809788	0.43986611265	0.0	0.0
mix_5	0.126209172641	0.198361215432	0.675429611927	0.0	0.0
mix_6	0.141854636591	0.333959899749	0.524185463659	0.0	0.0
mix_7	0.224961815405	0.307658738817	0.467379445778	0.0	0.0
mix_8	0.275911834164	0.589215429021	0.134872736814	0.0	0.0
mix_9	0.0449537799164	0.367228061289	0.587818158794	0.0	0.0
mix_10	0.280338028169	0.306929577465	0.412732394366	0.0	0.0
mix_11	0.1492713087	0.613425585161	0.237303106139	0.0	0.0
mix_12	0.0305785123967	0.490082644628	0.479338842975	0.0	0.0
mix_13	0.286357150697	0.223685654703	0.4899571946	0.0	0.0
mix_14	0.308848650495	0.247010591049	0.444140758456	0.0	0.0
mix_15	0.238826232247	0.0195279866332	0.741645781119	0.0	0.0
mix_16	0.129349386944	0.430354578593	0.440296034464	0.0	0.0
mix_17	0.3422	0.1986	0.4592	0.0	0.0
mix_18	0.188538592949	0.573536263395	0.237925143656	0.0	0.0
mix_19	0.231999008551	0.351716445656	0.416284545793	0.0	0.0
mix_20	0.0	0.1274	0.8726	0.0	0.0
mix_21	0.184548880514	0.308246508535	0.507204610951	0.0	0.0
mix_22	0.260600049591	0.163773865609	0.5756260848	0.0	0.0
mix_23	0.260628688426	0.475129471275	0.264241840299	0.0	0.0
mix_24	0.168439716312	0.565119277885	0.266441005803	0.0	0.0
mix_25	0.0261933904529	0.581517747858	0.392288861689	0.0	0.0
mix_26	0.0	0.1509	0.8491	0.0	0.0
mix_27	0.411384976526	0.366784037559	0.221830985915	0.0	0.0
mix_28	0.0812	0.22	0.6988	0.0	0.0
mix_29	0.115824015557	0.396208070005	0.487967914439	0.0	0.0
mix_30	0.155840978593	0.371376146789	0.472782874618	0.0	0.0
mix_31	0.110769986491	0.520692619428	0.368537394081	0.0	0.0
mix_32	0.131478143308	0.342496620099	0.526025236593	0.0	0.0
mix_33	0.188081936685	0.484667908132	0.327250155183	0.0	0.0
mix_34	0.0794749747584	0.506130102409	0.414394922833	0.0	0.0
mix_35	0.123196881092	0.2897985705	0.587004548408	0.0	0.0
mix_36	0.225844377939	0.465583582728	0.308572039333	0.0	0.0
mix_37	0.22483109979	0.545796876731	0.22937202348	0.0	0.0
mix_38	0.0102	0.3127	0.6771	0.0	0.0
mix_39	0.223010326484	0.0809429435694	0.696046729947	0.0	0.0
