B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0	0.576368876081	0.0355427473583	0.0	0.388088376561
mix_2	0.0	0.931924882629	0.0	0.0	0.0680751173709
mix_3	0.0	0.84140639611	0.135777071255	0.0	0.0228165326351
mix_4	0.0	0.733928571429	0.162053571429	0.0	0.104017857143
mix_5	0.0	0.360315604909	0.403272939801	0.0	0.236411455289
mix_6	0.0	0.506779661017	0.385875706215	0.0	0.107344632768
mix_7	0.0	0.719059860448	0.102827763496	0.0	0.178112376056
mix_8	0.0	1.0	0.0	0.0	0.0
mix_9	0.0	0.601204261232	0.0949513663733	0.0	0.303844372395
mix_10	0.0	0.593344613649	0.406655386351	0.0	0.0
mix_11	0.0	1.0	0.0	0.0	0.0
mix_12	0.0	0.637435519528	0.362564480472	0.0	0.0
mix_13	0.0	0.659444444444	0.0233333333333	0.0	0.317222222222
mix_14	0.0	0.437880633374	0.562119366626	0.0	0.0
mix_15	0.0	0.222720084344	0.267527675277	0.0	0.50975224038
mix_16	0.0	0.828391734052	0.161725067385	0.0	0.00988319856244
mix_17	0.0	0.56587966489	0.43412033511	0.0	0.0
mix_18	0.0	1.0	0.0	0.0	0.0
mix_19	0.0	0.446177847114	0.479719188768	0.0	0.0741029641186
mix_20	0.0	0.369318181818	0.602840909091	0.0	0.0278409090909
mix_21	0.0	0.463327948304	0.536672051696	0.0	0.0
mix_22	0.0	0.364779874214	0.247379454927	0.0	0.38784067086
mix_23	0.0	1.0	0.0	0.0	0.0
mix_24	0.0	0.676616915423	0.0	0.0	0.323383084577
mix_25	0.0	0.76980568012	0.23019431988	0.0	0.0
mix_26	0.0	0.563469147685	0.156239974334	0.0	0.280290877981
mix_27	0.0	0.0	0.0	0.0	1.0
mix_28	0.0	0.533679483581	0.39138366545	0.0	0.0749368509683
mix_29	0.0	0.688952110005	0.127074442864	0.0	0.183973447131
mix_30	0.0	0.6355624676	0.241057542768	0.0	0.123379989632
mix_31	0.0	0.971726190476	0.0	0.0	0.0282738095238
mix_32	0.0	0.655066530194	0.259297168202	0.0	0.0856363016035
mix_33	0.0	0.905316824472	0.0	0.0	0.094683175528
mix_34	0.0	0.811320754717	0.0	0.0	0.188679245283
mix_35	0.0	0.361928616155	0.527864746399	0.0	0.110206637445
mix_36	0.0	0.982857142857	0.0	0.0	0.0171428571429
mix_37	0.0	1.0	0.0	0.0	0.0
mix_38	0.0	0.735313796333	0.0978188143985	0.0	0.166867389268
mix_39	0.0	0.320716555909	0.336607916787	0.0	0.342675527304
mix_40	0.0	1.0	0.0	0.0	0.0
mix_41	0.0	0.379456706282	0.328522920204	0.0	0.292020373514
mix_42	0.0	0.640894271076	0.330926874709	0.0	0.0281788542152
mix_43	0.0	0.413401253918	0.343847962382	0.0	0.242750783699
mix_44	0.0	0.757941668215	0.0672487460524	0.0	0.174809585733
mix_45	0.0	0.83903712297	0.16096287703	0.0	0.0
mix_46	0.0	0.259846636459	0.629487626351	0.0	0.110665737191
mix_47	0.0	0.950037285608	0.0499627143922	0.0	0.0
mix_48	0.0	0.0	0.0	0.0	1.0
mix_49	0.0	0.457286432161	0.139447236181	0.0	0.403266331658
mix_50	0.0	0.798573975045	0.201426024955	0.0	0.0
mix_51	0.0	0.304668304668	0.0	0.0	0.695331695332
mix_52	0.0	0.779407271616	0.00366636113657	0.0	0.216926367247
mix_53	0.0	0.65504587156	0.0	0.0	0.34495412844
mix_54	0.0	0.271397746344	0.728602253656	0.0	0.0
mix_55	0.0	0.751020408163	0.0	0.0	0.248979591837
mix_56	0.0	0.799641301563	0.200358698437	0.0	0.0
mix_57	0.0	0.834389140271	0.0	0.0	0.165610859729
mix_58	0.0	0.607366984993	0.187448840382	0.0	0.205184174625
mix_59	0.0	0.271382636656	0.518327974277	0.0	0.210289389068
mix_60	0.0	0.538412698413	0.461587301587	0.0	0.0
mix_61	0.0	0.857692924755	0.142307075245	0.0	0.0
mix_62	0.0	0.822423398329	0.0471796657382	0.0	0.130396935933
mix_63	0.0	0.791154791155	0.148648648649	0.0	0.0601965601966
mix_64	0.0	1.0	0.0	0.0	0.0
mix_65	0.0	0.484756097561	0.0329268292683	0.0	0.482317073171
mix_66	0.0	0.0911680911681	0.0	0.0	0.908831908832
mix_67	0.0	0.591122592767	0.185533114138	0.0	0.223344293095
mix_68	0.0	0.283767946088	0.464547319074	0.0	0.251684734837
mix_69	0.0	1.0	0.0	0.0	0.0
mix_70	0.0	0.0	0.0	0.0	1.0
mix_71	0.0	1.0	0.0	0.0	0.0
mix_72	0.0	1.0	0.0	0.0	0.0
mix_73	0.0	0.324550898204	0.0670658682635	0.0	0.608383233533
mix_74	0.0	0.917986425339	0.0	0.0	0.0820135746606
mix_75	0.0	0.743697478992	0.0	0.0	0.256302521008
mix_76	0.0	0.467232530596	0.335767864193	0.0	0.196999605211
mix_77	0.0	0.622461170848	0.332377538829	0.0	0.0451612903226
mix_78	0.0	0.532381997805	0.255762897914	0.0	0.211855104281
mix_79	0.0	0.858399296394	0.141600703606	0.0	0.0
mix_80	0.0	0.595846645367	0.404153354633	0.0	0.0
mix_81	0.0	0.79394079556	0.20605920444	0.0	0.0
mix_82	0.0	0.527972027972	0.472027972028	0.0	0.0
mix_83	0.0	0.685598377282	0.0	0.0	0.314401622718
mix_84	0.0	0.732737890759	0.267262109241	0.0	0.0
mix_85	0.0	0.667407613226	0.332592386774	0.0	0.0
mix_86	0.0	0.710031801099	0.206418039896	0.0	0.0835501590055
mix_87	0.0	0.833815028902	0.166184971098	0.0	0.0
mix_88	0.0	0.639761225019	0.241370360758	0.0	0.118868414223
mix_89	0.0	0.573132454488	0.388418079096	0.0	0.0384494664156
mix_90	0.0	0.645759717314	0.354240282686	0.0	0.0
mix_91	0.0	0.483383685801	0.0	0.0	0.516616314199
mix_92	0.0	0.977588046958	0.0224119530416	0.0	0.0
mix_93	0.0	1.0	0.0	0.0	0.0
mix_94	0.0	0.25854214123	0.234624145786	0.0	0.506833712984
mix_95	0.0	0.0647773279352	0.0	0.0	0.935222672065
mix_96	0.0	0.0715630885122	0.0	0.0	0.928436911488
mix_97	0.0	0.723101265823	0.26582278481	0.0	0.0110759493671
mix_98	0.0	1.0	0.0	0.0	0.0
mix_99	0.0	0.785706169753	0.214293830247	0.0	0.0
mix_100	0.0	0.909698996656	0.0903010033445	0.0	0.0
