B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.0	0.884955752212	0.0	0.0	0.115044247788	0.0
mix_2	0.348940208795	0.0066434672572	0.600442897817	0.0	0.0	0.043973426131	0.0
mix_3	0.210992907801	0.109929078014	0.281914893617	0.0	0.0	0.397163120567	0.0
mix_4	0.127570518653	0.400727934486	0.430391264786	0.0	0.0	0.0413102820746	0.0
mix_5	0.191339648173	0.176184032476	0.489580514208	0.0	0.0	0.142895805142	0.0
mix_6	0.15815228029	0.248580935604	0.544333529066	0.0	0.0	0.0489332550401	0.0
mix_7	0.278516445066	0.113715885234	0.415325402379	0.0	0.0	0.19244226732	0.0
mix_8	0.133119486768	0.0	0.750601443464	0.0	0.0	0.116279069767	0.0
mix_9	0.0935996500948	0.260533605482	0.621373378043	0.0	0.0	0.0244933663799	0.0
mix_10	0.212363636364	0.479636363636	0.104727272727	0.0	0.0	0.203272727273	0.0
mix_11	0.186861069214	0.0	0.698340874811	0.0	0.0	0.114798055975	0.0
mix_12	0.0496894409938	0.367588932806	0.445511010728	0.0	0.0	0.137210615471	0.0
mix_13	0.0407303370787	0.68984082397	0.246956928839	0.0	0.0	0.0224719101124	0.0
mix_14	0.120939786879	0.425985363975	0.334574399795	0.0	0.0	0.118500449352	0.0
mix_15	0.135570911484	0.079302402106	0.665679499835	0.0	0.0	0.119447186575	0.0
mix_16	0.471661490683	0.192546583851	0.136257763975	0.0	0.0	0.199534161491	0.0
mix_17	0.243736951983	0.356993736952	0.157098121086	0.0	0.0	0.242171189979	0.0
mix_18	0.105164758121	0.773077821921	0.0210329516242	0.0	0.0	0.100724468334	0.0
mix_19	0.173173173173	0.128128128128	0.361361361361	0.0	0.0	0.337337337337	0.0
mix_20	0.212058212058	0.295911295911	0.477477477477	0.0	0.0	0.014553014553	0.0
mix_21	0.0901219992129	0.675324675325	0.090515545061	0.0	0.0	0.144037780401	0.0
mix_22	0.0646149134895	0.175623947328	0.538049303323	0.0	0.0	0.22171183586	0.0
mix_23	0.114341846758	0.257367387033	0.569941060904	0.0	0.0	0.0583497053045	0.0
mix_24	0.163000903887	0.32178366978	0.390479059958	0.0	0.0	0.124736366375	0.0
mix_25	0.141304347826	0.346583850932	0.503105590062	0.0	0.0	0.00900621118012	0.0
mix_26	0.0727202770296	0.611004232397	0.0719507502886	0.0	0.0	0.244324740285	0.0
mix_27	0.0858941132914	0.0333209922251	0.817660125879	0.0	0.0	0.0631247686042	0.0
mix_28	0.155010318734	0.277229993121	0.502866315065	0.0	0.0	0.0648933730796	0.0
mix_29	0.0893625342198	0.000977708251858	0.814235432147	0.0	0.0	0.0954243253813	0.0
mix_30	0.063011747953	0.383944464222	0.511925952296	0.0	0.0	0.0411178355287	0.0
mix_31	0.0558340929809	0.418869644485	0.407474931632	0.0	0.0	0.117821330902	0.0
mix_32	0.112567956508	0.419358277369	0.286856411896	0.0	0.0	0.181217354227	0.0
mix_33	0.019598354706	0.613597870796	0.167190902492	0.0	0.0	0.199612872006	0.0
mix_34	0.312254376563	0.280814576635	0.128974633798	0.0	0.0	0.277956413005	0.0
mix_35	0.0778706555213	0.258688957325	0.563132424109	0.0	0.0	0.100307963044	0.0
mix_36	0.132416787265	0.237095996141	0.433429811867	0.0	0.0	0.197057404727	0.0
