B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.197552928238	0.694665933462	0.0	0.0	0.103519384108	0.00426175419302
mix_2	0.0	0.224363800632	0.516337900919	0.0	0.0	0.131757265472	0.127541032977
mix_3	0.00768845061006	0.290322580645	0.139562092596	0.0	0.0	0.447100116998	0.115326759151
mix_4	0.0	0.476860537836	0.505315822389	0.0	0.0	0.0178236397749	0.0
mix_5	0.0	0.250757213454	0.600031882672	0.0	0.0	0.137095488602	0.0121154152718
mix_6	0.0	0.389614333435	0.586547221379	0.0	0.0	0.0238384451868	0.0
mix_7	0.0	0.227401574803	0.45874015748	0.0	0.0	0.228188976378	0.0856692913386
mix_8	0.0	0.169469026549	0.548525073746	0.0	0.0	0.198967551622	0.0830383480826
mix_9	0.0	0.399542399542	0.600028600029	0.0	0.0	0.000429000429	0.0
mix_10	0.0357142857143	0.563401048493	0.21625163827	0.0	0.0	0.155799475754	0.0288335517693
mix_11	0.0	0.217967818832	0.69889749702	0.0	0.0	0.0667461263409	0.0163885578069
mix_12	0.0	0.391055228394	0.495623109979	0.0	0.0	0.113321661627	0.0
mix_13	0.0	0.675844594595	0.275675675676	0.0	0.0	0.0484797297297	0.0
mix_14	0.0	0.533167237621	0.434911242604	0.0	0.0	0.0319215197758	0.0
mix_15	0.0	0.260726589414	0.609927967429	0.0	0.0	0.127309740056	0.00203570310053
mix_16	0.0	0.386410304275	0.0843755833489	0.0	0.0	0.447825275341	0.0813888370357
mix_17	0.0138390568939	0.361694857338	0.136169485734	0.0	0.0	0.380317785751	0.107978814283
mix_18	0.0402843601896	0.681448882871	0.0677048070413	0.0	0.0	0.149289099526	0.0612728503724
mix_19	0.0171734677801	0.277926579486	0.19977942335	0.0	0.0	0.400819284701	0.104301244683
mix_20	0.0	0.475433070866	0.480787401575	0.0	0.0	0.0437795275591	0.0
mix_21	0.0224493214944	0.548333054113	0.180599765455	0.0	0.0	0.219467247445	0.0291506114927
mix_22	0.0	0.323666978485	0.561584034924	0.0	0.0	0.0997817274712	0.0149672591207
mix_23	0.0	0.439279224712	0.50666262871	0.0	0.0	0.0540581465778	0.0
mix_24	0.0	0.363889343591	0.506956948764	0.0	0.0	0.129153707644	0.0
mix_25	0.0	0.486890830988	0.511183528366	0.0	0.0	0.00192564064583	0.0
mix_26	0.0211734281558	0.520930984322	0.109584612898	0.0	0.0	0.304186196864	0.0441247777598
mix_27	0.0	0.282889079966	0.6728288908	0.0	0.0	0.0442820292347	0.0
mix_28	0.0	0.399043062201	0.562360446571	0.0	0.0	0.0385964912281	0.0
mix_29	0.0	0.199238206856	0.673600937592	0.0	0.0	0.0808672721946	0.0462935833577
mix_30	0.0	0.485355006901	0.495322803251	0.0	0.0	0.0193221898482	0.0
mix_31	0.0	0.488598309679	0.38351140169	0.0	0.0	0.104927443789	0.0229628448413
mix_32	0.00605308086295	0.581871798851	0.375756635108	0.0	0.0	0.0363184851777	0.0
mix_33	0.000670241286863	0.610757372654	0.241621983914	0.0	0.0	0.146950402145	0.0
mix_34	0.0392071126658	0.403002477773	0.0209881941408	0.0	0.0	0.312636641889	0.224165573532
mix_35	0.0	0.389661096361	0.513196938935	0.0	0.0	0.077619865688	0.0195220990161
mix_36	0.0	0.368116395494	0.456821026283	0.0	0.0	0.139392991239	0.0356695869837
mix_37	0.00187393526405	0.313458262351	0.317546848382	0.0	0.0	0.303236797274	0.0638841567291
mix_38	0.0	0.195102040816	0.521959183673	0.0	0.0	0.258285714286	0.0246530612245
mix_39	0.0	0.381012458603	0.576092099038	0.0	0.0	0.0414761078694	0.00141933448983
mix_40	0.0	0.460416666667	0.365224358974	0.0	0.0	0.147916666667	0.0264423076923
mix_41	0.0198590647021	0.469891095452	0.143017296605	0.0	0.0	0.315182575272	0.0520499679693
mix_42	0.027280334728	0.74460251046	0.167531380753	0.0	0.0	0.0107112970711	0.0498744769874
mix_43	0.0306018361102	0.516831009861	0.14722883373	0.0	0.0	0.247024821489	0.0583134988099
mix_44	0.0	0.390365190365	0.543278943279	0.0	0.0	0.0663558663559	0.0
mix_45	0.0	0.245779467681	0.531558935361	0.0	0.0	0.10752851711	0.115133079848
mix_46	0.00229357798165	0.424311926606	0.285714285714	0.0	0.0	0.26998689384	0.0176933158585
mix_47	0.0104684173172	0.297551454933	0.0	0.0	0.0	0.543647977289	0.148332150461
mix_48	0.0449212202481	0.660241367751	0.18052296346	0.0	0.0	0.0913509889373	0.0229634596044
mix_49	0.00093735353851	0.300578034682	0.414310264021	0.0	0.0	0.173410404624	0.110763943134
mix_50	0.0	0.364385692068	0.563141524106	0.0	0.0	0.0430793157076	0.0293934681182
mix_51	0.0205283526838	0.444051825677	0.0763923944136	0.0	0.0	0.374390038701	0.0846373885243
