B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.203551912568	0.296277322404	0.500170765027	0.0	0.0	0.0	0.0
mix_2	0.323233959819	0.387556707712	0.289209332469	0.0	0.0	0.0	0.0
mix_3	0.322432587493	0.54369860394	0.133868808568	0.0	0.0	0.0	0.0
mix_4	0.199121522694	0.474963396779	0.325915080527	0.0	0.0	0.0	0.0
mix_5	0.237202477992	0.480273883274	0.282523638735	0.0	0.0	0.0	0.0
mix_6	0.209162145871	0.45253164557	0.338306208559	0.0	0.0	0.0	0.0
mix_7	0.271137026239	0.493397358944	0.235465614817	0.0	0.0	0.0	0.0
mix_8	0.265235457064	0.439923822715	0.294840720222	0.0	0.0	0.0	0.0
mix_9	0.172033777014	0.429798196651	0.398168026335	0.0	0.0	0.0	0.0
mix_10	0.278525083083	0.542490900459	0.178984016458	0.0	0.0	0.0	0.0
mix_11	0.253915519696	0.286505299794	0.459579180509	0.0	0.0	0.0	0.0
mix_12	0.191541476159	0.524983670803	0.283474853037	0.0	0.0	0.0	0.0
mix_13	0.201510574018	0.545619335347	0.252870090634	0.0	0.0	0.0	0.0
mix_14	0.210464432687	0.466931216931	0.322604350382	0.0	0.0	0.0	0.0
mix_15	0.243061258006	0.467728691082	0.289210050911	0.0	0.0	0.0	0.0
mix_16	0.341059012302	0.561775717597	0.0971652701016	0.0	0.0	0.0	0.0
mix_17	0.308730715288	0.589761570827	0.101507713885	0.0	0.0	0.0	0.0
mix_18	0.270001529754	0.600887257152	0.129111213095	0.0	0.0	0.0	0.0
mix_19	0.289857784431	0.520396706587	0.189745508982	0.0	0.0	0.0	0.0
mix_20	0.264988897113	0.478460399704	0.256550703183	0.0	0.0	0.0	0.0
mix_21	0.245697426651	0.626126864448	0.1281757089	0.0	0.0	0.0	0.0
mix_22	0.188037012558	0.40383344349	0.408129543952	0.0	0.0	0.0	0.0
mix_23	0.227136879857	0.422295277944	0.3505678422	0.0	0.0	0.0	0.0
mix_24	0.22842964623	0.537217864575	0.234352489195	0.0	0.0	0.0	0.0
