B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.0	0.868696954568	0.0	0.00748876684973	0.123814278582	0.0
mix_2	0.0	0.0	1.0	0.0	0.0	0.0	0.0
mix_3	0.0	0.0	0.45426594927	0.0	0.380732769664	0.165001281066	0.0
mix_4	0.0	0.0	0.705295812098	0.0	0.294704187902	0.0	0.0
mix_5	0.0	0.0	0.65	0.0	0.346268656716	0.00373134328358	0.0
mix_6	0.0	0.0	0.745472440945	0.0	0.254527559055	0.0	0.0
mix_7	0.0	0.0	0.593048232767	0.0	0.372388205429	0.0345635618043	0.0
mix_8	0.0	0.0	0.704265402844	0.0	0.295734597156	0.0	0.0
mix_9	0.0	0.0	0.813587754246	0.0	0.186412245754	0.0	0.0
mix_10	0.0	0.0	0.483666504144	0.0	0.22915650902	0.287176986836	0.0
mix_11	0.0118357487923	0.0	0.854347826087	0.0	0.0	0.133816425121	0.0
mix_12	0.0	0.0	0.651106639839	0.0	0.348893360161	0.0	0.0
mix_13	0.0	0.0	0.99520383693	0.0	0.00479616306954	0.0	0.0
mix_14	0.0	0.0	0.814250155569	0.0	0.0743621655258	0.111387678905	0.0
mix_15	0.0	0.0	0.71795926764	0.0	0.28204073236	0.0	0.0
mix_16	0.0673602080624	0.0	0.407282184655	0.0	0.525357607282	0.0	0.0
mix_17	0.0138488170802	0.0	0.392383150606	0.0	0.593768032314	0.0	0.0
mix_18	0.0	0.664294187426	0.0	0.0	0.0	0.335705812574	0.0
mix_19	0.0	0.0	0.519466666667	0.0	0.3328	0.147733333333	0.0
mix_20	0.0	0.0	0.956197274497	0.0	0.0438027255029	0.0	0.0
mix_21	0.0	0.0513698630137	0.394520547945	0.0	0.554109589041	0.0	0.0
mix_22	0.0	0.0	0.701860666378	0.0	0.0947641713544	0.203375162267	0.0
mix_23	0.00101694915254	0.0	0.998983050847	0.0	0.0	0.0	0.0
mix_24	0.0	0.0	0.633034825871	0.0	0.366965174129	0.0	0.0
mix_25	0.0	0.0	0.887029288703	0.0	0.112970711297	0.0	0.0
mix_26	0.0	0.0	0.276039234003	0.0	0.610929472209	0.113031293788	0.0
mix_27	0.0	0.0	1.0	0.0	0.0	0.0	0.0
