Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10001	0.356185303993	0.384997960177	0.25881673583	0.0	0.0
S10006	0.351022936311	0.400941899367	0.248035164321	0.0	0.0
S1001	0.33194847515	0.41342759055	0.2546239343	0.0	0.0
S10010	0.352242897266	0.398934257577	0.248822845157	0.0	0.0
S10011	0.342684062983	0.404317151786	0.252998785231	0.0	0.0
S10014	0.341223998256	0.41392043174	0.244855570004	0.0	0.0
S10026	0.342973735355	0.396459020394	0.260567244251	0.0	0.0
S10032	0.330843980715	0.393191353396	0.275964665888	0.0	0.0
S10036	0.348134178283	0.407163058372	0.244702763344	0.0	0.0
S10042	0.335565656981	0.417476176983	0.246958166037	0.0	0.0
S10044	0.346559613642	0.406434961347	0.247005425011	0.0	0.0
S10049	0.332349242136	0.419833267509	0.247817490355	0.0	0.0
S10057	0.338761755113	0.407832990406	0.253405254481	0.0	0.0
S10062	0.328832337592	0.427842104033	0.243325558376	0.0	0.0
S10066	0.374357189566	0.369924178489	0.255718631945	0.0	0.0
S10067	0.325492534596	0.426513447732	0.247994017672	0.0	0.0
S1007	0.344462658604	0.404457598343	0.251079743053	0.0	0.0
S10073	0.326769827344	0.432189344062	0.241040828594	0.0	0.0
S10077	0.338509265374	0.407531602828	0.253959131798	0.0	0.0
S10080	0.335687417367	0.419294183851	0.245018398782	0.0	0.0
S10082	0.352325862055	0.392523335759	0.255150802186	0.0	0.0
S10087	0.334023377961	0.400603722007	0.265372900032	0.0	0.0
S10089	0.347080508201	0.403652303993	0.249267187807	0.0	0.0
S1009	0.330150283472	0.421087511829	0.2487622047	0.0	0.0
S10090	0.347741758388	0.399537743302	0.25272049831	0.0	0.0
S10093	0.341338167103	0.412854111301	0.245807721596	0.0	0.0
S10094	0.341119057469	0.404372412801	0.25450852973	0.0	0.0
S1010	0.321263313005	0.435800791648	0.242935895348	0.0	0.0
S10111	0.334798054648	0.412117638639	0.253084306713	0.0	0.0
S10116	0.302887639321	0.458360836114	0.238751524565	0.0	0.0
S10119	0.327020293931	0.429685472759	0.243294233311	0.0	0.0
S10121	0.325017347061	0.433746206471	0.241236446468	0.0	0.0
S10130	0.346300858468	0.405491343045	0.248207798486	0.0	0.0
S10140	0.347365605331	0.392504483123	0.260129911546	0.0	0.0
S10142	0.313024859555	0.440630235184	0.246344905261	0.0	0.0
S10150	0.361844677813	0.384970310576	0.253185011611	0.0	0.0
S10155	0.337167919585	0.415171574287	0.247660506128	0.0	0.0
S1016	0.33177569894	0.413083702139	0.255140598921	0.0	0.0
S10163	0.341485471446	0.412749273776	0.245765254778	0.0	0.0
S10167	0.331567338599	0.427434258723	0.240998402677	0.0	0.0
S10168	0.320564405945	0.441211557882	0.238224036174	0.0	0.0
S10173	0.336316265996	0.412650861172	0.251032872832	0.0	0.0
S10175	0.346773956218	0.401970058143	0.251255985639	0.0	0.0
S10179	0.30851007878	0.446250134807	0.245239786413	0.0	0.0
S10186	0.30015498389	0.445998557587	0.253846458523	0.0	0.0
S1019	0.329695366629	0.415452693932	0.254851939439	0.0	0.0
