B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.0	0.627876904571	0.0	0.372123095429	0.0	0.0
mix_2	0.0	0.0	0.561142085673	0.0	0.438857914327	0.0	0.0
mix_3	0.0	0.0	0.169689798959	0.0	0.830310201041	0.0	0.0
mix_4	0.0	0.0	0.441136362658	0.0	0.558863637342	0.0	0.0
mix_5	0.0	0.0	0.344629074489	0.0	0.655370925511	0.0	0.0
mix_6	0.0	0.0	0.449788126375	0.0	0.550211873625	0.0	0.0
mix_7	0.0	0.0	0.288724264902	0.0	0.711275735098	0.0	0.0
mix_8	0.0	0.0	0.375342280439	0.0	0.624657719561	0.0	0.0
mix_9	0.0	0.0	0.582967407088	0.0	0.417032592912	0.0	0.0
mix_10	0.0	0.0	0.291870266075	0.0	0.708129733925	0.0	0.0
mix_11	0.0	0.0	0.871677287176	0.0	0.128322712824	0.0	0.0
mix_12	0.0	0.0	0.331010677599	0.0	0.668989322401	0.0	0.0
mix_13	0.0	0.0	0.476417119419	0.0	0.523582880581	0.0	0.0
mix_14	0.0	0.0	0.586747784629	0.0	0.413252215371	0.0	0.0
mix_15	0.0	0.0	0.372431646344	0.0	0.627568353656	0.0	0.0
mix_16	0.0	0.0	0.136657206788	0.0	0.863342793212	0.0	0.0
mix_17	0.0	0.0	0.101866731315	0.0	0.898133268685	0.0	0.0
mix_18	0.0	0.0	0.202358619007	0.0	0.797641380993	0.0	0.0
mix_19	0.0	0.0	0.240501316515	0.0	0.759498683485	0.0	0.0
mix_20	0.0	0.0	0.552459626041	0.0	0.447540373959	0.0	0.0
mix_21	0.0	0.0	0.119146013861	0.0	0.880853986139	0.0	0.0
mix_22	0.0	0.0	0.561914164849	0.0	0.438085835151	0.0	0.0
mix_23	0.0	0.0	0.726464040411	0.0	0.273535959589	0.0	0.0
mix_24	0.0	0.0	0.29987028559	0.0	0.70012971441	0.0	0.0
mix_25	0.0	0.0	0.593092257967	0.0	0.406907742033	0.0	0.0
mix_26	0.0	0.0	0.0965636491667	0.0	0.903436350833	0.0	0.0
mix_27	0.0	0.0	0.672122025593	0.0	0.327877974407	0.0	0.0
mix_28	0.0	0.0	0.452611485417	0.0	0.547388514583	0.0	0.0
mix_29	0.0	0.0	0.630171573501	0.0	0.369828426499	0.0	0.0
mix_30	0.0	0.0	0.482294976484	0.0	0.517705023516	0.0	0.0
mix_31	0.0	0.0	0.457292787448	0.0	0.542707212552	0.0	0.0
mix_32	0.0	0.0	0.713594960507	0.0	0.286405039493	0.0	0.0
mix_33	0.0	0.0	0.304956874033	0.0	0.695043125967	0.0	0.0
mix_34	0.0	0.0	0.115710143951	0.0	0.884289856049	0.0	0.0
mix_35	0.0	0.0	0.424380809126	0.0	0.575619190874	0.0	0.0
mix_36	0.0	0.0	0.385845573723	0.0	0.614154426277	0.0	0.0
mix_37	0.0	0.0	0.219322620188	0.0	0.780677379812	0.0	0.0
mix_38	0.0	0.0	0.311384763844	0.0	0.688615236156	0.0	0.0
mix_39	0.0	0.0	0.477846122988	0.0	0.522153877012	0.0	0.0
mix_40	0.0	0.0	0.33389064889	0.0	0.66610935111	0.0	0.0
mix_41	0.0	0.0	0.154522821951	0.0	0.845477178049	0.0	0.0
mix_42	0.0	0.0	0.602639421723	0.0	0.397360578277	0.0	0.0
mix_43	0.0	0.0	0.120115899314	0.0	0.879884100686	0.0	0.0
mix_44	0.0	0.0	0.709281652074	0.0	0.290718347926	0.0	0.0
mix_45	0.0	0.0	0.377177762701	0.0	0.622822237299	0.0	0.0
mix_46	0.0	0.0	0.267472110669	0.0	0.732527889331	0.0	0.0
mix_47	0.0	0.0	0.0353576909681	0.0	0.964642309032	0.0	0.0
mix_48	0.0	0.0	0.458246717569	0.0	0.541753282431	0.0	0.0
mix_49	0.0	0.0	0.586488870227	0.0	0.413511129773	0.0	0.0
mix_50	0.0	0.0	0.464936196056	0.0	0.535063803944	0.0	0.0
mix_51	0.0	0.0	0.0684947349073	0.0	0.931505265093	0.0	0.0
mix_52	0.0	0.0	0.204567866287	0.0	0.795432133713	0.0	0.0
mix_53	0.0	0.0	0.34415473251	0.0	0.65584526749	0.0	0.0
mix_54	0.0	0.0	0.359710675717	0.0	0.640289324283	0.0	0.0
mix_55	0.0	0.0	0.151284367323	0.0	0.848715632677	0.0	0.0
mix_56	0.0	0.0	0.465971610074	0.0	0.534028389926	0.0	0.0
mix_57	0.0	0.0	0.545957143683	0.0	0.454042856317	0.0	0.0
mix_58	0.0	0.0	0.362778959232	0.0	0.637221040768	0.0	0.0
mix_59	0.0	0.0	0.191257622812	0.0	0.808742377188	0.0	0.0
mix_60	0.0	0.0	0.29413088464	0.0	0.70586911536	0.0	0.0
mix_61	0.0	0.0	0.320441543892	0.0	0.679558456108	0.0	0.0
mix_62	0.0	0.0	0.254201694449	0.0	0.745798305551	0.0	0.0
mix_63	0.0	0.0	0.365006682209	0.0	0.634993317791	0.0	0.0
mix_64	0.0	0.0	0.0496445834055	0.0	0.950355416595	0.0	0.0
mix_65	0.0	0.0	0.2130262263	0.0	0.7869737737	0.0	0.0
mix_66	0.0	0.0	0.454965523753	0.0	0.545034476247	0.0	0.0
mix_67	0.0	0.0	0.508763347539	0.0	0.491236652461	0.0	0.0
mix_68	0.0	0.0	0.237851215527	0.0	0.762148784473	0.0	0.0
mix_69	0.0	0.0	0.384338036792	0.0	0.615661963208	0.0	0.0
mix_70	0.0	0.0	0.109912856774	0.0	0.890087143226	0.0	0.0
mix_71	0.0	0.0	0.302830571884	0.0	0.697169428116	0.0	0.0
mix_72	0.0	0.0	0.23819947168	0.0	0.76180052832	0.0	0.0
mix_73	0.0	0.0	0.115532520245	0.0	0.884467479755	0.0	0.0
mix_74	0.0	0.0	0.819143925974	0.0	0.180856074026	0.0	0.0
mix_75	0.0	0.0	0.293839401529	0.0	0.706160598471	0.0	0.0
mix_76	0.0	0.0	0.371503233239	0.0	0.628496766761	0.0	0.0
mix_77	0.0	0.0	0.4332745255	0.0	0.5667254745	0.0	0.0
mix_78	0.0	0.0	0.250399806245	0.0	0.749600193755	0.0	0.0
mix_79	0.0	0.0	0.103832647236	0.0	0.896167352764	0.0	0.0
mix_80	0.0	0.0	0.307194485298	0.0	0.692805514702	0.0	0.0
mix_81	0.0	0.0	0.254785166384	0.0	0.745214833616	0.0	0.0
mix_82	0.0	0.0	0.0638284419049	0.0	0.936171558095	0.0	0.0
mix_83	0.0	0.0	0.107441035509	0.0	0.892558964491	0.0	0.0
mix_84	0.0	0.0	0.321768127664	0.0	0.678231872336	0.0	0.0
