B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.247983011711	0.127690531807	0.128266802907	0.119468391414	0.248946242343	0.127645019819
B	0.246484641398	0.128053187059	0.128332903334	0.118690182862	0.250639764444	0.127799320903
C	0.245747451122	0.111951257328	0.128687460924	0.117086774949	0.264773137947	0.131753917729
D	0.245240560411	0.113542511047	0.126676202769	0.117176259652	0.264879118306	0.132485347814
E	0.244715697977	0.116746340425	0.131376074721	0.116208201862	0.257192623027	0.133761061989
F	0.245485770022	0.122444564843	0.1376376422	0.119627362209	0.248495995139	0.126308665588
G	0.247912854769	0.133290269068	0.126464697338	0.126801825897	0.241599842073	0.123930510855
H	0.248273455623	0.140752321119	0.125419711549	0.12362818406	0.239568186798	0.122358140851
I	0.247627070715	0.139687845559	0.12586259861	0.12346756437	0.240498967101	0.122855953645
J	0.250017317313	0.106355365315	0.126961424797	0.116739647017	0.267617946105	0.132308299454
K	0.245283770967	0.107051028017	0.132351571203	0.116496783547	0.26258404509	0.136232801177
L	0.246361906301	0.110949598097	0.12795971884	0.116790785484	0.266006893424	0.131931097853
