B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.203523168845	0.135485715664	0.116370734654	0.137430988064	0.285741288176	0.121448104597
B	0.203520803238	0.134661405441	0.115053459373	0.137767629771	0.286838075205	0.122158626972
C	0.203610699944	0.126021290106	0.116724566401	0.132128718598	0.295114603682	0.12640012127
D	0.204452271529	0.125749587626	0.115524899096	0.132820939237	0.294479993112	0.126972309399
E	0.20469761617	0.127967007622	0.117304411541	0.13344293254	0.290546223793	0.126041808335
F	0.200435948139	0.131119975405	0.12152319359	0.137769300216	0.285620928137	0.123530654512
G	0.200967759425	0.137761411578	0.116406336652	0.144704828759	0.281563130247	0.118596533339
H	0.201601890934	0.143522321079	0.112448238427	0.141213789104	0.282080478569	0.119133281887
I	0.199621964566	0.143403231	0.113460675295	0.141557745451	0.283391853601	0.118564530087
J	0.208494703483	0.121880841462	0.115277049244	0.128933477476	0.297915108051	0.127498820284
K	0.208756918579	0.120039876374	0.118243728965	0.130257375481	0.294661724945	0.128040375656
L	0.20470762634	0.125709250515	0.114848535049	0.133061683088	0.295446877748	0.12622602726
