Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10001	0.119914890331	0.651275688301	0.228809421368	0.0	0.0
S10006	0.118261356911	0.655004939128	0.226733703961	0.0	0.0
S1001	0.116831576974	0.65514234899	0.228026074036	0.0	0.0
S10010	0.124854277236	0.644550011655	0.230595711109	0.0	0.0
S10011	0.118339628943	0.649660780224	0.231999590832	0.0	0.0
S10014	0.117308224303	0.658939668342	0.223752107355	0.0	0.0
S10026	0.119678691721	0.656518262142	0.223803046137	0.0	0.0
S10032	0.116780838446	0.650592035826	0.232627125728	0.0	0.0
S10036	0.118199029234	0.660885951436	0.220915019331	0.0	0.0
S10042	0.120255466856	0.653447233206	0.226297299938	0.0	0.0
S10044	0.119904844413	0.659067994068	0.221027161519	0.0	0.0
S10049	0.114600629348	0.663070910005	0.222328460647	0.0	0.0
S10057	0.112789052703	0.660347931786	0.226863015511	0.0	0.0
S10062	0.117097722973	0.654351029954	0.228551247073	0.0	0.0
S10066	0.12672270866	0.641344556327	0.231932735013	0.0	0.0
S10067	0.111679708034	0.668444050477	0.219876241488	0.0	0.0
S1007	0.114514843782	0.657840169003	0.227644987215	0.0	0.0
S10073	0.115456280827	0.661806654	0.222737065173	0.0	0.0
S10077	0.117087554818	0.653774038332	0.229138406851	0.0	0.0
S10080	0.116721577392	0.650435679621	0.232842742987	0.0	0.0
S10082	0.117211614185	0.661369577053	0.221418808762	0.0	0.0
S10087	0.113383377669	0.663711626825	0.222904995505	0.0	0.0
S10089	0.119264141104	0.655785437028	0.224950421868	0.0	0.0
S1009	0.111814391848	0.665730962675	0.222454645477	0.0	0.0
S10090	0.118924252814	0.654765988731	0.226309758454	0.0	0.0
S10093	0.121064177948	0.646598081501	0.232337740551	0.0	0.0
S10094	0.119885046416	0.650390372752	0.229724580832	0.0	0.0
S1010	0.113726405599	0.658895204556	0.227378389845	0.0	0.0
S10111	0.114116510457	0.664234312514	0.221649177029	0.0	0.0
S10116	0.108089528884	0.666551740792	0.225358730323	0.0	0.0
S10119	0.11258800194	0.664017156474	0.223394841586	0.0	0.0
S10121	0.116101383648	0.661361600274	0.222537016078	0.0	0.0
S10130	0.120106143172	0.649719106612	0.230174750216	0.0	0.0
S10140	0.123776295846	0.646013774154	0.23020993	0.0	0.0
S10142	0.110181768241	0.666565297274	0.223252934485	0.0	0.0
S10150	0.128443167553	0.636906825984	0.234650006463	0.0	0.0
S10155	0.114125097128	0.661657061982	0.22421784089	0.0	0.0
S1016	0.116821293001	0.65345521488	0.229723492119	0.0	0.0
S10163	0.117898059752	0.652740388628	0.22936155162	0.0	0.0
S10167	0.115196148394	0.661190567012	0.223613284594	0.0	0.0
S10168	0.111092042123	0.668459034438	0.220448923439	0.0	0.0
S10173	0.114708094356	0.666581739347	0.218710166296	0.0	0.0
S10175	0.118697064657	0.655694942216	0.225607993127	0.0	0.0
S10179	0.111893599216	0.666519789207	0.221586611577	0.0	0.0
S10186	0.103948023883	0.671651118138	0.224400857979	0.0	0.0
S1019	0.110980848696	0.663490009021	0.225529142284	0.0	0.0
S10190	0.114997899021	0.66409111816	0.220910982819	0.0	0.0
S10195	0.120781338432	0.65035599065	0.228862670918	0.0	0.0
S10196	0.11670662812	0.656860523928	0.226432847951	0.0	0.0
S10200	0.119779159433	0.650930363196	0.229290477371	0.0	0.0
S10201	0.129644159891	0.637527523544	0.232828316565	0.0	0.0
S10202	0.115195148164	0.658438861982	0.226365989854	0.0	0.0
S10205	0.117854764995	0.66097606194	0.221169173065	0.0	0.0
S10211	0.113721088335	0.663532827924	0.22274608374	0.0	0.0
S10221	0.11698487728	0.658692485429	0.224322637292	0.0	0.0
S10222	0.120673652358	0.649124564456	0.230201783186	0.0	0.0
S10226	0.118316660037	0.658617208227	0.223066131735	0.0	0.0
S10227	0.118959358217	0.64928039747	0.231760244314	0.0	0.0
S10228	0.11727315256	0.656800285641	0.225926561799	0.0	0.0
S10232	0.112494037995	0.665458489449	0.222047472556	0.0	0.0
S10248	0.118005780721	0.663934839579	0.2180593797	0.0	0.0
S10249	0.124230738999	0.637876487469	0.237892773532	0.0	0.0
S1025	0.112684242135	0.666362349952	0.220953407913	0.0	0.0
S10266	0.120196277617	0.649973542247	0.229830180136	0.0	0.0
S10269	0.117940703605	0.657105750349	0.224953546046	0.0	0.0
S10272	0.12276514453	0.650181482803	0.227053372667	0.0	0.0
S10273	0.120431122426	0.653963063646	0.225605813928	0.0	0.0
S10274	0.119377223351	0.652635460247	0.227987316401	0.0	0.0
S1028	0.116314808523	0.65998378115	0.223701410328	0.0	0.0
S10280	0.11466932111	0.664208096401	0.221122582489	0.0	0.0
S10283	0.108887064222	0.667541487676	0.223571448102	0.0	0.0
S1029	0.116374683355	0.657393954022	0.226231362623	0.0	0.0
S10292	0.113635932067	0.666585849492	0.219778218442	0.0	0.0
S10294	0.11470344138	0.661333112145	0.223963446474	0.0	0.0
S10302	0.116749456393	0.658004713419	0.225245830188	0.0	0.0
S10303	0.117000592596	0.657463708852	0.225535698551	0.0	0.0
S10323	0.116311745311	0.656661347477	0.227026907212	0.0	0.0
S10326	0.117565953582	0.654859498728	0.22757454769	0.0	0.0
S10328	0.113699857403	0.668085545536	0.218214597061	0.0	0.0
S10329	0.114138018869	0.665652636973	0.220209344157	0.0	0.0
S10336	0.117544593312	0.65492854589	0.227526860799	0.0	0.0
S10340	0.117979393725	0.660149013316	0.221871592959	0.0	0.0
S10347	0.115188054705	0.657986771923	0.226825173372	0.0	0.0
S10353	0.116121051639	0.658624926498	0.225254021863	0.0	0.0
S10356	0.115762306504	0.656819611552	0.227418081944	0.0	0.0
S10358	0.119013632146	0.652876875233	0.228109492621	0.0	0.0
S10365	0.119360923428	0.651346697385	0.229292379187	0.0	0.0
S1037	0.108318301454	0.674896342306	0.21678535624	0.0	0.0
S10373	0.114150790809	0.661998104664	0.223851104527	0.0	0.0
S10374	0.118169895791	0.655210640404	0.226619463804	0.0	0.0
S10375	0.119967504325	0.652801413155	0.227231082519	0.0	0.0
S10377	0.113234309443	0.655264507027	0.23150118353	0.0	0.0
S10378	0.114338109349	0.665386680054	0.220275210597	0.0	0.0
S10390	0.117029542256	0.651814752273	0.231155705471	0.0	0.0
S10391	0.114925309242	0.654038479102	0.231036211656	0.0	0.0
S10393	0.116745148694	0.662919532654	0.220335318652	0.0	0.0
S10400	0.117106093171	0.649158018203	0.233735888626	0.0	0.0
S10401	0.114794452106	0.657047662438	0.228157885456	0.0	0.0
S10406	0.124211262265	0.643909406707	0.231879331028	0.0	0.0
S10408	0.120306553545	0.650800241712	0.228893204744	0.0	0.0
S10409	0.114431043626	0.663835047298	0.221733909076	0.0	0.0
S10418	0.121620673094	0.644844619083	0.233534707824	0.0	0.0
S10431	0.118363294647	0.654172410756	0.227464294597	0.0	0.0
S10438	0.117227562565	0.653592807914	0.229179629521	0.0	0.0
S10439	0.119224360541	0.650292310565	0.230483328894	0.0	0.0
S10441	0.12052367997	0.648581052659	0.23089526737	0.0	0.0
S10442	0.118622941626	0.652020525345	0.229356533029	0.0	0.0
S1046	0.12195686581	0.64874240933	0.22930072486	0.0	0.0
S10478	0.128229229879	0.63252390424	0.239246865881	0.0	0.0
S10480	0.108385120657	0.667844931881	0.223769947462	0.0	0.0
S10484	0.119287719687	0.646240869937	0.234471410376	0.0	0.0
S10492	0.113022411262	0.660046318262	0.226931270476	0.0	0.0
S10496	0.114398279536	0.668960067402	0.216641653062	0.0	0.0
S10510	0.115344799191	0.65994461414	0.224710586669	0.0	0.0
S10513	0.119672172803	0.649878496369	0.230449330827	0.0	0.0
S10516	0.114609129396	0.655221503326	0.230169367278	0.0	0.0
S10534	0.115091801833	0.661008190688	0.223900007479	0.0	0.0
S10535	0.112649864849	0.668270066453	0.219080068698	0.0	0.0
S10537	0.116559891804	0.654108289493	0.229331818703	0.0	0.0
S1054	0.114603895756	0.657495304538	0.227900799705	0.0	0.0
S10543	0.117438635075	0.660375418846	0.222185946079	0.0	0.0
S10546	0.117071414746	0.656376620544	0.226551964711	0.0	0.0
S1055	0.124572024551	0.644058146079	0.23136982937	0.0	0.0
S10551	0.115020965894	0.653991739768	0.230987294338	0.0	0.0
S10552	0.120305915252	0.646485633931	0.233208450817	0.0	0.0
S10555	0.112118033593	0.666671839401	0.221210127006	0.0	0.0
S10559	0.116532697061	0.653854676307	0.229612626632	0.0	0.0
S1056	0.115538127216	0.661158148495	0.22330372429	0.0	0.0
S10563	0.118330892199	0.653404199316	0.228264908485	0.0	0.0
S10574	0.111744141375	0.665324105049	0.222931753576	0.0	0.0
S10576	0.124164738861	0.648428355976	0.227406905164	0.0	0.0
S10578	0.120653283031	0.650072093188	0.229274623781	0.0	0.0
