B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.109604908649	0.643852352975	0.0843703702967	0.143691515261	0.0184808528181
Mix_2	0.115321989931	0.67208229313	0.0761076344658	0.11753683262	0.0189512498533
Mix_3	0.0831100794933	0.693556856461	0.087463059778	0.11496931121	0.0209006930576
Mix_4	0.0884645649209	0.693674626263	0.086197879922	0.110750441482	0.0209124874126
Mix_5	0.117939461568	0.684234533626	0.0803360134062	0.0992897837804	0.0182002076197
Mix_6	0.122079412564	0.64454195597	0.0751073451523	0.140820847797	0.017450438517
Mix_7	0.0900274834743	0.713242415825	0.073914330436	0.101451384489	0.0213643857754
Mix_8	0.116850051168	0.686882908668	0.0576000172977	0.118978394972	0.0196886278954
Mix_9	0.106174739389	0.683740088076	0.0780050571856	0.112508697911	0.0195714174379
Mix_10	0.118163115702	0.677906954421	0.069627579746	0.116099701008	0.0182026491233
Mix_11	0.101979038083	0.688839605136	0.0773015064897	0.111514510584	0.0203653397072
Mix_12	0.0928527026381	0.664788109155	0.0864842129851	0.135655961172	0.0202190140494
Mix_13	0.113328100322	0.695864436775	0.0690702209687	0.102444395523	0.0192928464109
Mix_14	0.0753280880068	0.712917553732	0.0875591670458	0.102080375319	0.0221148158961
Mix_15	0.093230730869	0.701326642878	0.071746771981	0.112252143084	0.0214437111885
Mix_16	0.106753889866	0.697568721499	0.0639030230072	0.111561722308	0.0202126433206
Mix_17	0.0922154740221	0.709190479959	0.0703018871955	0.10683430394	0.021457854884
Mix_18	0.0980396736369	0.698597723278	0.0658222692912	0.115881059374	0.0216592744193
Mix_19	0.0986021061992	0.668026155245	0.0821959857268	0.131736185801	0.0194395670274
Mix_20	0.116217578422	0.679576898751	0.0666061938528	0.118479361357	0.0191199676179
Mix_21	0.118413635447	0.674485301992	0.0627309113282	0.125450667521	0.0189194837114
Mix_22	0.103862064564	0.66207636133	0.0774714350904	0.137504641556	0.0190854974587
Mix_23	0.12312026383	0.682612833758	0.0662508654563	0.109218007624	0.0187980293309
Mix_24	0.0816845223381	0.71153646333	0.0633925199141	0.120355460359	0.0230310340596
Mix_25	0.107524165857	0.707267023368	0.0683612428509	0.0967925709412	0.020054996983
Mix_26	0.0980685872948	0.713768718183	0.0644925624918	0.102481823024	0.0211883090066
Mix_27	0.11438266091	0.701745621009	0.0525482880932	0.111552939282	0.0197704907056
Mix_28	0.111824389045	0.669321053286	0.0720758687582	0.127582682205	0.0191960067063
Mix_29	0.104410953986	0.712082946407	0.0622117414459	0.100458966704	0.0208353914574
Mix_30	0.0859118025152	0.707590848227	0.0858967486091	0.0996928166937	0.0209077839553
Mix_31	0.107676822724	0.694855119979	0.0670928319515	0.110373740651	0.0200014846942
Mix_32	0.100677565039	0.696939660516	0.0621510240429	0.118797793761	0.0214339566416
Mix_33	0.0918379513285	0.695669122929	0.0707049963851	0.120347740235	0.0214401891222
Mix_34	0.121292434996	0.654852584422	0.0724918515915	0.133419654419	0.0179434745723
Mix_35	0.0986026881163	0.684509616127	0.0842715644109	0.112461218897	0.0201549124488
Mix_36	0.103186727947	0.693572880471	0.0735806802389	0.109603533741	0.0200561776021
Mix_37	0.0865671198628	0.68711090536	0.0890572493767	0.116867058456	0.0203976669447
Mix_38	0.0928813552199	0.671357409981	0.082765567531	0.132597556635	0.0203981106323
Mix_39	0.133458015436	0.664079400448	0.0559597596369	0.128797965478	0.0177048590014
Mix_40	0.0958927365631	0.692058862439	0.0855165605093	0.106723924205	0.019807916284
Mix_41	0.0991983653976	0.666937983171	0.0934846876176	0.121115249275	0.0192637145389
Mix_42	0.100226710636	0.718582655297	0.05927004552	0.100669826872	0.0212507616754
Mix_43	0.114602323002	0.674459805463	0.0743593492141	0.118121227383	0.0184572949375
Mix_44	0.0979902670303	0.65725872927	0.0907498125113	0.134552773376	0.0194484178124
Mix_45	0.0935224160721	0.700679178142	0.0697013384212	0.115117027039	0.0209800403253
Mix_46	0.107013505475	0.711712565995	0.0545031280411	0.106124045525	0.0206467549642
Mix_47	0.113124992735	0.663621152439	0.0752855532695	0.129264126611	0.0187041749457
Mix_48	0.105203128037	0.689674556708	0.0742681812503	0.110833616094	0.0200205179113
Mix_49	0.0821229444106	0.68999131375	0.0966989630447	0.110119135693	0.0210676431017
Mix_50	0.0890348950445	0.716678723577	0.0611011379181	0.111230091438	0.0219551520228
Mix_51	0.106774700671	0.691008732153	0.0689912805593	0.113193971705	0.0200313149114
