B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.288640478099	0.486732161886	0.224627360016	0.0	0.0
mix_2	0.288015288512	0.472133499412	0.239851212076	0.0	0.0
mix_3	0.298179087483	0.487904001958	0.213916910559	0.0	0.0
mix_4	0.381718277184	0.416608098167	0.201673624649	0.0	0.0
mix_5	0.307240091897	0.42530244936	0.267457458743	0.0	0.0
mix_6	0.323641174112	0.425827653222	0.250531172666	0.0	0.0
mix_7	0.419049186558	0.392328258817	0.188622554625	0.0	0.0
mix_8	0.481388452021	0.374359341107	0.144252206873	0.0	0.0
mix_9	0.269466119162	0.496223009156	0.234310871682	0.0	0.0
mix_10	0.446920808408	0.345317206078	0.207761985515	0.0	0.0
mix_11	0.333787658661	0.493038995314	0.173173346026	0.0	0.0
mix_12	0.22126517425	0.495274524679	0.283460301071	0.0	0.0
mix_13	0.513349866443	0.332230101425	0.154420032132	0.0	0.0
mix_14	0.46512840934	0.319154790712	0.215716799949	0.0	0.0
mix_15	0.422667019136	0.35677056226	0.220562418604	0.0	0.0
mix_16	0.333129814771	0.451983122568	0.214887062661	0.0	0.0
mix_17	0.487049657416	0.310723269948	0.202227072636	0.0	0.0
mix_18	0.35047501061	0.442271364704	0.207253624686	0.0	0.0
mix_19	0.393962851662	0.377591968592	0.228445179745	0.0	0.0
mix_20	0.192042685696	0.457897564908	0.350059749396	0.0	0.0
mix_21	0.35705400946	0.384742586253	0.258203404287	0.0	0.0
mix_22	0.449175108804	0.353668190064	0.197156701132	0.0	0.0
mix_23	0.460944333945	0.371934549957	0.167121116099	0.0	0.0
mix_24	0.3350562366	0.477350847318	0.187592916082	0.0	0.0
mix_25	0.225034781918	0.505295423914	0.269669794168	0.0	0.0
mix_26	0.184411572706	0.548588755421	0.266999671873	0.0	0.0
mix_27	0.628012087844	0.289298381014	0.0826895311416	0.0	0.0
mix_28	0.270529957747	0.448603732773	0.280866309479	0.0	0.0
mix_29	0.319821084719	0.457687366982	0.222491548299	0.0	0.0
mix_30	0.351769796752	0.422902668416	0.225327534832	0.0	0.0
mix_31	0.313078608582	0.492441254698	0.19448013672	0.0	0.0
mix_32	0.319333011267	0.449242153139	0.231424835594	0.0	0.0
mix_33	0.406151259045	0.434202559097	0.159646181858	0.0	0.0
mix_34	0.27431113001	0.503194137878	0.222494732112	0.0	0.0
mix_35	0.298250708866	0.423378993044	0.27837029809	0.0	0.0
mix_36	0.435975937308	0.42421544408	0.139808618612	0.0	0.0
mix_37	0.418900089511	0.420221509255	0.160878401234	0.0	0.0
mix_38	0.241697409209	0.539915343491	0.2183872473	0.0	0.0
mix_39	0.427549114032	0.351926532341	0.220524353627	0.0	0.0
mix_40	0.410533485356	0.448964223716	0.140502290928	0.0	0.0
mix_41	0.284330972247	0.456623398525	0.259045629228	0.0	0.0
mix_42	0.392830185623	0.387379100889	0.219790713488	0.0	0.0
mix_43	0.177431000012	0.517194652248	0.30537434774	0.0	0.0
mix_44	0.236559635681	0.550760819561	0.212679544759	0.0	0.0
mix_45	0.18147161867	0.545338834837	0.273189546493	0.0	0.0
mix_46	0.264387071684	0.416163597315	0.319449331001	0.0	0.0
mix_47	0.392459252198	0.414628032552	0.19291271525	0.0	0.0
mix_48	0.650508711432	0.292747741839	0.0567435467283	0.0	0.0
mix_49	0.46112501503	0.356563180967	0.182311804003	0.0	0.0
mix_50	0.347159921555	0.432397874725	0.22044220372	0.0	0.0
mix_51	0.566500263888	0.344755225237	0.0887445108749	0.0	0.0
mix_52	0.465062701731	0.369880434163	0.165056864106	0.0	0.0
mix_53	0.501514778259	0.360878899885	0.137606321856	0.0	0.0
mix_54	0.361348403439	0.349160657607	0.289490938955	0.0	0.0
mix_55	0.464102371922	0.381197322907	0.154700305172	0.0	0.0
mix_56	0.271271125736	0.481921346272	0.246807527992	0.0	0.0
mix_57	0.221517172146	0.55916513076	0.219317697094	0.0	0.0
mix_58	0.323962875103	0.445477405211	0.230559719686	0.0	0.0
mix_59	0.222804906598	0.46617483778	0.311020255622	0.0	0.0
mix_60	0.430404375597	0.346726787544	0.222868836859	0.0	0.0
mix_61	0.326532173059	0.469355871971	0.204111954969	0.0	0.0
mix_62	0.335188655944	0.485190787512	0.179620556544	0.0	0.0
mix_63	0.246413688269	0.509542708669	0.244043603062	0.0	0.0
mix_64	0.427579846122	0.414127838172	0.158292315706	0.0	0.0
mix_65	0.34664362332	0.455351793126	0.198004583554	0.0	0.0
mix_66	0.541273322	0.333569023632	0.125157654369	0.0	0.0
mix_67	0.408922584044	0.390801082489	0.200276333466	0.0	0.0
mix_68	0.212194321105	0.464408353456	0.323397325439	0.0	0.0
mix_69	0.420404746117	0.406948542067	0.172646711816	0.0	0.0
mix_70	0.676174384316	0.258298941496	0.0655266741875	0.0	0.0
mix_71	0.5907669798	0.294220669143	0.115012351058	0.0	0.0
mix_72	0.54284501841	0.332233804989	0.124921176601	0.0	0.0
mix_73	0.518065331269	0.321337844592	0.160596824139	0.0	0.0
mix_74	0.444989124546	0.413920421068	0.141090454386	0.0	0.0
mix_75	0.547425456725	0.362397403879	0.0901771393962	0.0	0.0
mix_76	0.225383339031	0.487549508807	0.287067152161	0.0	0.0
mix_77	0.203706054436	0.501604313162	0.294689632402	0.0	0.0
mix_78	0.404721391683	0.384888277359	0.210390330958	0.0	0.0
mix_79	0.271681287405	0.486719505064	0.241599207531	0.0	0.0
mix_80	0.380487044696	0.381630362656	0.237882592648	0.0	0.0
mix_81	0.268950182825	0.486865473851	0.244184343324	0.0	0.0
mix_82	0.405499938313	0.370339818784	0.224160242902	0.0	0.0
mix_83	0.469999840505	0.392155576406	0.137844583089	0.0	0.0
mix_84	0.330370914989	0.433847568856	0.235781516155	0.0	0.0
mix_85	0.275249154089	0.459195073929	0.265555771981	0.0	0.0
mix_86	0.213544153983	0.530425037891	0.256030808127	0.0	0.0
mix_87	0.270908560235	0.483814260778	0.245277178987	0.0	0.0
mix_88	0.32696770626	0.440569193073	0.232463100667	0.0	0.0
mix_89	0.259837671497	0.458818070855	0.281344257648	0.0	0.0
mix_90	0.258337632089	0.468135406231	0.273526961679	0.0	0.0
mix_91	0.461890917717	0.397801984262	0.140307098021	0.0	0.0
mix_92	0.342446048659	0.455985379436	0.201568571905	0.0	0.0
mix_93	0.361132937705	0.485786437734	0.153080624561	0.0	0.0
mix_94	0.266313725668	0.472284159284	0.261402115048	0.0	0.0
mix_95	0.565342962044	0.331763521678	0.102893516279	0.0	0.0
mix_96	0.503310313729	0.359338602087	0.137351084183	0.0	0.0
mix_97	0.337636210548	0.430938768931	0.231425020521	0.0	0.0
mix_98	0.407969397038	0.422028361981	0.17000224098	0.0	0.0
mix_99	0.209684597875	0.522522065706	0.267793336419	0.0	0.0
mix_100	0.345673716448	0.445575159111	0.208751124441	0.0	0.0
