B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.135834626747	0.185866672781	0.116222143922	0.0	0.468394610002	0.0936819465485	0.0
mix_2	0.138878903615	0.180748903018	0.0987566856772	0.0	0.486789612904	0.0948258947865	0.0
mix_3	0.131827626082	0.157138220416	0.0749061031277	0.0	0.534777622476	0.101350427899	0.0
mix_4	0.133940093943	0.199231800125	0.119571400172	0.0	0.464619400606	0.0826373051538	0.0
mix_5	0.130399838202	0.178570177133	0.102805557537	0.0	0.499040461903	0.0891839652258	0.0
mix_6	0.1338820654	0.192996180391	0.118180853029	0.0	0.471696811626	0.0832440895539	0.0
mix_7	0.129220750697	0.168810732809	0.0899472930669	0.0	0.519665617379	0.0923556060472	0.0
mix_8	0.131476469262	0.169765954041	0.0948923516607	0.0	0.509798443968	0.0940667810682	0.0
mix_9	0.137347572288	0.206486048413	0.130866064035	0.0	0.445682397232	0.0796179180324	0.0
mix_10	0.138614551058	0.190343080506	0.101064349275	0.0	0.475887118481	0.0940909006793	0.0
mix_11	0.141687049087	0.198946964925	0.123109007971	0.0	0.443114870301	0.0931421077158	0.0
mix_12	0.130682007303	0.184768191695	0.107682480468	0.0	0.48949039215	0.0873769283836	0.0
mix_13	0.137806071717	0.205896792622	0.117888674076	0.0	0.452699177273	0.0857092843117	0.0
mix_14	0.139969527256	0.205406062021	0.123618882173	0.0	0.44325035092	0.0877551776301	0.0
mix_15	0.132163693958	0.17682786478	0.102507343134	0.0	0.498706648671	0.089794449456	0.0
mix_16	0.129669702401	0.151511413876	0.0700411259507	0.0	0.552473629049	0.0963041287224	0.0
mix_17	0.12866205673	0.157109175232	0.0729450291031	0.0	0.545713006406	0.0955707325286	0.0
mix_18	0.14216105785	0.197943521508	0.100689703904	0.0	0.463867648994	0.0953380677438	0.0
mix_19	0.131224793468	0.158494675755	0.077023126375	0.0	0.532335253368	0.100922151034	0.0
mix_20	0.138893126266	0.19720500513	0.11625475173	0.0	0.462365348037	0.0852817688357	0.0
mix_21	0.130137962398	0.174272706864	0.0883456325112	0.0	0.517212023398	0.0900316748284	0.0
mix_22	0.134773477026	0.195283508736	0.117792167243	0.0	0.458704493609	0.0934463533856	0.0
mix_23	0.141547139843	0.201484683309	0.121585180037	0.0	0.446213378416	0.0891696183943	0.0
mix_24	0.130134901555	0.178395881488	0.102059442829	0.0	0.50281441236	0.0865953617681	0.0
mix_25	0.139525601081	0.206889608319	0.126886793205	0.0	0.44486322628	0.0818347711153	0.0
mix_26	0.131305414179	0.170762039971	0.0824855609847	0.0	0.519605075813	0.095841909053	0.0
mix_27	0.138515250613	0.194768297136	0.12276334383	0.0	0.455871762953	0.0880813454683	0.0
mix_28	0.134568334741	0.190965366526	0.113529751001	0.0	0.475628873462	0.085307674269	0.0
mix_29	0.137122802386	0.19015668052	0.115365353704	0.0	0.464178481018	0.0931766823726	0.0
mix_30	0.135844546927	0.200271123487	0.121667562883	0.0	0.458477439602	0.0837393270998	0.0
mix_31	0.136671323168	0.193328256004	0.110423103398	0.0	0.468063252807	0.0915140646233	0.0
mix_32	0.141820614824	0.214541596754	0.128418951329	0.0	0.426516519577	0.0887023175169	0.0
mix_33	0.136196991452	0.189944938755	0.10482683724	0.0	0.475626877838	0.0934043547165	0.0
mix_34	0.136824336171	0.172454099419	0.0783967596765	0.0	0.509131874321	0.103192930413	0.0
mix_35	0.133534311041	0.191395612573	0.112717413497	0.0	0.47352356344	0.0888290994486	0.0
mix_36	0.133529547558	0.185130903247	0.105346095066	0.0	0.483828761414	0.0921646927145	0.0
mix_37	0.12890144217	0.163786652728	0.0843436564361	0.0	0.528187455606	0.0947807930598	0.0
mix_38	0.130049952086	0.167836628818	0.0915527620816	0.0	0.516088371874	0.0944722851404	0.0
mix_39	0.135843973697	0.192118152165	0.113834830519	0.0	0.472311839207	0.0858912044105	0.0
mix_40	0.13359940219	0.187486999195	0.105721267548	0.0	0.480791177201	0.0924011538659	0.0
mix_41	0.132268606565	0.170483277817	0.0840183066769	0.0	0.513373513949	0.0998562949912	0.0
mix_42	0.143326587848	0.218880013096	0.122555016045	0.0	0.430324091538	0.0849142914718	0.0
mix_43	0.135747503177	0.179068219773	0.088354608599	0.0	0.500113796851	0.0967158716	0.0
mix_44	0.141351308019	0.198431799997	0.117427684318	0.0	0.452351476683	0.0904377309826	0.0
mix_45	0.134206820643	0.181782270688	0.104108988264	0.0	0.489135920682	0.0907659997232	0.0
mix_46	0.13508708722	0.175834233451	0.0941706257854	0.0	0.496282923956	0.0986251295881	0.0
mix_47	0.129173685665	0.137716696824	0.052423566875	0.0	0.57951512453	0.101170926105	0.0
mix_48	0.141215702429	0.202921782858	0.110193692557	0.0	0.452537156397	0.0931316657596	0.0
mix_49	0.139326385657	0.193711582196	0.114068471157	0.0	0.452111465314	0.100782095676	0.0
mix_50	0.135523141325	0.193491802237	0.115333918791	0.0	0.469245811237	0.0864053264099	0.0
mix_51	0.130405560747	0.16456653164	0.0763700097995	0.0	0.530778927664	0.0978789701498	0.0
mix_52	0.134227051274	0.173671121783	0.0860524979483	0.0	0.508212383933	0.0978369450615	0.0
mix_53	0.141815217199	0.182244834945	0.0919330789051	0.0	0.485277912281	0.0987289566703	0.0
mix_54	0.134420203317	0.189232133773	0.108126083881	0.0	0.481181283452	0.0870402955765	0.0
mix_55	0.134343090188	0.185310429145	0.0942152836732	0.0	0.494213997555	0.0919171994379	0.0
mix_56	0.135022991196	0.200665581371	0.12071719994	0.0	0.455213428665	0.0883807988281	0.0
mix_57	0.136707994754	0.200667530464	0.123898671311	0.0	0.453632631518	0.0850931719522	0.0
mix_58	0.130607660724	0.181182509193	0.106311280754	0.0	0.494374259679	0.0875242896507	0.0
mix_59	0.133628798682	0.16978646748	0.0808465399737	0.0	0.515404490354	0.10033370351	0.0
mix_60	0.13594272228	0.187926158244	0.103557765829	0.0	0.481823912662	0.0907494409855	0.0
mix_61	0.131393175922	0.181299217059	0.103343108192	0.0	0.494458986346	0.089505512481	0.0
mix_62	0.13113214645	0.165713776371	0.0859288074796	0.0	0.519764134679	0.0974611350206	0.0
mix_63	0.131684384255	0.18562885271	0.10943106416	0.0	0.486757126561	0.086498572314	0.0
mix_64	0.131855025006	0.14520250547	0.0568720650799	0.0	0.564997252438	0.101073152006	0.0
mix_65	0.13356745624	0.168365956746	0.0818214604308	0.0	0.517235763919	0.0990093626643	0.0
mix_66	0.139389589744	0.178133269132	0.0924303953616	0.0	0.489149992422	0.10089675334	0.0
mix_67	0.134911792517	0.179617398385	0.109154100032	0.0	0.484562033075	0.0917546759908	0.0
mix_68	0.131835376378	0.174901535833	0.0924049193989	0.0	0.508234223866	0.0926239445242	0.0
mix_69	0.135475917542	0.193774083482	0.110955372007	0.0	0.47458239244	0.085212234529	0.0
mix_70	0.129169337311	0.165696282548	0.0804218038177	0.0	0.529835672853	0.0948769034709	0.0
mix_71	0.132351145497	0.170437557639	0.0910798299089	0.0	0.511296076564	0.0948353903913	0.0
mix_72	0.1288400276	0.162808014026	0.0847952186956	0.0	0.527009180361	0.0965475593175	0.0
mix_73	0.127905241685	0.164642187859	0.0828439194307	0.0	0.533870716944	0.0907379340824	0.0
mix_74	0.142930595504	0.216817096323	0.134188317033	0.0	0.42444205379	0.08162193735	0.0
mix_75	0.136371357167	0.190723371926	0.103402188691	0.0	0.479064401039	0.0904386811771	0.0
mix_76	0.129307445758	0.16922475191	0.097222213826	0.0	0.509865774866	0.0943798136396	0.0
mix_77	0.136829535205	0.193892240394	0.112978880216	0.0	0.468602555595	0.0876967885906	0.0
mix_78	0.131433687089	0.175206059837	0.0950790155227	0.0	0.507056381754	0.0912248557973	0.0
mix_79	0.132251220737	0.157691644342	0.0745152657251	0.0	0.536746478022	0.0987953911739	0.0
mix_80	0.137505984058	0.185887506107	0.0968537989476	0.0	0.481763985288	0.0979887255981	0.0
mix_81	0.139048574453	0.16732176449	0.078024318593	0.0	0.508040662352	0.107564680112	0.0
mix_82	0.1259064613	0.138770850769	0.0533084885719	0.0	0.578577425197	0.103436774163	0.0
mix_83	0.128140475343	0.176180699831	0.0889613147169	0.0	0.517874483473	0.0888430266368	0.0
mix_84	0.13065416981	0.173007712833	0.0953066174585	0.0	0.507929792246	0.0931017076532	0.0
mix_85	0.132054852964	0.162857325841	0.0780659700308	0.0	0.526803551587	0.100218299578	0.0
mix_86	0.131288911	0.184028730946	0.106912863302	0.0	0.491582039604	0.0861874551489	0.0
mix_87	0.142260545026	0.220339836652	0.145990049499	0.0	0.408752321863	0.0826572469599	0.0
