B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.258978215674	0.488392491586	0.25262929274	0.0	0.0	0.0	0.0
mix_2	0.253572929124	0.513899574345	0.232527496531	0.0	0.0	0.0	0.0
mix_3	0.241379608758	0.5512781108	0.207342280442	0.0	0.0	0.0	0.0
mix_4	0.24517476462	0.495653853651	0.259171381729	0.0	0.0	0.0	0.0
mix_5	0.240167166424	0.514637926551	0.245194907025	0.0	0.0	0.0	0.0
mix_6	0.245927701713	0.497231647142	0.256840651145	0.0	0.0	0.0	0.0
mix_7	0.238122156091	0.530486532599	0.23139131131	0.0	0.0	0.0	0.0
mix_8	0.242508931673	0.524142915207	0.23334815312	0.0	0.0	0.0	0.0
mix_9	0.250925412454	0.480485443787	0.268589143758	0.0	0.0	0.0	0.0
mix_10	0.255645794155	0.509265397565	0.23508880828	0.0	0.0	0.0	0.0
mix_11	0.268205160094	0.47481430397	0.256980535936	0.0	0.0	0.0	0.0
mix_12	0.239894409096	0.511221788804	0.248883802101	0.0	0.0	0.0	0.0
mix_13	0.253081636395	0.497591002074	0.249327361531	0.0	0.0	0.0	0.0
mix_14	0.260316463792	0.479029707133	0.260653829076	0.0	0.0	0.0	0.0
mix_15	0.243951562207	0.51564264712	0.240405790673	0.0	0.0	0.0	0.0
mix_16	0.23273892779	0.564348100269	0.20291297194	0.0	0.0	0.0	0.0
mix_17	0.231016110458	0.562080877794	0.206903011749	0.0	0.0	0.0	0.0
mix_18	0.258328622204	0.510776444605	0.230894933191	0.0	0.0	0.0	0.0
mix_19	0.24205954684	0.546983301156	0.210957152004	0.0	0.0	0.0	0.0
mix_20	0.253792825564	0.498548070487	0.247659103949	0.0	0.0	0.0	0.0
mix_21	0.236415453851	0.541917774093	0.221666772056	0.0	0.0	0.0	0.0
mix_22	0.258680455651	0.481429915687	0.259889628662	0.0	0.0	0.0	0.0
mix_23	0.261979614331	0.483429925711	0.254590459958	0.0	0.0	0.0	0.0
mix_24	0.236516695261	0.523159899707	0.240323405032	0.0	0.0	0.0	0.0
mix_25	0.253356816557	0.4851094035	0.261533779943	0.0	0.0	0.0	0.0
mix_26	0.241649463931	0.543078063978	0.215272472091	0.0	0.0	0.0	0.0
mix_27	0.258870551119	0.481949430056	0.259180018825	0.0	0.0	0.0	0.0
mix_28	0.2472890458	0.50159113616	0.25111981804	0.0	0.0	0.0	0.0
mix_29	0.259267690308	0.487132855944	0.253599453748	0.0	0.0	0.0	0.0
mix_30	0.249723253038	0.491202665425	0.259074081537	0.0	0.0	0.0	0.0
mix_31	0.253917724487	0.498214337909	0.247867937604	0.0	0.0	0.0	0.0
