B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.312939406681	0.21686629337	0.47019429995	0.0	0.0	0.0	0.0
mix_2	0.395638358265	0.204729738992	0.399631902743	0.0	0.0	0.0	0.0
mix_3	0.515145915009	0.17744394404	0.307410140951	0.0	0.0	0.0	0.0
mix_4	0.309281178464	0.275330628076	0.41538819346	0.0	0.0	0.0	0.0
mix_5	0.359122758625	0.230894196083	0.409983045292	0.0	0.0	0.0	0.0
mix_6	0.313944251998	0.25813550133	0.427920246672	0.0	0.0	0.0	0.0
mix_7	0.417946281995	0.199974568471	0.382079149534	0.0	0.0	0.0	0.0
mix_8	0.39242797158	0.195963515883	0.411608512537	0.0	0.0	0.0	0.0
mix_9	0.281207924947	0.274607782076	0.444184292976	0.0	0.0	0.0	0.0
mix_10	0.368241314469	0.283742266641	0.34801641889	0.0	0.0	0.0	0.0
mix_11	0.312728999726	0.237752457531	0.449518542743	0.0	0.0	0.0	0.0
mix_12	0.331912365337	0.256401719777	0.411685914887	0.0	0.0	0.0	0.0
mix_13	0.305252568359	0.303131153018	0.391616278622	0.0	0.0	0.0	0.0
mix_14	0.297970765687	0.289078400928	0.412950833385	0.0	0.0	0.0	0.0
mix_15	0.363518004516	0.226102239269	0.410379756215	0.0	0.0	0.0	0.0
mix_16	0.551631500909	0.161234838552	0.287133660538	0.0	0.0	0.0	0.0
mix_17	0.522531557822	0.198838959167	0.278629483011	0.0	0.0	0.0	0.0
mix_18	0.367318119276	0.315496558719	0.317185322005	0.0	0.0	0.0	0.0
mix_19	0.472300313483	0.195245048114	0.332454638403	0.0	0.0	0.0	0.0
mix_20	0.322358624426	0.265804509706	0.411836865868	0.0	0.0	0.0	0.0
mix_21	0.41261842574	0.261900288544	0.325481285716	0.0	0.0	0.0	0.0
mix_22	0.303686860767	0.259408937338	0.436904201895	0.0	0.0	0.0	0.0
mix_23	0.304772712881	0.272550987305	0.422676299814	0.0	0.0	0.0	0.0
mix_24	0.357420989087	0.249087234516	0.393491776397	0.0	0.0	0.0	0.0
mix_25	0.290000819614	0.285652875307	0.42434630508	0.0	0.0	0.0	0.0
mix_26	0.434486725205	0.263884063972	0.301629210822	0.0	0.0	0.0	0.0
mix_27	0.301354564423	0.24727743106	0.451368004517	0.0	0.0	0.0	0.0
mix_28	0.328010902742	0.261448876423	0.410540220835	0.0	0.0	0.0	0.0
mix_29	0.318384540112	0.232506694186	0.449108765703	0.0	0.0	0.0	0.0
mix_30	0.299680798438	0.282165466937	0.418153734625	0.0	0.0	0.0	0.0
mix_31	0.328044234084	0.275916484016	0.3960392819	0.0	0.0	0.0	0.0
mix_32	0.289690603315	0.294507624306	0.415801772379	0.0	0.0	0.0	0.0
mix_33	0.34522683041	0.289774741835	0.364998427755	0.0	0.0	0.0	0.0
mix_34	0.477401641552	0.241972049371	0.280626309077	0.0	0.0	0.0	0.0
mix_35	0.319217612423	0.2606803365	0.420102051077	0.0	0.0	0.0	0.0
mix_36	0.349765191931	0.246458198767	0.403776609302	0.0	0.0	0.0	0.0
mix_37	0.439763467814	0.208756609176	0.35147992301	0.0	0.0	0.0	0.0
mix_38	0.405950162972	0.203923839605	0.390125997424	0.0	0.0	0.0	0.0
mix_39	0.326682999638	0.253563637638	0.419753362723	0.0	0.0	0.0	0.0
mix_40	0.336766243529	0.270619227063	0.392614529408	0.0	0.0	0.0	0.0
mix_41	0.438080722251	0.247252493651	0.314666784098	0.0	0.0	0.0	0.0
mix_42	0.3046790564	0.32472657212	0.37059437148	0.0	0.0	0.0	0.0
mix_43	0.425841842404	0.270485464825	0.303672692771	0.0	0.0	0.0	0.0
mix_44	0.328397739478	0.251484693661	0.420117566862	0.0	0.0	0.0	0.0
mix_45	0.358524139487	0.226880135896	0.414595724617	0.0	0.0	0.0	0.0
mix_46	0.376690363322	0.255716398801	0.367593237877	0.0	0.0	0.0	0.0
mix_47	0.766140225121	0.078507461611	0.155352313268	0.0	0.0	0.0	0.0
mix_48	0.339534215888	0.308222661773	0.352243122339	0.0	0.0	0.0	0.0
mix_49	0.314141084661	0.259796073512	0.426062841827	0.0	0.0	0.0	0.0
mix_50	0.313620191406	0.260273144264	0.42610666433	0.0	0.0	0.0	0.0
mix_51	0.493034746042	0.237947853606	0.269017400352	0.0	0.0	0.0	0.0
mix_52	0.43052631229	0.244748274327	0.324725413383	0.0	0.0	0.0	0.0
mix_53	0.435688459768	0.237265619213	0.327045921018	0.0	0.0	0.0	0.0
mix_54	0.341578778193	0.269259060576	0.389162161231	0.0	0.0	0.0	0.0
mix_55	0.376567583128	0.294065662023	0.329366754849	0.0	0.0	0.0	0.0
mix_56	0.297754975996	0.289690574159	0.412554449844	0.0	0.0	0.0	0.0
mix_57	0.297026653649	0.26855731663	0.434416029721	0.0	0.0	0.0	0.0
mix_58	0.339869499769	0.249886158144	0.410244342087	0.0	0.0	0.0	0.0
mix_59	0.478552816469	0.211982615478	0.309464568053	0.0	0.0	0.0	0.0
mix_60	0.353738506703	0.284586661379	0.361674831918	0.0	0.0	0.0	0.0
mix_61	0.356601434053	0.247028965515	0.396369600432	0.0	0.0	0.0	0.0
mix_62	0.419919132636	0.225018202587	0.355062664777	0.0	0.0	0.0	0.0
mix_63	0.329452232371	0.260326639264	0.410221128366	0.0	0.0	0.0	0.0
mix_64	0.743412111616	0.0838429816925	0.172744906692	0.0	0.0	0.0	0.0
mix_65	0.454987143366	0.223800784587	0.321212072047	0.0	0.0	0.0	0.0
mix_66	0.427209616805	0.203622947427	0.369167435767	0.0	0.0	0.0	0.0
mix_67	0.347662466022	0.219249511302	0.433088022676	0.0	0.0	0.0	0.0
mix_68	0.405989015421	0.237851626865	0.356159357715	0.0	0.0	0.0	0.0
mix_69	0.349933800418	0.264928081452	0.38513811813	0.0	0.0	0.0	0.0
mix_70	0.448425195036	0.243793716627	0.307781088337	0.0	0.0	0.0	0.0
mix_71	0.407352069796	0.221902173417	0.370745756787	0.0	0.0	0.0	0.0
mix_72	0.432959362945	0.203479091542	0.363561545513	0.0	0.0	0.0	0.0
mix_73	0.440275611906	0.239401588331	0.320322799763	0.0	0.0	0.0	0.0
mix_74	0.270558521465	0.301752940206	0.427688538328	0.0	0.0	0.0	0.0
mix_75	0.359954821063	0.284075364121	0.355969814816	0.0	0.0	0.0	0.0
mix_76	0.376942297336	0.198415828712	0.424641873952	0.0	0.0	0.0	0.0
mix_77	0.331916736761	0.264285389705	0.403797873534	0.0	0.0	0.0	0.0
mix_78	0.3869297846	0.249434632919	0.363635582481	0.0	0.0	0.0	0.0
mix_79	0.526884098931	0.194594318217	0.278521582852	0.0	0.0	0.0	0.0
