B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.175934739554	0.395991509296	0.183809253628	0.207457162489	0.0368073350315
Mix_2	0.198003607083	0.569390941488	0.116566715807	0.108580401686	0.00745833393587
Mix_3	0.0856720733189	0.42508394936	0.128756748919	0.125828271073	0.234658957329
Mix_4	0.120497962472	0.547013838041	0.177049636287	0.054021110676	0.101417452524
Mix_5	0.345185804788	0.387660721522	0.210189078162	0.0189028581722	0.0380615373554
Mix_6	0.22313017112	0.260394823642	0.131837531727	0.295489892064	0.0891475814475
Mix_7	0.153960234637	0.518527999008	0.0990852142506	0.0266095435472	0.201817008557
Mix_8	0.170984422913	0.622108488254	0.0105961249845	0.14027991772	0.0560310461292
Mix_9	0.224533131528	0.534258256027	0.102046900127	0.0884307819833	0.050730930334
Mix_10	0.278798551844	0.332067124354	0.0997568533507	0.186214657965	0.103162812487
Mix_11	0.143490805489	0.638113472687	0.167045175089	0.0481077679613	0.00324277877314
Mix_12	0.138750433213	0.428870354166	0.222216560846	0.139269703966	0.0708929478097
Mix_13	0.272064379012	0.4255054117	0.0931636622552	0.077844992204	0.131421554829
Mix_14	0.0930730669282	0.466438757758	0.191576502151	0.0123037578015	0.236607915361
Mix_15	0.12678700352	0.662956735806	0.0924829841622	0.061313514373	0.0564597621381
Mix_16	0.173658732881	0.566349131343	0.0460772338568	0.119253303837	0.0946615980817
Mix_17	0.155211543652	0.562448911706	0.0701300161622	0.0583665549066	0.153842973573
Mix_18	0.105522398791	0.7257839347	0.077921889642	0.0690163118995	0.0217554649673
Mix_19	0.168365516593	0.320353432461	0.212776121429	0.182901313722	0.115603615795
Mix_20	0.21431121642	0.461239707117	0.0843573024112	0.161143424705	0.0789483493477
Mix_21	0.191593775183	0.408838961553	0.0784061290325	0.200190483639	0.120970650592
Mix_22	0.120178762154	0.354665543976	0.0591780308826	0.240031587562	0.225946075426
Mix_23	0.238214885226	0.553498474595	0.101512908124	0.0902592321002	0.0165144999542
Mix_24	0.0736728266106	0.722743402094	0.0250217314753	0.073185700872	0.105376338948
Mix_25	0.256241934572	0.430143295004	0.14059938327	0.0219049786513	0.151110408502
Mix_26	0.184490165263	0.525180686104	0.0643120136147	0.0487525077328	0.177264627285
Mix_27	0.271508743977	0.418382876804	0.017645506403	0.127263921281	0.165198951534
Mix_28	0.19064741046	0.479791361717	0.0777464514625	0.18261641998	0.0691983563813
Mix_29	0.202466558778	0.50074733667	0.0294355489918	0.0571091722466	0.210241383314
Mix_30	0.194387488736	0.323381492086	0.187639512379	0.0216109706113	0.272980536188
Mix_31	0.198033318209	0.553234551095	0.0775044599636	0.104506172595	0.0667214981371
Mix_32	0.102674928756	0.695010475556	0.0483630072691	0.105600445214	0.0483511432049
Mix_33	0.103215407972	0.65389642739	0.0295235376926	0.119494467874	0.093870159072
Mix_34	0.251272837044	0.281547182757	0.0570212735153	0.239002525217	0.171156181467
Mix_35	0.163709940489	0.57841158172	0.170567837848	0.0540722453333	0.0332383946101
Mix_36	0.221806803194	0.508920725741	0.0938912911915	0.0959302426046	0.0794509372683
Mix_37	0.112046160559	0.397426244142	0.129937895531	0.125673997349	0.234915702419
Mix_38	0.078621716634	0.601216671875	0.0713317854687	0.16978641593	0.0790434100925
Mix_39	0.277080902516	0.456548053515	0.0196806336538	0.169251262662	0.077439147653
Mix_40	0.250141179296	0.285756552008	0.135015059448	0.0758556708124	0.253231538435
Mix_41	0.162247867457	0.431046935532	0.155056175489	0.114233829765	0.137415191756
Mix_42	0.187210464865	0.486663430994	0.0253618188922	0.0566502266643	0.244114058585
Mix_43	0.292391651738	0.326944550515	0.0998334494708	0.190265207843	0.0905651404337
Mix_44	0.143781584532	0.415769667122	0.290499226857	0.115696891719	0.0342526297701
Mix_45	0.121500174029	0.412661224086	0.0679452004349	0.132169233961	0.26572416749
Mix_46	0.242174184477	0.40127217623	0.0	0.0971638527256	0.259389786567
Mix_47	0.178667282868	0.353845748424	0.100845114167	0.238511259936	0.128130594606
Mix_48	0.202280801149	0.565408590007	0.0986834010339	0.080767190789	0.0528600170209
Mix_49	0.0998762137397	0.474685429245	0.280199614388	0.0181237956291	0.127114946999
Mix_50	0.0850421799405	0.516925018938	0.0	0.117420984674	0.280611816448
Mix_51	0.182759629885	0.576964709593	0.078276690488	0.11226484599	0.0497341240431
Mix_52	0.0726334703428	0.45471993109	0.0488063424644	0.106073008584	0.317767247519
Mix_53	0.203478768103	0.43540355697	0.0482366308868	0.184555214418	0.128325829623
Mix_54	0.146313154861	0.307519624565	0.362217874906	0.152002248651	0.0319470970164
Mix_55	0.0838679190423	0.456436350325	0.13351574736	0.0955843332536	0.230595650019
Mix_56	0.105856957502	0.409091506068	0.018913063993	0.148423292433	0.317715180003
Mix_57	0.0663220234229	0.477349249791	0.38141253627	0.0636321400221	0.0112840504939
Mix_58	0.10653802655	0.655282913856	0.0813419004235	0.0808836557058	0.0759535034642
Mix_59	0.148297851158	0.349384008353	0.371398446352	0.0646554427361	0.066264251402
Mix_60	0.294356316014	0.309263602962	0.0	0.0274091716352	0.368970909388
Mix_61	0.32975994364	0.337069186591	0.10623094896	0.15502664927	0.0719132715384
Mix_62	0.339822279521	0.366580539998	0.230028218149	0.017762719522	0.0458062428098
Mix_63	0.136329784662	0.348132065263	0.319637033731	0.150785354299	0.0451157620439
Mix_64	0.242008652606	0.284065548843	0.0780738667292	0.234415864609	0.161436067213
Mix_65	0.199888610901	0.350761584662	0.073727421883	0.189768310952	0.185854071602
Mix_66	0.208288019719	0.544964399028	0.126897785048	0.0255061424545	0.0943436537504
Mix_67	0.314975640754	0.375310062473	0.0814107955876	0.211041589855	0.0172619113308
Mix_68	0.131971360405	0.507341144709	0.00871438495479	0.124656105904	0.227317004027
Mix_69	0.337154873338	0.272564920485	0.131116037677	0.0799849326196	0.179179235881
Mix_70	0.112543473496	0.556748008105	0.00523269391046	0.109696377604	0.215779446885
Mix_71	0.176073031628	0.340656800505	0.103858161805	0.103518370516	0.275893635546
