B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.124276670071	0.125016210755	0.271318574565	0.169611744557	0.309776800051
Mix_2	0.211765205049	0.11701382972	0.236768392731	0.110872040034	0.323580532466
Mix_3	0.0752910892815	0.0129864524646	0.25882313076	0.0907745381215	0.562124789372
Mix_4	0.104550494747	0.0607988660103	0.26370513144	0.0638654474014	0.507080060401
Mix_5	0.340031564006	0.0832825302382	0.26118239162	0.0279951687109	0.287508345426
Mix_6	0.146059122998	0.0439485513446	0.226013924684	0.23963124309	0.344347157884
Mix_7	0.135545000614	0.00165246856028	0.192627658932	0.0777724539934	0.5924024179
Mix_8	0.294799699903	0.0989145889326	0.108260587719	0.148364451051	0.349660672395
Mix_9	0.190634780289	0.0828131233172	0.253854435188	0.0907429359463	0.38195472526
Mix_10	0.265815320126	0.0299564246785	0.182162254232	0.103353255318	0.418712745646
Mix_11	0.171761045564	0.0895793070521	0.247642313835	0.0869062933339	0.404111040216
Mix_12	0.0725458526587	0.111470537632	0.255193205574	0.167182962773	0.393607441362
Mix_13	0.306634688572	0.0806957213231	0.181719988814	0.0612649894955	0.369684611795
Mix_14	0.0813273682429	0.0	0.264600080253	0.0469919280286	0.607080623476
Mix_15	0.124586914592	0.0539084898031	0.185760530957	0.0878880007092	0.547856063939
Mix_16	0.24954498625	0.0468233742634	0.140970640794	0.109791775558	0.452869223134
Mix_17	0.169315506169	0.0614809403229	0.138169360056	0.091167656898	0.539866536554
Mix_18	0.163077307756	0.199137956589	0.128964244822	0.106927823835	0.401892666998
Mix_19	0.0903599388538	0.0	0.232239093582	0.181042982164	0.4963579854
Mix_20	0.2569272568	0.0345422451984	0.130384364679	0.122037325801	0.456108807522
Mix_21	0.257586747942	0.0544891322248	0.121277580666	0.177884991166	0.388761548001
Mix_22	0.0978497519274	0.0137539210513	0.219618582269	0.22630485414	0.442472890613
Mix_23	0.361445801232	0.131797657114	0.178125787729	0.091699244965	0.236931508959
Mix_24	0.0759266656378	0.00964833038424	0.146440160086	0.162803757322	0.605181086571
Mix_25	0.305000646892	0.098728131329	0.17889885075	0.0371856981796	0.38018667285
Mix_26	0.253116098738	0.0491288174293	0.118407374488	0.07928839446	0.500059314885
Mix_27	0.299586826916	0.0257037064889	0.10274077765	0.144172246589	0.427796442356
Mix_28	0.15039498252	0.0155210442503	0.221525000246	0.196611243283	0.415947729701
Mix_29	0.289780787675	0.0961020022782	0.110739798829	0.0888259156375	0.41455149558
Mix_30	0.114138054504	0.0	0.253926977352	0.0486805274815	0.583254440663
Mix_31	0.245087239893	0.0639949871369	0.139383712136	0.104244843995	0.447289216839
Mix_32	0.163494545767	0.00378436729497	0.125765008835	0.181039776916	0.525916301187
Mix_33	0.095702636538	0.0	0.202403156922	0.150532743586	0.551361462954
Mix_34	0.199687016448	0.0745468438443	0.204757599022	0.161102344733	0.359906195953
Mix_35	0.141226203237	0.134024052882	0.280619015035	0.0666818298148	0.377448899031
Mix_36	0.165519851032	0.0	0.229548638706	0.096684895235	0.508246615027
Mix_37	0.0812620519753	0.0411192893504	0.265283210549	0.0905643802773	0.521771067848
Mix_38	0.0636978866545	0.0984435396694	0.259467940261	0.170891400296	0.407499233119
Mix_39	0.34311831377	0.0362697232551	0.104216173376	0.207114081276	0.309281708322
Mix_40	0.13957361444	0.0203829996782	0.264396745048	0.0632788582888	0.512367782545
Mix_41	0.137436130491	0.11670245304	0.324149636959	0.0846996803197	0.337012099191
Mix_42	0.247144352465	0.0678960871493	0.124010135604	0.0912640847792	0.469685340002
Mix_43	0.231790623738	0.0528127598861	0.21548300662	0.106977151262	0.392936458494
Mix_44	0.0812710064549	0.114276842738	0.28077384189	0.147507375851	0.376170933065
Mix_45	0.0949448964383	0.0	0.199976255353	0.126795907564	0.578282940645
Mix_46	0.30679457679	0.0784240286652	0.107956859372	0.111067771911	0.395756763262
Mix_47	0.133666188723	0.0380715311628	0.226761875556	0.181076524098	0.420423880461
Mix_48	0.194903313529	0.0307792420215	0.243692662276	0.0920101043123	0.438614677861
Mix_49	0.0978770877454	0.150909363323	0.323189706473	0.0373910449956	0.390632797463
Mix_50	0.115570203061	0.0	0.155321580824	0.143793511902	0.585314704213
Mix_51	0.238424746762	0.0664810935716	0.143283563013	0.0921248505885	0.459685746065
Mix_52	0.0615292823743	0.0	0.202050349703	0.0985716358167	0.637848732106
Mix_53	0.225873794815	0.0168108636048	0.126051245222	0.145423008639	0.485841087718
Mix_54	0.075733771666	0.0738416118123	0.415610492493	0.149129133822	0.285684990207
Mix_55	0.0641031660409	0.0435585741355	0.300014682475	0.067828441927	0.524495135421
Mix_56	0.099525930457	0.0	0.170349077473	0.159836322592	0.570288669478
Mix_57	0.0508110503298	0.197802450789	0.377524145283	0.0877741505422	0.286088203056
Mix_58	0.121107681422	0.0237626897453	0.194950876399	0.102689008017	0.557489744417
Mix_59	0.0796706045503	0.0704075544028	0.357159263731	0.0640855753319	0.428677001985
Mix_60	0.359759305037	0.019668006282	0.121624244451	0.0331747900464	0.465773654183
Mix_61	0.289650743487	0.097724766187	0.230999636842	0.0784709399577	0.303153913526
Mix_62	0.313524388101	0.0902713293843	0.291519685774	0.0131572291154	0.291527367626
Mix_63	0.0707969531371	0.038891812155	0.347426167263	0.164619871107	0.378265196338
Mix_64	0.234999953489	0.0559565956565	0.156833966029	0.175222140405	0.37698734442
Mix_65	0.215727164584	0.0580881872622	0.14028730426	0.142126333634	0.443771010259
Mix_66	0.192498884923	0.0205143375841	0.237773371904	0.0733051875129	0.475908218075
Mix_67	0.357644354729	0.135121128293	0.191911174345	0.155525322971	0.159798019663
Mix_68	0.134600182631	0.00181026995525	0.130506597506	0.155276368017	0.577806581891
Mix_69	0.311351667713	0.107278328949	0.180373064861	0.0536459375225	0.347351000955
Mix_70	0.146644654412	0.103317781033	0.128810135009	0.103755449995	0.51747197955
Mix_71	0.111249811793	0.0	0.244931939225	0.0776307923189	0.566187456663
Mix_72	0.143739336374	0.185561654711	0.0724117811275	0.203309009125	0.394978218662
Mix_73	0.0556358669656	0.0581423523069	0.322171118753	0.0573112887523	0.506739373222
Mix_74	0.279239049971	0.0656554601437	0.248642785643	0.0940735989266	0.312389105316
Mix_75	0.130714269184	0.110614020941	0.336602749876	0.0465644552423	0.375504504757
Mix_76	0.109995917098	0.083244647839	0.31736899421	0.0467334969203	0.442656943933
Mix_77	0.149608305058	0.129160113526	0.24025992792	0.14343192173	0.337539731765
Mix_78	0.0653338935193	0.0350862523414	0.247353967939	0.0575917682811	0.594634117919
Mix_79	0.0742172150925	0.0760512294526	0.415452251048	0.127217117362	0.307062187045
Mix_80	0.16257305514	0.039573685588	0.21969485698	0.131738965949	0.446419436343
Mix_81	0.112757637117	0.0288421206292	0.250383193238	0.124658266537	0.483358782479
Mix_82	0.155791055944	0.00504351928752	0.250783019141	0.0410726938229	0.547309711804
Mix_83	0.19693521426	0.0315535503281	0.228040205269	0.118948148491	0.424522881652
Mix_84	0.177779665912	0.0314283736824	0.162776086594	0.128667109653	0.499348764159
Mix_85	0.133087863365	0.102879943928	0.278282319783	0.0583556068206	0.427394266104
Mix_86	0.0907595167417	0.0251209244919	0.269298513847	0.130206064256	0.484614980664
Mix_87	0.440911588048	0.0815265222003	0.199660032365	0.106370127791	0.171531729597
Mix_88	0.328732640517	0.0910489653828	0.0734157201083	0.103815358414	0.402987315578
Mix_89	0.04932628388	0.119290383902	0.274209463894	0.184103817107	0.373070051217
Mix_90	0.163198379779	0.150617359807	0.462245356357	0.036593667114	0.187345236943
Mix_91	0.402805463163	0.144987456422	0.216303409787	0.0574234256451	0.178480244982
Mix_92	0.184582218293	0.159485248997	0.332102055835	0.0933762994991	0.230454177377
Mix_93	0.201306691318	0.185004936798	0.0411669282402	0.194298207678	0.378223235965
Mix_94	0.348497673125	0.00598999645458	0.144967941799	0.102404414921	0.398139973701
Mix_95	0.130264226683	0.107902049216	0.284618881468	0.0862677664156	0.390947076218
Mix_96	0.0814736857994	0.0254334009668	0.178303751679	0.119293060492	0.595496101062
Mix_97	0.207441328919	0.0500252893729	0.2362335671	0.103444898362	0.402854916247
Mix_98	0.437543916067	0.0157774010927	0.0384774179133	0.280597088523	0.227604176404
Mix_99	0.0656816464838	0.0536504666918	0.197780782028	0.0828081098124	0.600078994984
Mix_100	0.223432926401	0.150227050441	0.251125104635	0.147995570724	0.227219347799
