B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.208427861061	0.663285184311	0.0	0.0	0.128286954627	0.0
mix_2	0.0	0.293670891256	0.614224743476	0.0	0.0	0.0921043652675	0.0
mix_3	0.0	0.375158676632	0.425001925708	0.0	0.0	0.19983939766	0.0
mix_4	0.0	0.365485798519	0.538771460051	0.0	0.0	0.0957427414296	0.0
mix_5	0.0	0.321757089555	0.560273498606	0.0	0.0	0.117969411839	0.0
mix_6	0.0	0.352721892496	0.555480308667	0.0	0.0	0.0917977988364	0.0
mix_7	0.0	0.343248247344	0.530629443225	0.0	0.0	0.126122309431	0.0
mix_8	0.0	0.255594499859	0.616592599821	0.0	0.0	0.12781290032	0.0
mix_9	0.0	0.316934771536	0.594135787103	0.0	0.0	0.0889294413607	0.0
mix_10	0.0	0.491689452234	0.357655107446	0.0	0.0	0.15065544032	0.0
mix_11	0.0	0.241678491748	0.642384286656	0.0	0.0	0.115937221596	0.0
mix_12	0.0	0.384855071252	0.495799149688	0.0	0.0	0.11934577906	0.0
mix_13	0.0	0.481286963675	0.403082899435	0.0	0.0	0.11563013689	0.0
mix_14	0.0	0.399109782301	0.481619027954	0.0	0.0	0.119271189745	0.0
mix_15	0.0	0.312842136885	0.568208407317	0.0	0.0	0.118949455798	0.0
mix_16	0.0	0.408610313324	0.421636423761	0.0	0.0	0.169753262915	0.0
mix_17	0.0	0.458209706414	0.382468739044	0.0	0.0	0.159321554542	0.0
mix_18	0.0	0.58419207239	0.267259423262	0.0	0.0	0.148548504347	0.0
mix_19	0.0	0.318732532571	0.485075484311	0.0	0.0	0.196191983118	0.0
mix_20	0.0	0.363195889099	0.554907580187	0.0	0.0	0.0818965307138	0.0
mix_21	0.0	0.477838234444	0.391301635624	0.0	0.0	0.130860129932	0.0
mix_22	0.0	0.330670766164	0.536461503406	0.0	0.0	0.13286773043	0.0
mix_23	0.0	0.366248441817	0.521351770329	0.0	0.0	0.112399787854	0.0
mix_24	0.0	0.384453255691	0.506527654126	0.0	0.0	0.109019090183	0.0
mix_25	0.0	0.384297357519	0.523636053171	0.0	0.0	0.0920665893102	0.0
mix_26	0.0	0.508654182342	0.324939565529	0.0	0.0	0.166406252129	0.0
mix_27	0.0	0.253566701888	0.642232713835	0.0	0.0	0.104200584277	0.0
mix_28	0.0	0.338624411309	0.557046162405	0.0	0.0	0.104329426287	0.0
mix_29	0.0	0.232018031728	0.650787339145	0.0	0.0	0.117194629128	0.0
mix_30	0.0	0.374405250478	0.51846264621	0.0	0.0	0.107132103312	0.0
mix_31	0.0	0.407347945025	0.469908152253	0.0	0.0	0.122743902721	0.0
mix_32	0.0	0.422638389962	0.447643857198	0.0	0.0	0.12971775284	0.0
mix_33	0.0	0.518537289303	0.331355483615	0.0	0.0	0.150107227083	0.0
mix_34	0.0	0.538107611867	0.262700010625	0.0	0.0	0.199192377508	0.0
mix_35	0.0	0.350303610306	0.532869900871	0.0	0.0	0.116826488823	0.0
mix_36	0.0	0.386816582755	0.471592930224	0.0	0.0	0.141590487021	0.0
mix_37	0.0	0.364325541618	0.493991294309	0.0	0.0	0.141683164073	0.0
mix_38	0.0	0.293284524278	0.554979784072	0.0	0.0	0.151735691649	0.0
mix_39	0.0	0.345783343733	0.55390388259	0.0	0.0	0.100312773677	0.0
mix_40	0.0	0.416090867098	0.450819483638	0.0	0.0	0.133089649264	0.0
mix_41	0.0	0.473945511786	0.346726289701	0.0	0.0	0.179328198513	0.0
mix_42	0.0	0.489520505335	0.409255424125	0.0	0.0	0.10122407054	0.0
mix_43	0.0	0.506266044903	0.328708182399	0.0	0.0	0.165025772698	0.0
mix_44	0.0	0.325143322634	0.566609076743	0.0	0.0	0.108247600623	0.0
mix_45	0.0	0.299875470218	0.580838086263	0.0	0.0	0.119286443519	0.0
mix_46	0.0	0.442197517886	0.380145604166	0.0	0.0	0.177656877948	0.0
mix_47	0.0	0.527876602921	0.263260108711	0.0	0.0	0.208863288368	0.0
mix_48	0.0	0.513717851631	0.349839912297	0.0	0.0	0.136442236072	0.0
mix_49	0.0	0.375846764322	0.4579947204	0.0	0.0	0.166158515278	0.0
mix_50	0.0	0.33979378878	0.548342516129	0.0	0.0	0.111863695091	0.0
mix_51	0.0	0.491758066312	0.327108815472	0.0	0.0	0.181133118216	0.0
mix_52	0.0	0.471755010954	0.362223478641	0.0	0.0	0.166021510406	0.0
mix_53	0.0	0.509344244327	0.346275209588	0.0	0.0	0.144380546085	0.0
mix_54	0.0	0.434735504619	0.446382893901	0.0	0.0	0.11888160148	0.0
mix_55	0.0	0.542407542629	0.316401786444	0.0	0.0	0.141190670927	0.0
mix_56	0.0	0.401342727668	0.469939586223	0.0	0.0	0.128717686109	0.0
mix_57	0.0	0.300948116343	0.597168055001	0.0	0.0	0.101883828657	0.0
mix_58	0.0	0.328099207466	0.556620488929	0.0	0.0	0.115280303605	0.0
mix_59	0.0	0.447427760372	0.377241822991	0.0	0.0	0.175330416637	0.0
mix_60	0.0	0.487094412439	0.387303107071	0.0	0.0	0.12560248049	0.0
mix_61	0.0	0.398757989659	0.473237346866	0.0	0.0	0.128004663475	0.0
mix_62	0.0	0.366983716873	0.465603013182	0.0	0.0	0.167413269944	0.0
mix_63	0.0	0.353529595964	0.528743709291	0.0	0.0	0.117726694745	0.0
mix_64	0.0	0.496486311032	0.310769402036	0.0	0.0	0.192744286932	0.0
mix_65	0.0	0.442202670555	0.375205288877	0.0	0.0	0.182592040567	0.0
mix_66	0.0	0.417263795768	0.429959243322	0.0	0.0	0.15277696091	0.0
mix_67	0.0	0.256245734984	0.617562507138	0.0	0.0	0.126191757878	0.0
mix_68	0.0	0.440086671155	0.434225594007	0.0	0.0	0.125687734837	0.0
mix_69	0.0	0.397342273292	0.520498227307	0.0	0.0	0.0821594994005	0.0
mix_70	0.0	0.498817577	0.342490806025	0.0	0.0	0.158691616974	0.0
mix_71	0.0	0.336122557609	0.518292746926	0.0	0.0	0.145584695465	0.0
mix_72	0.0	0.357029526128	0.470060854837	0.0	0.0	0.172909619035	0.0
mix_73	0.0	0.444619920309	0.42209006678	0.0	0.0	0.133290012912	0.0
mix_74	0.0	0.389954344185	0.505498660728	0.0	0.0	0.104546995087	0.0
mix_75	0.0	0.490156116132	0.386667038907	0.0	0.0	0.123176844961	0.0
mix_76	0.0	0.219929849067	0.641592580238	0.0	0.0	0.138477570695	0.0
mix_77	0.0	0.396090835936	0.492942229315	0.0	0.0	0.110966934749	0.0
mix_78	0.0	0.439425498626	0.428155526637	0.0	0.0	0.132418974738	0.0
mix_79	0.0	0.432378064704	0.374522320051	0.0	0.0	0.193099615245	0.0
mix_80	0.0	0.523248911779	0.325083887717	0.0	0.0	0.151667200504	0.0
mix_81	0.0	0.482340455642	0.329723721119	0.0	0.0	0.18793582324	0.0
mix_82	0.0	0.432566551116	0.287400331737	0.0	0.0	0.280033117147	0.0
mix_83	0.0	0.528564527764	0.340724733572	0.0	0.0	0.130710738664	0.0
mix_84	0.0	0.316634605843	0.554990480582	0.0	0.0	0.128374913575	0.0
mix_85	0.0	0.350807649117	0.464486239146	0.0	0.0	0.184706111737	0.0
mix_86	0.0	0.401821451273	0.486000392383	0.0	0.0	0.112178156344	0.0
mix_87	0.0	0.250133013522	0.64714455898	0.0	0.0	0.102722427498	0.0
mix_88	0.0	0.365650266496	0.513267508355	0.0	0.0	0.121082225149	0.0
mix_89	0.0	0.557020213754	0.241906490267	0.0	0.0	0.201073295979	0.0
mix_90	0.0	0.270679331447	0.627997703828	0.0	0.0	0.101322964725	0.0
mix_91	0.0	0.355079546421	0.514517161728	0.0	0.0	0.130403291851	0.0
mix_92	0.0	0.391436709524	0.503329886731	0.0	0.0	0.105233403745	0.0
mix_93	0.0	0.527896620888	0.32273097129	0.0	0.0	0.149372407822	0.0
mix_94	0.0	0.344866623808	0.548722518354	0.0	0.0	0.106410857838	0.0
mix_95	0.0	0.421986335118	0.464221828195	0.0	0.0	0.113791836687	0.0
mix_96	0.0	0.439983425973	0.426005873911	0.0	0.0	0.134010700115	0.0
mix_97	0.0	0.38944507033	0.488232926514	0.0	0.0	0.122322003157	0.0
mix_98	0.0	0.459876390861	0.405076295188	0.0	0.0	0.135047313952	0.0
mix_99	0.0	0.511539420884	0.283067957345	0.0	0.0	0.205392621771	0.0
mix_100	0.0	0.429776576124	0.44647135116	0.0	0.0	0.123752072716	0.0
