B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.539606242699	0.460393757301	0.0	0.0	0.0	0.0
mix_2	0.0	0.492573272604	0.507426727396	0.0	0.0	0.0	0.0
mix_3	0.0	0.524550974598	0.475449025402	0.0	0.0	0.0	0.0
mix_4	0.0	0.490441949398	0.509558050602	0.0	0.0	0.0	0.0
mix_5	0.0	0.467919387169	0.532080612831	0.0	0.0	0.0	0.0
mix_6	0.0	0.54868720541	0.45131279459	0.0	0.0	0.0	0.0
mix_7	0.0	0.422008546137	0.577991453863	0.0	0.0	0.0	0.0
mix_8	0.0	0.39306382482	0.60693617518	0.0	0.0	0.0	0.0
mix_9	0.0	0.514124300968	0.485875699032	0.0	0.0	0.0	0.0
mix_10	0.0	0.68811429898	0.31188570102	0.0	0.0	0.0	0.0
mix_11	0.0	0.474287339669	0.525712660331	0.0	0.0	0.0	0.0
mix_12	0.0	0.518354733172	0.481645266828	0.0	0.0	0.0	0.0
mix_13	0.0	0.672874235193	0.327125764807	0.0	0.0	0.0	0.0
mix_14	0.0	0.661516809999	0.338483190001	0.0	0.0	0.0	0.0
mix_15	0.0	0.490225231365	0.509774768635	0.0	0.0	0.0	0.0
mix_16	0.0	0.493887415314	0.506112584686	0.0	0.0	0.0	0.0
mix_17	0.0	0.569807497278	0.430192502722	0.0	0.0	0.0	0.0
mix_18	0.0	0.749097692144	0.250902307856	0.0	0.0	0.0	0.0
mix_19	0.0	0.492244840819	0.507755159181	0.0	0.0	0.0	0.0
mix_20	0.0	0.602106029075	0.397893970925	0.0	0.0	0.0	0.0
mix_21	0.0	0.629999407102	0.370000592898	0.0	0.0	0.0	0.0
mix_22	0.0	0.648491770937	0.351508229063	0.0	0.0	0.0	0.0
mix_23	0.0	0.649473742185	0.350526257815	0.0	0.0	0.0	0.0
mix_24	0.0	0.516573058402	0.483426941598	0.0	0.0	0.0	0.0
mix_25	0.0	0.647270892074	0.352729107926	0.0	0.0	0.0	0.0
mix_26	0.0	0.588092799193	0.411907200807	0.0	0.0	0.0	0.0
mix_27	0.0	0.613336808317	0.386663191683	0.0	0.0	0.0	0.0
mix_28	0.0	0.552673810885	0.447326189115	0.0	0.0	0.0	0.0
mix_29	0.0	0.424947214304	0.575052785696	0.0	0.0	0.0	0.0
mix_30	0.0	0.621900401137	0.378099598863	0.0	0.0	0.0	0.0
mix_31	0.0	0.51816866466	0.48183133534	0.0	0.0	0.0	0.0
mix_32	0.0	0.605117638254	0.394882361746	0.0	0.0	0.0	0.0
mix_33	0.0	0.681302392521	0.318697607479	0.0	0.0	0.0	0.0
mix_34	0.0	0.622926181796	0.377073818204	0.0	0.0	0.0	0.0
mix_35	0.0	0.565350185998	0.434649814002	0.0	0.0	0.0	0.0
mix_36	0.0	0.535446566277	0.464553433723	0.0	0.0	0.0	0.0
mix_37	0.0	0.541996562105	0.458003437895	0.0	0.0	0.0	0.0
mix_38	0.0	0.425349566095	0.574650433905	0.0	0.0	0.0	0.0
mix_39	0.0	0.54467449278	0.45532550722	0.0	0.0	0.0	0.0
mix_40	0.0	0.588527266924	0.411472733076	0.0	0.0	0.0	0.0
mix_41	0.0	0.602790048267	0.397209951733	0.0	0.0	0.0	0.0
mix_42	0.0	0.655043565073	0.344956434927	0.0	0.0	0.0	0.0
mix_43	0.0	0.658464194058	0.341535805942	0.0	0.0	0.0	0.0
mix_44	0.0	0.612240630151	0.387759369849	0.0	0.0	0.0	0.0
mix_45	0.0	0.479140495958	0.520859504042	0.0	0.0	0.0	0.0
mix_46	0.0	0.589147013413	0.410852986587	0.0	0.0	0.0	0.0
mix_47	0.0450190750679	0.558753922407	0.396227002525	0.0	0.0	0.0	0.0
mix_48	0.0	0.727421699226	0.272578300774	0.0	0.0	0.0	0.0
mix_49	0.0	0.619610606907	0.380389393093	0.0	0.0	0.0	0.0
mix_50	0.0	0.542850845153	0.457149154847	0.0	0.0	0.0	0.0
mix_51	0.0	0.607075033899	0.392924966101	0.0	0.0	0.0	0.0
mix_52	0.0	0.624433786797	0.375566213203	0.0	0.0	0.0	0.0
mix_53	0.0	0.643588452289	0.356411547711	0.0	0.0	0.0	0.0
mix_54	0.0	0.602996568602	0.397003431398	0.0	0.0	0.0	0.0
mix_55	0.0	0.608246660255	0.391753339745	0.0	0.0	0.0	0.0
mix_56	0.0	0.664617646407	0.335382353593	0.0	0.0	0.0	0.0
mix_57	0.0	0.60603704207	0.39396295793	0.0	0.0	0.0	0.0
mix_58	0.0	0.498912404746	0.501087595254	0.0	0.0	0.0	0.0
mix_59	0.0	0.622573979151	0.377426020849	0.0	0.0	0.0	0.0
mix_60	0.0	0.65240272826	0.34759727174	0.0	0.0	0.0	0.0
mix_61	0.0	0.476472529471	0.523527470529	0.0	0.0	0.0	0.0
mix_62	0.0	0.498997588034	0.501002411966	0.0	0.0	0.0	0.0
mix_63	0.0	0.544461255871	0.455538744129	0.0	0.0	0.0	0.0
mix_64	0.0957471497473	0.499147285148	0.405105565105	0.0	0.0	0.0	0.0
mix_65	0.0	0.584197675198	0.415802324802	0.0	0.0	0.0	0.0
mix_66	0.0	0.423090092131	0.576909907869	0.0	0.0	0.0	0.0
mix_67	0.0	0.486075839981	0.513924160019	0.0	0.0	0.0	0.0
mix_68	0.0	0.567678869824	0.432321130176	0.0	0.0	0.0	0.0
mix_69	0.0	0.586846476674	0.413153523326	0.0	0.0	0.0	0.0
mix_70	0.0	0.570631862749	0.429368137251	0.0	0.0	0.0	0.0
mix_71	0.0	0.489730043587	0.510269956413	0.0	0.0	0.0	0.0
mix_72	0.0	0.457048194941	0.542951805059	0.0	0.0	0.0	0.0
mix_73	0.0	0.484226248839	0.515773751161	0.0	0.0	0.0	0.0
mix_74	0.0	0.71737122374	0.28262877626	0.0	0.0	0.0	0.0
mix_75	0.0	0.672083720024	0.327916279976	0.0	0.0	0.0	0.0
mix_76	0.0	0.419249371327	0.580750628673	0.0	0.0	0.0	0.0
mix_77	0.0	0.570733550992	0.429266449008	0.0	0.0	0.0	0.0
mix_78	0.0	0.581668942753	0.418331057247	0.0	0.0	0.0	0.0
mix_79	0.0	0.542507548256	0.457492451744	0.0	0.0	0.0	0.0
mix_80	0.0	0.719080215024	0.280919784976	0.0	0.0	0.0	0.0
mix_81	0.0	0.453250761884	0.546749238116	0.0	0.0	0.0	0.0
mix_82	0.0	0.37464419884	0.62535580116	0.0	0.0	0.0	0.0
mix_83	0.0	0.61146216439	0.38853783561	0.0	0.0	0.0	0.0
mix_84	0.0	0.461200798014	0.538799201986	0.0	0.0	0.0	0.0
mix_85	0.0	0.519615347288	0.480384652712	0.0	0.0	0.0	0.0
mix_86	0.0	0.490893437108	0.509106562892	0.0	0.0	0.0	0.0
mix_87	0.0	0.745896663677	0.254103336323	0.0	0.0	0.0	0.0
mix_88	0.0	0.643438320181	0.356561679819	0.0	0.0	0.0	0.0
mix_89	0.0899470733809	0.522352401625	0.387700524994	0.0	0.0	0.0	0.0
mix_90	0.0	0.660351228923	0.339648771077	0.0	0.0	0.0	0.0
mix_91	0.0	0.536416858882	0.463583141118	0.0	0.0	0.0	0.0
mix_92	0.0	0.58854951062	0.41145048938	0.0	0.0	0.0	0.0
mix_93	0.0	0.44886267303	0.55113732697	0.0	0.0	0.0	0.0
mix_94	0.0	0.505108517587	0.494891482413	0.0	0.0	0.0	0.0
mix_95	0.0	0.60422478149	0.39577521851	0.0	0.0	0.0	0.0
mix_96	0.0	0.604307832261	0.395692167739	0.0	0.0	0.0	0.0
mix_97	0.0	0.688450351627	0.311549648373	0.0	0.0	0.0	0.0
mix_98	0.0	0.671304817043	0.328695182957	0.0	0.0	0.0	0.0
mix_99	0.112518645133	0.453641356678	0.433839998189	0.0	0.0	0.0	0.0
mix_100	0.0	0.53644211639	0.46355788361	0.0	0.0	0.0	0.0
