B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.00181420737491	0.501794622514	0.496391170111	0.0	0.0	0.0	0.0
mix_2	0.000987520142697	0.555135372777	0.443877107081	0.0	0.0	0.0	0.0
mix_3	0.0325717569146	0.704679894779	0.262748348307	0.0	0.0	0.0	0.0
mix_4	0.0062492895674	0.69640183705	0.297348873383	0.0	0.0	0.0	0.0
mix_5	0.00666232719876	0.590890943516	0.402446729285	0.0	0.0	0.0	0.0
mix_6	0.000647029501285	0.641712917127	0.357640053371	0.0	0.0	0.0	0.0
mix_7	5.23077512051e-05	0.666333069413	0.333614622835	0.0	0.0	0.0	0.0
mix_8	0.00882798913598	0.592160388056	0.399011622808	0.0	0.0	0.0	0.0
mix_9	0.0118353653562	0.621063609091	0.367101025553	0.0	0.0	0.0	0.0
mix_10	0.0466880301835	0.822133038889	0.131178930928	0.0	0.0	0.0	0.0
mix_11	0.005940197542	0.585341951388	0.40871785107	0.0	0.0	0.0	0.0
mix_12	0.0	0.691177727607	0.308822272393	0.0	0.0	0.0	0.0
mix_13	0.0	0.793968213244	0.206031786756	0.0	0.0	0.0	0.0
mix_14	0.0153014514795	0.71451921664	0.27017933188	0.0	0.0	0.0	0.0
mix_15	0.0	0.648534301919	0.351465698081	0.0	0.0	0.0	0.0
mix_16	0.0226918943779	0.658359653336	0.318948452286	0.0	0.0	0.0	0.0
mix_17	0.0250950967415	0.745429859837	0.229475043422	0.0	0.0	0.0	0.0
mix_18	0.0203749355245	0.944824300429	0.034800764046	0.0	0.0	0.0	0.0
mix_19	0.0330909390307	0.619589092911	0.347319968059	0.0	0.0	0.0	0.0
mix_20	0.0110313238141	0.69555080827	0.293417867916	0.0	0.0	0.0	0.0
mix_21	0.000191046886321	0.877446825496	0.122362127618	0.0	0.0	0.0	0.0
mix_22	0.0022676666822	0.617257180655	0.380475152662	0.0	0.0	0.0	0.0
mix_23	0.0169135843751	0.630529032164	0.352557383461	0.0	0.0	0.0	0.0
mix_24	0.00515901669447	0.681182783023	0.313658200283	0.0	0.0	0.0	0.0
mix_25	0.014011693591	0.66404282233	0.321945484079	0.0	0.0	0.0	0.0
mix_26	0.0	0.971098595592	0.0289014044085	0.0	0.0	0.0	0.0
mix_27	0.0135641934924	0.587872526741	0.398563279767	0.0	0.0	0.0	0.0
mix_28	0.0022832200229	0.689914024555	0.307802755422	0.0	0.0	0.0	0.0
mix_29	0.0	0.591608406976	0.408391593024	0.0	0.0	0.0	0.0
mix_30	0.0053555863591	0.692288151898	0.302356261743	0.0	0.0	0.0	0.0
mix_31	0.000468292203373	0.721393668807	0.27813803899	0.0	0.0	0.0	0.0
mix_32	0.0141494872803	0.753757368323	0.232093144397	0.0	0.0	0.0	0.0
mix_33	0.0113371119791	0.824555699989	0.164107188032	0.0	0.0	0.0	0.0
mix_34	0.0361161779051	0.928088945089	0.0357948770054	0.0	0.0	0.0	0.0
mix_35	0.00840560441907	0.665880875608	0.325713519973	0.0	0.0	0.0	0.0
mix_36	0.0341176274087	0.648223410385	0.317658962207	0.0	0.0	0.0	0.0
mix_37	0.000574760137007	0.726187201218	0.273238038645	0.0	0.0	0.0	0.0
mix_38	0.00134908859855	0.626621629255	0.372029282147	0.0	0.0	0.0	0.0
mix_39	0.0186404615559	0.638383917036	0.342975621409	0.0	0.0	0.0	0.0
mix_40	0.0	0.751638885178	0.248361114822	0.0	0.0	0.0	0.0
mix_41	0.00766362893397	0.855223449144	0.137112921922	0.0	0.0	0.0	0.0
mix_42	0.0390423332439	0.830808122794	0.130149543962	0.0	0.0	0.0	0.0
mix_43	0.0270934366736	0.935487705072	0.0374188582545	0.0	0.0	0.0	0.0
mix_44	0.0257244404428	0.62815479451	0.346120765047	0.0	0.0	0.0	0.0
mix_45	0.0	0.65162739095	0.34837260905	0.0	0.0	0.0	0.0
mix_46	0.0	0.763138450332	0.236861549668	0.0	0.0	0.0	0.0
mix_47	0.348542970448	0.539434957051	0.112022072501	0.0	0.0	0.0	0.0
mix_48	0.00178046736766	0.941161755182	0.0570577774501	0.0	0.0	0.0	0.0
mix_49	6.40962778613e-05	0.692137910275	0.307797993447	0.0	0.0	0.0	0.0
mix_50	0.0071746893961	0.653735219005	0.339090091599	0.0	0.0	0.0	0.0
mix_51	0.0287424292308	0.960148641221	0.0111089295484	0.0	0.0	0.0	0.0
mix_52	0.027173228131	0.806877110335	0.165949661533	0.0	0.0	0.0	0.0
mix_53	0.0730659594641	0.770723909742	0.156210130794	0.0	0.0	0.0	0.0
mix_54	0.00950241186512	0.746325778312	0.244171809823	0.0	0.0	0.0	0.0
mix_55	0.0	0.959252673115	0.0407473268847	0.0	0.0	0.0	0.0
mix_56	0.0	0.708735653087	0.291264346913	0.0	0.0	0.0	0.0
mix_57	0.00392544099668	0.647345973245	0.348728585759	0.0	0.0	0.0	0.0
mix_58	0.0	0.651130314577	0.348869685423	0.0	0.0	0.0	0.0
mix_59	0.0579681056393	0.788768932238	0.153262962123	0.0	0.0	0.0	0.0
mix_60	0.00655084776768	0.824506622974	0.168942529259	0.0	0.0	0.0	0.0
mix_61	0.00187822044096	0.658189582894	0.339932196666	0.0	0.0	0.0	0.0
mix_62	0.0	0.684792450769	0.315207549231	0.0	0.0	0.0	0.0
mix_63	0.0	0.700403421581	0.299596578419	0.0	0.0	0.0	0.0
mix_64	0.157300029011	0.592206309502	0.250493661487	0.0	0.0	0.0	0.0
mix_65	0.0224652903405	0.772438610005	0.205096099654	0.0	0.0	0.0	0.0
mix_66	0.0280744500453	0.640468231505	0.331457318449	0.0	0.0	0.0	0.0
mix_67	0.0169261184278	0.531012322195	0.452061559377	0.0	0.0	0.0	0.0
mix_68	0.0107270757012	0.73362385784	0.255649066458	0.0	0.0	0.0	0.0
mix_69	0.0175462447287	0.704250110674	0.278203644598	0.0	0.0	0.0	0.0
mix_70	0.0	0.872483738173	0.127516261827	0.0	0.0	0.0	0.0
mix_71	0.0	0.669878080684	0.330121919316	0.0	0.0	0.0	0.0
mix_72	0.00350735352687	0.655634493747	0.340858152726	0.0	0.0	0.0	0.0
