B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	2.31436269634e-16	0.99991682497	8.31750295259e-05	0.0	0.0
Mix_2	2.49331955262e-11	0.999999945793	5.41817000293e-08	0.0	0.0
Mix_3	2.60957249481e-17	0.9986380181	0.00136198189998	0.0	0.0
Mix_4	1.73318750932e-15	0.999997313515	2.68648526212e-06	0.0	0.0
Mix_5	0.996230969175	0.00234878381107	0.00142024701381	0.0	0.0
Mix_6	7.39897202373e-09	0.999857596081	0.000142396520049	0.0	0.0
Mix_7	6.85185751094e-22	1.0	5.55138014724e-15	0.0	0.0
Mix_8	3.96283451667e-15	1.0	2.40755396529e-14	0.0	0.0
Mix_9	5.24718397163e-10	0.999954616777	4.53826979706e-05	0.0	0.0
Mix_10	0.00110802031992	0.996981828354	0.00191015132621	0.0	0.0
Mix_11	1.16923901541e-16	0.999999999992	8.18013591235e-12	0.0	0.0
Mix_12	3.35155106889e-20	0.999938567678	6.1432321946e-05	0.0	0.0
Mix_13	0.000187698915535	0.999811540787	7.60297592323e-07	0.0	0.0
Mix_14	3.92366433516e-23	0.99999973215	2.67849829514e-07	0.0	0.0
Mix_15	4.53903423343e-23	1.0	1.4112037243e-14	0.0	0.0
Mix_16	4.77421012115e-15	0.999999999998	2.23355579272e-12	0.0	0.0
Mix_17	6.12146452512e-19	0.999999999996	3.95378712861e-12	0.0	0.0
Mix_18	2.4597097266e-23	1.0	6.84476142993e-17	0.0	0.0
Mix_19	9.84865500518e-19	0.999417085323	0.000582914676608	0.0	0.0
Mix_20	2.19028752332e-10	0.999999929838	6.99425375112e-08	0.0	0.0
Mix_21	7.0067251363e-10	0.999999995583	3.71634883242e-09	0.0	0.0
Mix_22	5.29731502036e-16	0.997787002508	0.00221299749217	0.0	0.0
Mix_23	5.83282011792e-07	0.999999416667	5.13390449925e-11	0.0	0.0
Mix_24	0.0	1.0	7.88437789521e-19	0.0	0.0
Mix_25	1.650774888e-05	0.999982957426	5.34824845058e-07	0.0	0.0
Mix_26	9.10522522036e-19	1.0	7.46362895046e-15	0.0	0.0
Mix_27	1.00045632288e-06	0.999998998587	9.56614314886e-10	0.0	0.0
Mix_28	6.3441636682e-13	0.999999761521	2.38478713744e-07	0.0	0.0
Mix_29	5.6801741104e-11	0.999999999008	9.35133776819e-10	0.0	0.0
Mix_30	1.34482339561e-10	0.998237317394	0.001762682472	0.0	0.0
Mix_31	7.17665951501e-11	0.999999731239	2.6868941274e-07	0.0	0.0
Mix_32	1.47339399929e-23	1.0	1.47117306356e-17	0.0	0.0
Mix_33	1.2190443704e-24	1.0	1.78113300342e-13	0.0	0.0
Mix_34	5.68956585738e-10	0.99316077787	0.00683922156108	0.0	0.0
Mix_35	6.28731774635e-15	0.99999995931	4.06897300867e-08	0.0	0.0
Mix_36	2.58323397835e-11	0.999999915968	8.40060963688e-08	0.0	0.0
Mix_37	7.18295276413e-20	0.999989890249	1.01097506813e-05	0.0	0.0
Mix_38	9.83395417861e-24	0.999999983106	1.6893661567e-08	0.0	0.0
Mix_39	2.85646084111e-08	0.999999967574	3.86101242829e-09	0.0	0.0
Mix_40	2.63199735259e-12	0.990891348251	0.00910865174678	0.0	0.0
