Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
A	0.129478763420793	0.558615601069452	0.0770163936371168	0.0146898210509277	0	0.22019942082171	9999	0.643838830818125	0.814397236230696
B	0.148143593798217	0.56721300024418	0.0794034799416931	0.00544555514508427	0.000355310586801871	0.199439060284023	9999	0.647283958561824	0.81098316821246
C	0.0163785646504711	0.794046005982613	0.111004737634593	0.0172195341489778	0.00193703541491557	0.059414122168429	9999	0.662740057836634	0.806225802345595
D	0.0157837927496934	0.793838842312575	0.111497967267975	0.0193867795240798	0	0.0594926181456768	9999	0.680539267382868	0.784783883964901
E	0.0138101948909801	0.685440600493943	0.183906156497073	0.0153661310720876	0.00456967961097785	0.0969072374349386	9999	0.655656442872566	0.810683181654435
F	0.0083558555799209	0.588393183303414	0.184585420584085	0.0219029224161627	0	0.196762618116418	9999	0.603429651089304	0.863435041935897
G	0.172264796435435	0.463809653307487	0.0240838010776981	0	0.00217837637936578	0.337663372800014	9999	0.583211681475505	0.87619783703701
H	0.219906475631356	0.294511220849893	0.0846619688615266	0.00540583670673717	0.0017352626619091	0.393779235288578	9999	0.618252454282214	0.836942804673829
I	0.239990406626718	0.295046125824142	0.0652807769647166	0.00679116430090606	0.00284657063521241	0.390044955648304	9999	0.612356725502041	0.842940564875008
J	0.0116849928257437	0.747513889067084	0.209081570529624	0.0219754160831233	0	0.0097441314944244	9999	0.669711391284733	0.801018804782101
K	0	0.677121709277346	0.265628576205541	0.030316962889736	0.000321986380491592	0.0266107652468852	9999	0.670417064692721	0.798131359467218
L	0	0.750919387593541	0.146876411729689	0.0347978762336713	0.000337342165610835	0.0670689822774882	9999	0.674512034684428	0.791075257158033
