Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
mix_1	0.0430142698123401	0	0.583425313948447	0.012983763932182	0.0177058543756473	0	0.0106178104111983	0.079209103182983	0.00757149776572289	0.224684650677543	0	0	0	0	0.00394923635657279	0.00617325939210412	0.000431350273039325	0	0	0	0.01023388987222	0	9999	0.727718450251895	0.699833897848064
mix_2	0.01776459059654	0	0.697703684053825	0	0.0253028765694527	0	0.0347752850866581	0.0154918874895582	0	0.166920418223777	0	0	0	0	0.0115702121079627	0.00635838253495969	0.0028631362863822	0.00576922876517108	0.00245522933186875	0	0.0130250689538446	0	9999	0.757877525620841	0.66168566757232
mix_3	0.164954729435248	0	0.184256993380081	0	0.0171227260577761	0	0.161560937404305	0.189862254524892	0.0184883581984411	0.190047249934594	0.00148187703800064	0	0	0	0	0.0244535764027042	0.00494222671372871	0.0242474196141424	0.000836954582628131	0	0.0177446967134591	0	9999	0.75945149870208	0.681069829387281
mix_4	0.20966019819121	0	0.290536248071427	0	0.0239609175820504	0	0.0753191409063014	0.0662395218405267	0.000645113266574652	0.237490642835446	0	0	0.00910868234407633	0	0	0.0345157323606737	0.00838462759467975	0	0.0299626023260942	0	0.0141765726809392	0	9999	0.742320347770286	0.70255423246525
mix_5	0.165641390532316	0	0.276801023505401	0	0.0483211754058042	0	0.0393802513058152	0.0663421786929038	0	0.356321882329186	0	0	0.00663211849596077	0	0	0.021339707477935	0.00937052903082883	0	0	0	0.00984974322384974	0	9999	0.722296753488722	0.71273308160405
mix_6	0.135548448271978	0	0.412356705838575	0	0.0269141738784832	0	0.0561920499018531	0.0765086718438494	0	0.235241310577833	0	0	0.00401156474646414	0	0.00247185664845778	0.0217444930268841	0.00211611264230075	0	0.0133149205154576	0	0.0135796921078639	0	9999	0.737177501306278	0.706442549669914
mix_7	0.25564793623026	0	0.218790530395194	0	0.0363477130581183	0	0.0235470054801679	0.103848959732399	0	0.284111933546829	0	0	0.0115720753952468	0	0	0.0408013426352802	0.0107715033487614	0	0.00167890841315114	0	0.0128820917645927	0	9999	0.750522509587776	0.689779202501392
mix_8	0.232131817257568	0	0.465989332138977	0	0	0	0.0386928882064487	0.0764668191508401	0	0.109859338460074	0	0	0.00618308289425325	0	0.00260914551123265	0.0285295827737908	0.00765249620833497	0.0154712375143475	0	0	0.0164142598841328	0	9999	0.766442322175195	0.677202805535524
mix_9	0.0566122874768901	0	0.460783619181217	0.00740937995859779	0.0232378762658512	0	0.0448454786461197	0.0895027929896117	0.0121947577700003	0.277477639319625	0	0	0.0022449593770167	0	0.0010325765701919	0.00925529298272433	0	0	0	0	0.0154033394621543	0	9999	0.704792549645664	0.725704247859578
mix_10	0.262769183296788	0	0.286877023778933	0	0	0	0.0602525234115213	0.0954660980224543	0.00395695916066089	0.195114428454247	0	0	0.00202919092281276	0	0.00507242510123639	0.0670287998453037	0.00173249919528829	0.00822710184638232	0	0	0.0114737669643717	0	9999	0.769014797094106	0.677945551299096
mix_11	0.0344476994735868	0.00386139380374367	0.653360376426171	0	0.023065718521802	0	0.053197485015607	0.0414666062426679	0	0.147004728566534	0	0	0	0	0.0101931500056071	0.0116451640824653	6.3279053236602e-05	0.00176832680494604	0.00377333558716133	0	0.016152736416471	0	9999	0.746454798769295	0.677880257102811
mix_12	0.00926244947571289	0.00311314383637014	0.559914875572171	0	0.0318559966335488	0	0.0912789098845699	0.0370985210319418	0	0.226631941683425	0	0	0	0	0.00671926800211729	0.00493605669126991	0.00663002873938799	0.00898645676725778	0	0	0.0135723516822274	0	9999	0.741667967087486	0.688701289887741
mix_13	0.325670151418375	0	0.21903252448001	0	0.0470192263458557	0	0	0.11660515600239	0	0.204035702844895	0	0	0.00501041069683747	0	0	0.0515583275373082	0.0178043917015422	0	0	0	0.0132641089727865	0	9999	0.765373186872889	0.672611079716092
mix_14	0.306301557701269	0	0.232550030207266	0	0.0204520794030669	0	0.0327881303048505	0.053569312766926	0.0184624480230997	0.198378513538533	0	0	0.0115732457730344	0.00613093448347668	0	0.0622387611051411	0.018384862457102	0.0158587553942781	0	0	0.0233113688419571	0	9999	0.780986038436373	0.666529176320235
mix_15	0.267183100309642	0	0.129589745805571	0.0824965129215314	0.0403150967639912	0	0	0.0853361618451675	0.0130913922407238	0.30098681474834	0.00204030344399928	0	0	0.0046795458070141	0	0.0442783475682215	0.00861301688991939	0	0.00723662844485033	0	0.0141533332110287	0	9999	0.713050483700541	0.712767476667201
mix_16	0.193299614635163	0	0.2795999719927	0	0.00623588792234608	0	0.125384442160731	0.0974726127155632	0.00667077734444942	0.231624713012737	0	0	0.00699904253269067	0	0	0.0210169823059583	0.00476748927498364	0	0.014076353535343	0	0.0128521125673348	0	9999	0.749771758422876	0.695508038967058
mix_17	0.417612596399726	0	0.0468902726227432	0	0.0185255768872348	0	0.0731754407035028	0.0553773580281994	0.0164199453027446	0.236038772310539	0.0115108908848411	0	0	0.00669370878070686	0	0.0787788045393265	0.00967048460816061	0.0226169580083756	0	0	0.00668919092389973	0	9999	0.810766578267928	0.604065552274742
mix_18	0.0272715579476139	0.0142875842919593	0.712338016091169	0	0	0	0.0456636015975341	0.0183881550418655	0.0137104868523707	0.129751323151974	0	0	0.00419620974818754	0	0	0.0141699552289859	0	0.00278592032282204	0	0	0.017437189725518	0	9999	0.763619331396782	0.655357736264168
mix_19	0.200269383514288	0	0.388812290223524	0	0.0198694613442105	0	0.0375272552747016	0.0694696514229285	0.0046154837198221	0.22323490099657	0	0	0.004901865261738	0	0.001916468686679	0.0292816495267643	0.00658673658285702	0	0	0	0.0135148534459171	0	9999	0.752246834298844	0.695612391760374
mix_20	0.0985152619621334	0	0.0528592103769547	0	0.0452582844607242	0	0.162026180652512	0.104648829721817	0.00982003997712699	0.468921306696587	0.00265116020677573	0	0	0.00461408300510141	0	0.0176079687428575	0.0072097391660224	0.0169915215941187	0	0	0.00887641343726775	0	9999	0.745183725574328	0.669743904509278
mix_21	0.233103452868997	0	0.232750892415006	0	0.0147234714870195	0	0.0887651465264527	0.106461050296384	0.00635750049804226	0.259244732171669	0	0	0.0086986733909602	0	0	0.0393737917644342	0	0	0	0	0.0105212885810357	0	9999	0.75788908621023	0.685747900440611
mix_22	0.22605633654912	0	0.350044608241171	0.00830254165990589	0.0282650333760621	0	0	0.0853441109986925	0.002603917063024	0.227129720415518	0	0	0.00872490408420233	0	0	0.0374122988200645	0.00970787900568501	0	0.0024296344530258	0	0.0139790153335285	0	9999	0.73192152542767	0.710614408368709
mix_23	0.256846979860317	0	0.402082731095194	0	0	0	0.0565633878915983	0.108735640785316	0.00489659441128735	0.113695374493428	0	0	0.00315142385176625	0	0.00158825075882993	0.0321196603483797	0.00215811618514586	0.00183186616141445	0	0	0.0163299741573226	0	9999	0.765219620834058	0.680895059661448
mix_24	0.00473177804713435	0.00285428946218611	0.755271983636899	0.0232431700436792	0.0127423750914744	0	0.00480522889137757	0.0372291279724264	0.00958868827897903	0.115869455462374	0	0	0.00043542496323374	0	0.00961735250400938	0.006864632040629	0	0	0.000414020674376808	0	0.016332472931221	0	9999	0.766172976573272	0.647946925180804
mix_25	0.0499767290898797	0	0.45945953166525	0	0.00386186069875803	0	0.159829502457878	0.0986455006572409	0	0.185741587266485	0	0	0	0	0.00600301283710761	0.00717422405659634	0	0.0177856387198032	0	0	0.0115224125510008	0	9999	0.745430805425203	0.693367210209761
mix_26	0.00736489297921959	0.0471691472710481	0.0642645876854861	0.0558304492874745	0.0967640634209224	0.00609362436838064	0.110932544534956	0.195895219449934	0	0.342048649836458	0.0108727615519382	0	0	0.0195175781317102	0	0.0187771679065104	0	0.00734682837560383	0	0.00847004799446145	0.00865243720589676	0	9999	0.69182843937891	0.722707441895155
mix_27	0.253381636318229	0	0.462410001495145	0.0653754781241135	0	0	0	0.0697910755201046	0.00556891404452452	0.0737074641339331	0	0	0.00773300810763433	0	0	0.0305761966518955	0.00861983627472273	0	0.00765738873224299	0	0.0151790005974554	0	9999	0.740256152719848	0.697505328233409
