Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
A	0	0	0	0	0	1.31901164052363	4.10620843637129	3.98439267773606	0	0	0	0	0	0	0	0	4.61498329435871	0	0	0.931216725785541	4.61131259713068	0	0	0	3.12696918400931	0	4.3750830688475	0	0	0	0	0	0	0
B	0.185306206471483	0	0	0	0	0	2.81136248692334	0	0	0	0	0	0	3.14104024986719	3.28703963896621	0	1.47986349734083	0	0	0	4.32718451663387	0	0	0	5.88487912610276	0	3.18855435724729	0	0	4.31265398770407	0	0	0	0
C	2.31848681687185	0	0	0	0	7.3549780444437	7.35636881423808	11.8973805002313	1.42196649634547	11.3580640536765	7.52071680553535	0	0	4.96449628879609	0	2.22303452820425	6.34693091606772	0	0	5.16428633930997	7.6340958230702	0	4.49626584545083	9.82960311788551	5.48906985274123	5.22137007193605	8.28363764603833	6.84024007956219	0	8.48863510292258	9.66626825964883	0	0	0
D	0	0	0	0	0	0	3.97384838720437	0	0	0	0.00462521170519774	0	0	0	0	0	4.76899826847313	0	0	0.120697137004809	0	0	0	0	0	0	0.211742571680323	0	0	0	0	6.07855833828215	0	0
E	5.67543741744827	0	0	0	0	0	0	0	0	0	0	0	0	2.56006543805515	2.1652836609092	0	0	0	0	0	0	0	0	0	0.124779587196393	0	0	0.0352973305777354	0	0	0	1.93147035965908	0	0
F	0	0	0	0	0	1.96506079016565	3.17093398781987	0	0	0	0	0	0	1.61934018034437	0	0	1.66191220697156	0	0	0	3.79966465011686	0	0	0	2.64871955438729	0	3.3263345781603	3.21951780520383	0	1.98987418363404	0.104716462312642	0	0	0
G	0	10.4167379678471	7.71196601454817	7.33846572859601	11.6451020966685	0	0	0	0	0	0	0	0	0	0	0	0	5.31686838963577	24.1294174111543	0	0	0	0	0	0	0	0	0	0	0	0	0.171557432418465	12.746529079186	11.9442827999982
H	4.11804406219868	0	0	4.09427674193898	0	6.78584339550471	7.54393983196854	10.0139966515522	0.0266315605960504	1.32577714067756	0	4.17077805189263	17.4660996031253	7.9582237602788	12.2875170878195	11.7964883805832	4.86581425334623	4.34567079596492	0	7.89946484346043	4.81319373262454	7.74340038004048	9.10444445023275	3.0367999305749	12.9703676713219	0.25727405623849	8.99297186970523	0	14.1173392873085	6.47291247692143	0	0	0	0
I	5.39902297900645	0	1.53907661315665	5.95410193991985	0	14.8297680516702	9.8725404261801	12.1170934739637	15.5503460652365	15.7830261330487	13.4521763197477	8.09073468246622	0	12.4283914458514	14.0553730971263	17.7560039293464	1.9074890012399	5.32726345091643	0.28283401518233	14.8248403993955	11.7667440286482	14.194568928601	13.5452334243802	11.4490169016369	12.0636062507327	15.3336446921584	13.4918381123918	14.2819670532246	12.8738890710535	19.6442669236836	13.2106901020205	5.78739266871304	0	0
J	7.32077423446062	0	0	0	0	3.32843363812076	5.35271797176906	3.41166184460772	0.618757044673139	6.13329658288421	6.3090411984592	12.5264323521665	0	7.40408052046207	7.68919623415423	0	4.23615960161365	0	-11.2060899988107	7.01189772960661	6.48568113488891	2.80794488654591	9.34461503296485	7.22832663493971	6.5375128284903	9.05541536920431	6.43873083813057	8.58406136092296	6.45782472735817	6.39979301625366	7.79042112346638	1.07053056261366	0	0
K	0	0	0	0	0	0	0	0	0	0	1.78150688121148	0	0	0	0.107473425207116	0	4.51463292743337	0	-0.629893527583798	0	0	0	0	0	0	0	0	0	0	2.8949957232852	0	0	0	0
L	2.05559455876663	0	1.68317680837412	0	0	0	4.92352147492021	0	0	0	0	0	2.82891882987252	0	0	0	0	0	0	0	3.30228013295023	0	0.63311959878586	1.31305050810862	1.30993161001214	0	1.25114181347907	0	0	0	0	3.7000461544481	0	0
