Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
A	3.34391357916257	2.86506104942142	2.65268812047439	2.50653024670222	2.10983285247035	4.94190624379572
B	3.47047898233136	2.99079275681262	2.76561758369772	2.53928731933262	2.63167573778002	4.88413519076931
C	2.59607220737493	3.36561256327306	2.68422394615223	1.69345956606451	1.31559236202936	0
D	2.50432910230654	3.30707344709506	2.67344840583045	1.72630908712583	1.29571763234385	0
E	2.53972885774313	3.14208069824037	3.06539793173726	1.85316994729224	1.98813451656957	0.113935496684856
F	1.90599051496315	2.27585398419374	2.81799045269201	1.78788523501042	1.47857905713741	1.47713466326647
G	2.64542728414132	1.94224795356896	1.68856191842247	2.54585659933303	2.56548208058205	6.40900833709598
H	3.42948551578864	2.64264689049299	2.16699478673806	3.21039523692542	3.75474889529524	8.6905104910366
I	3.30540266203419	2.41785957291602	1.91909941809041	3.13867588777311	3.10300362223738	8.55816581837317
J	2.85626040847163	3.87445314661846	2.78185153527887	1.90070424427515	1.51320821031973	0
K	2.73173150170704	3.61887786758059	3.39452848011377	1.83162178836539	1.68102147231704	0
L	2.5894946204409	3.84797156172923	2.92361963413124	2.25539320377706	2.22612517541879	0
