B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_1	0.000141662570638871	0.00258738405476515	0.00218896702670828	0	0.00233569954929537	0	0
mix_2	0	0.00313265733204558	0.00235366272049856	0	0.00381097966742318	0	0
mix_3	0.00160030457379925	0	0	0.00191481023502623	0	0.00215529576415419	0.00203468974215721
mix_4	0.00135528397300513	0.000138253538994989	0.000709394526655459	0.00128523325278133	0	0.00124339721198299	0.00131456896078619
mix_5	0.00148289197828476	0	0.000744740491086094	0.00176783062366273	0	0.00163792481493945	0.0016798347202563
mix_6	0.000734447520566038	0.00100751595378552	0.00114607641208658	0.00055216341128106	0	0.000412127902412798	0.000560841231269844
mix_7	0.00123727510723289	0	0	0.00124815966652928	0	0.00121290197207768	0.00126979799692747
mix_8	0.000446503744342888	0.00131062264646504	0.00108952505684945	0	0	0	0
mix_9	0.000746371038496497	0.00138575114044267	0.00154761673603411	0.000830406732164378	0	0.00043965273039908	0.000647960452360971
mix_10	0.00105357129880508	0	0	0.000546961803147471	0	0.000751674101440573	0.000810684428842985
mix_11	0	0.00305335021630474	0.00225572003576616	0	0.00330504910572013	0	0
mix_12	0.000177366141413924	0.00196688093708846	0.00161376731580196	0	0.000799503372934056	0	0
mix_13	0.00108177780062314	0	0	0.000890184272415039	0	0.000780621121486864	0.000855943703932805
mix_14	0.00100231197380434	0	0	0.000516475231543009	0	0.000685707562559408	0.000731527572444645
mix_15	0.00129012781067919	0	0	0.00186147395488605	0	0.00148563229042434	0.00148311361093639
mix_16	0.00112741373638118	0	5.91206532913685e-05	0.00114993920117992	0	0.00128405805470397	0.00127801988757182
mix_17	0.00180894595932936	0	0	0.00154093223362171	0	0.00193280884314378	0.00175093548382761
mix_18	0	0.0032431338803043	0.00239941094760174	0	0.00395218913046805	0	0
mix_19	0.000773041557229313	0.000832863055640896	0.000967518435018997	0.000344840034242547	0	0.000238766643551557	0.000398712030503545
mix_20	0.00173610224729352	0	0	0.0026644635470751	0	0.0028397777232254	0.00263860721562823
mix_21	0.00122834427163438	0	0	0.00114768108520439	0	0.00128925835937713	0.00131005648583699
mix_22	0.00120745652384904	0.000880974140856159	0.00125552114542145	0.00102132226814851	0	0.000676413807108607	0.000859926788350903
mix_23	0.00103103985450729	0.00058682858120426	0.000873314463986375	0.000404372005857437	0	0.000401281120775951	0.000558937945742436
mix_24	0	0.00357031626971855	0.00277246401653752	0	0.00492463914334311	0	0
mix_25	0.00104035891696906	0.000931334167039723	0.00112054841760687	0.000885570141033836	0	0.0009296573153631	0.00107102397474384
mix_26	0.00151299497723473	0	0	0.00294873035307443	0	0.00268460224926718	0.00257049808149036
mix_27	0	0.00249538488729662	0.00191473470077071	0	0.00279308079830184	0	0
mix_28	0.00171448371734367	0	0	0.00244822948810357	0	0.00260363884239288	0.00243075088118273
mix_29	0.000911430542370326	0.000938749683113142	0.0011885893543511	0.000840606388964268	0	0.00064420693881572	0.000804747099824631
mix_30	0.000969259562431777	0.000686830419919072	0.000994499973755787	0.000762902720687305	0	0.000674941940689925	0.000801268275313119
mix_31	0.000897933419428047	0.000966036009601546	0.00113491419937744	0.000623938716017175	0	0.000566952087592041	0.000736785168298898
mix_32	0.0013443620183572	3.93117612611151e-05	0.000655576251019927	0.00143985762152189	0	0.00141450438166685	0.00146270135215513
mix_33	0.000572415785536673	0.00108966137888608	0.00113573203740929	0.000140146849479137	0	0	0.000174803633145699
mix_34	0	0.00273354079748162	0.00217817409388101	0	0.00261710221062289	0	0
mix_35	0.000655382037420024	0.00143909161287756	0.00141422031679732	0.000485740569844426	0	0.000196352047486127	0.000424554916859844
mix_36	0.0012993051391979	0	0	0.00109193530503616	0	0.00121584684432936	0.00124848445049381
mix_37	0.00119667629788309	0	0	0.00094644316809388	0	0.0010959231266819	0.00111073553842728
mix_38	0.00155268337272503	0	0	0.00249715145954973	0	0.00248131534244472	0.00233263774288348
mix_39	0.00141694719728638	0	0	0.00184375772382762	0	0.00164699254425479	0.00162655772955287
mix_40	0.000773898040398673	0.000998431603134564	0.00108941696403647	0.000308537312903894	0	0.000223927162793545	0.000403038557064092
mix_41	2.73510049321004e-05	0.00206464520540588	0.00170690364436826	0	0.00121352413993158	0	0
mix_42	0.00172382061710077	0	0	0.00198666862012332	0	0.00220916413364223	0.00207780740131751
mix_43	0.0014443501537773	4.76514476664448e-05	0.00087540262762226	0.00216595180823734	0	0.00194141090822166	0.00197158226346171
mix_44	0.00123013631506027	0	0.000263770953879772	0.00172894459294921	0	0.00167614956778323	0.00167383063166819
mix_45	0.00119668877839411	0.00071025619157389	0.00100392439229244	0.00116723371424347	0	0.0013048623570555	0.00137666319844132
mix_46	0.00143459833672183	0	0	0.00197831741510211	0	0.00203670490063805	0.00196517634191544
mix_47	0.000807753805894544	0.000971071924633065	0.0010704255126838	0.000322791913072927	0	0.000271813886761315	0.000444328161952149
mix_48	0	0.00282313110986005	0.00214013843291138	0	0.00367412234609733	0	0
mix_49	0.000625951723651102	0.00159954706783964	0.00155325230309754	0.000153614084313915	4.84710863611565e-05	0	2.92822540438419e-05
mix_50	0.00159982035500113	0	0	0.00162541539538445	0	0.00200254576214045	0.00189180720805147
mix_51	0	0.00194828454383305	0.00158047705661762	0	0.00140493997842333	0	0
mix_52	0.00162686284833201	0	0	0.00187028911094807	0	0.00183025402814399	0.00177966963936707
mix_53	0.000514197006420846	0.00163870527952528	0.00155974731932973	0	0.000154891412469948	0	0
mix_54	0.00177069315635791	0	0	0.00199316285427712	0	0.00225104765676694	0.00207251048159804
mix_55	0.000617548016814224	0.00166540387950888	0.00154810650648001	8.26137009922574e-05	5.31188124548522e-05	0	6.12511050791095e-06
mix_56	0.00118015909730797	0	0.000208945634380865	0.00112911634781749	0	0.00137049577345026	0.0013698528903008
mix_57	0.000620244778878083	0.00162298939435943	0.00161286223144446	0.000694014615943197	0	0.000319632768113766	0.000577955758543933
mix_58	0.00114279074133744	0	0.000259436900553486	0.00141034519653646	0	0.00129453838186509	0.00135654875365404
mix_59	0.000169811795168448	0.00191528809545793	0.00163812160307685	1.33848615468971e-06	0.000847236928194069	0	0
mix_60	0.000906401932034999	0	0.000126757578883429	0.000311297098355561	0	0.000460947304316832	0.000581662436678179
mix_61	0.00187288691967547	0	0	0.00222213383800625	0	0.00268654443077794	0.00244765191606381
mix_62	0.00170288334760994	0	0	0.00222192642585888	0	0.00230054895914824	0.00219579840076687
mix_63	0.000473520619941357	0.00171982984378192	0.00157511327364188	0.000296471986527866	0	8.10482624079204e-06	0.000269443192156558
mix_64	0.000559382037786798	0.00114833023794398	0.00104387630323556	0	0	0	4.06795091606756e-05
