Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
mix_1,0.256906179123335,0.204685941774106,0.410539923388493,0.127867955714065,0,0
mix_2,0.273331119662777,0.194188419372905,0.383921757778042,0.129473928286135,0.0190847749001413,0
mix_3,0.228315757446138,0.225538867638722,0.333270978530317,0.12979960275709,0.0830747936277333,0
mix_4,0.244874537972609,0.181334642053318,0.396654319559519,0.13979553538185,0.037340965032705,0
mix_5,0.231562724268691,0.198627820938992,0.380912802960371,0.133861082948517,0.0550355688834288,0
mix_6,0.247316787145941,0.18105943101055,0.401534454194959,0.137279540474281,0.032809787174269,0
mix_7,0.228905831367449,0.205558525937272,0.36122535329547,0.132210035807811,0.0721002535919983,0
mix_8,0.240354080428168,0.202883238078008,0.375987429848205,0.131648359310264,0.0491268923353553,0
mix_9,0.258704399638304,0.173400769260967,0.418321232031558,0.140858604996657,0.00871499407251414,0
mix_10,0.255614740531341,0.211905181047479,0.361734006262551,0.133001274276342,0.037744797882287,0
mix_11,0.263272809780575,0.195702923810878,0.408136978955533,0.132887287453014,0,0
mix_12,0.225909966286532,0.195549735593587,0.382055606346767,0.135825782307102,0.060658909466011,0
mix_13,0.254059679423565,0.182825665068115,0.379784116319455,0.142924078053112,0.0404064611357543,0
mix_14,0.266063868308013,0.192457252130868,0.402125170283624,0.138243235370271,0.00111047390722546,0
mix_15,0.239637871311334,0.195795361923236,0.382621341853398,0.133298068309258,0.0486473566027737,0
mix_16,0.21859045705583,0.211296029505214,0.320496309459172,0.136497956163238,0.113119247816546,0
mix_17,0.212715661868202,0.207587877000732,0.319137963736533,0.139176242363663,0.12138225503087,0
mix_18,0.261122702107953,0.204410249839764,0.350880673738956,0.139746671317573,0.0438397029957543,0
mix_19,0.230166287999868,0.224122306093746,0.341528261826623,0.130620857121597,0.073562286958166,0
mix_20,0.267927720711946,0.181420115740925,0.392607468988178,0.136588428824536,0.021456265734414,0
mix_21,0.22118206433821,0.201189530964487,0.336940059221793,0.138196892412182,0.102491453063327,0
mix_22,0.254972965510728,0.203837803798102,0.404988697174172,0.136200533516997,0,0
mix_23,0.27453684968846,0.18770441783574,0.402263373686231,0.13549535878957,0,0
mix_24,0.227743010272404,0.192496330789286,0.370277174502806,0.134937311696631,0.0745461727388728,0
mix_25,0.264987486865981,0.174117482481257,0.407447787489379,0.140176058857849,0.0132711843055334,0
mix_26,0.221452191919105,0.216996506822912,0.330868841293394,0.134534028103992,0.0961484318605969,0
mix_27,0.265655167338073,0.189238858512596,0.410740176927352,0.13436579722198,0,0
mix_28,0.251703141257566,0.184763714638026,0.391722097726252,0.137069790705509,0.0347412556726469,0
mix_29,0.261050113351295,0.200354622990793,0.407263824032725,0.131331439625188,0,0
mix_30,0.250521211632512,0.182645808606069,0.400662437539441,0.138579254861529,0.0275912873604503,0
mix_31,0.253408287176297,0.200190479221717,0.385317416369106,0.13491133013051,0.0261724871023706,0
mix_32,0.26530476209541,0.194140330535578,0.397543248994031,0.143011658374981,0,0
mix_33,0.251054375879902,0.207891299341427,0.363804066877108,0.135336884202083,0.0419133736994809,0
mix_34,0.249096791192508,0.22782613048769,0.333761707313212,0.131959102598797,0.0573562684077935,0
mix_35,0.242234071798446,0.194721115913503,0.394228595429862,0.136113970297175,0.0327022465610139,0
mix_36,0.241136825164716,0.207892870941405,0.382228042359694,0.132522635043629,0.0362196264905561,0
mix_37,0.222202129364614,0.207881151046559,0.345379740159839,0.134926049554713,0.0896109298742753,0
mix_38,0.237872524566168,0.213244344410849,0.365961218700875,0.128252335808567,0.0546695765135415,0
mix_39,0.253388851832116,0.185448170716157,0.396886993633912,0.1355986642204,0.028677319597415,0
mix_40,0.238804133627256,0.208914433081258,0.379168862542493,0.134387928984258,0.0387246417647355,0
mix_41,0.234661002747527,0.224043957488504,0.341878644329645,0.131279697572744,0.0681366978615796,0
mix_42,0.266699619961506,0.177635073293106,0.386142217558762,0.147907477601303,0.0216156115853236,0
mix_43,0.245251973198361,0.217256335517806,0.339958369326982,0.132023624655271,0.0655096973015802,0
mix_44,0.279750590011996,0.187767275753516,0.397154496607719,0.13532763762677,0,0
mix_45,0.241141010638053,0.198747016488806,0.392798035036336,0.136360844436129,0.0309530934006756,0
mix_46,0.236891655599388,0.22578118828954,0.358779393774423,0.128143507823742,0.0504042545129059,0
mix_47,0.216549306679342,0.210805865592887,0.287052627504846,0.141392817573663,0.144199382649263,0
mix_48,0.266821673854634,0.200050397158433,0.369829949506198,0.138522891604098,0.0247750878766375,0
mix_49,0.25151563067628,0.223243727359008,0.391816529241976,0.133424112722736,0,0
mix_50,0.245551652973518,0.188283711061182,0.401603380563987,0.138118504123325,0.026442751277988,0
mix_51,0.222062477449785,0.218147077762122,0.322722243175688,0.134463855802292,0.102604345810113,0
mix_52,0.241086042701855,0.219431013130814,0.343944485217284,0.130123830783881,0.0654146281661658,0
mix_53,0.274396629548072,0.211903406864479,0.349636075326861,0.132136963486141,0.031926924774448,0
mix_54,0.246358207828869,0.19699066678062,0.375299914602988,0.134916432053596,0.0464347787339263,0
mix_55,0.233993436469809,0.201688331839734,0.345897384813444,0.138278304564828,0.0801425423121854,0
mix_56,0.251061974701249,0.195260992575758,0.392452355605238,0.137193500766614,0.0240311763511418,0
mix_57,0.255781796075959,0.183772181288742,0.412718758937483,0.136285683860197,0.0114415798376195,0
mix_58,0.235126616129038,0.194094850423391,0.38109411123386,0.134418319878425,0.0552661023352867,0
mix_59,0.243717398508517,0.225581339707391,0.339861837748088,0.128087192385752,0.0627522316502522,0
mix_60,0.250719646800671,0.203982493318027,0.362435931860545,0.133051603783799,0.0498103242369582,0
mix_61,0.236142359269961,0.203303050015609,0.376181408589103,0.132889049662277,0.0514841324630496,0
mix_62,0.231556690715118,0.220103289157436,0.350863456175796,0.129537892829116,0.0679386711225347,0
mix_63,0.234447373605788,0.193661399713158,0.38280024340627,0.135931008297805,0.0531599749769804,0
mix_64,0.228139502610255,0.213058050183543,0.299401328383932,0.13572053872853,0.12368058009374,0
mix_65,0.241600917530684,0.224740189219563,0.341700628140852,0.12777699870444,0.0641812664044612,0
mix_66,0.268197963196992,0.21938415539552,0.365778727256555,0.126067840892279,0.0205713132586546,0
mix_67,0.264274465979145,0.20631345802269,0.39652618303988,0.125493090117345,0.00739280284094032,0
mix_68,0.228260515322893,0.204921091585494,0.353046743165213,0.132207104407478,0.0815645455189227,0
mix_69,0.24832525618549,0.18211577872501,0.382128707790129,0.13934397433582,0.0480862829635517,0
mix_70,0.213975856606325,0.211497573143097,0.331832648827213,0.136728902678906,0.105965018744459,0
mix_71,0.239483080241256,0.211100222098258,0.359515459835914,0.129001210441749,0.0609000273828236,0
mix_72,0.231334592197685,0.217439770797432,0.350731609842209,0.129917095707429,0.0705769314552449,0
mix_73,0.202567225804093,0.204447319875396,0.329357586271789,0.138592390728004,0.125035477320718,0
mix_74,0.270976124492286,0.172831044492517,0.411759594368518,0.144433236646679,0,0
mix_75,0.249811436446414,0.200726723413286,0.363125466277194,0.135509332668885,0.0508270411942204,0
mix_76,0.234241985030783,0.21628502452212,0.382100787198645,0.128137810615672,0.0392343926327798,0
mix_77,0.255232601327532,0.19334940826984,0.387764326012409,0.134872759090134,0.0287809053000858,0
mix_78,0.232591637899955,0.202217124160958,0.356818139613735,0.133286922903916,0.0750861754214364,0
mix_79,0.241002726639601,0.226294356134104,0.324261348311623,0.129957593777257,0.0784839751374161,0
mix_80,0.265314845893035,0.218091910297732,0.350466987991378,0.128545758764226,0.037580497053629,0
mix_81,0.279835606565646,0.236399127614666,0.338506849955559,0.125407404086977,0.0198510117771521,0
mix_82,0.190620919597539,0.224698193745027,0.29565931376787,0.142534191798829,0.146487381090735,0
mix_83,0.196846960508174,0.19928868603852,0.336987884333808,0.142719223769688,0.12415724534981,0
mix_84,0.232708406461233,0.205337090039342,0.370460116696363,0.131898011771526,0.0595963750315364,0
mix_85,0.233966645454302,0.226396896100205,0.344749265609984,0.128259019776052,0.0666281730594573,0
mix_86,0.234236940347846,0.191829396194825,0.377733019616717,0.135914514804818,0.0602861290357941,0
mix_87,0.248381925563635,0.172625398311592,0.429408575968337,0.149584100156437,0,0
mix_88,0.26264302613986,0.197068886398886,0.398487847472046,0.134980732151981,0.00681950783722823,0
mix_89,0.273254835537506,0.224760233303528,0.312077169561236,0.130875352818371,0.0590324087793598,0
mix_90,0.253125861009609,0.173905957762512,0.429578084011184,0.143390097216696,0,0
mix_91,0.239897912719772,0.198537678055052,0.396283762486603,0.136049706616875,0.0292309401216984,0
mix_92,0.25521390530306,0.187268387154655,0.383232193909915,0.137850386121363,0.0364351275110076,0
mix_93,0.189997407357692,0.204287804244101,0.303107386606781,0.142696019429375,0.159911382362051,0
mix_94,0.249543830059679,0.1818984101347,0.409263321498344,0.141597930303652,0.0176965080036261,0
mix_95,0.244366053721916,0.186218456657811,0.38731639893481,0.140392059514212,0.0417070311712525,0
mix_96,0.2656070522973,0.21020411083888,0.376520602296024,0.130354193315648,0.0173140412521479,0
mix_97,0.2603546384839,0.191034178159691,0.40385354193318,0.14475764142323,0,0
mix_98,0.238284434946221,0.203759144277394,0.376647620395925,0.138357013008767,0.0429517873716926,0
mix_99,0.20745058426379,0.223559484167083,0.308454185958811,0.138539132395951,0.121996613214366,0
mix_100,0.218939313300842,0.19497858238633,0.375950235494948,0.139418610505973,0.0707132583119066,0
