CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	otherCells
A	8.22355809052254e-10	0.000748586577213414	0.00017741963019728	3.38962291717222e-08	3.08385165707431e-07	8.77758320648849e-06	0.000885697624970098	3.40607241473878e-06	0.998175769408247
B	3.15399398041575e-08	0.00072208694255656	0.000168395984671215	1.11169282982859e-08	1.64613494998057e-07	1.7931816580445e-07	0.000926620101161973	1.06078319647691e-08	0.998182499775249
C	1.98057782414366e-08	0.000810534344892963	5.94653018022801e-05	5.85212667291632e-09	4.43615342280687e-08	1.23724747591488e-07	0.000954471390915426	5.4809705677459e-09	0.998175329737232
D	1.44063593196747e-09	0.00085524562074491	1.53258928011046e-05	2.77943941767708e-08	3.66710792796765e-08	8.24431583138746e-07	0.000960657872831245	1.04106555305791e-08	0.998167869865275
E	5.9820583608133e-10	0.000805270197202849	0.000105291354145181	1.61653600898253e-07	3.33613989902506e-07	1.98068023137578e-09	0.000917088818447573	2.61840474479421e-08	0.99817182559968
F	1.48496382714254e-07	0.000800058796909137	7.00678117563133e-05	2.01704310035889e-08	6.14409241039664e-07	1.53569378935894e-08	0.000960939691408712	4.79670731345849e-07	0.998167655596202
G	4.78556361594657e-10	0.000756132147911998	0.000318256825252088	7.70820466967259e-08	1.44626305417875e-07	4.61789259833097e-06	0.000792758929936658	1.69416731654337e-07	0.998127842600661
H	2.79230755328712e-07	0.000705924392333681	0.000310786229386804	1.08390016594091e-08	1.16185082427647e-06	7.3498115760265e-08	0.000817035059050893	5.74330490209915e-09	0.998164723157227
I	1.974437821846e-09	0.000729463733303489	0.000285030086943212	1.62251213136452e-06	7.0525532992781e-08	4.31026091410709e-07	0.000815112891132282	2.41297972258517e-10	0.998168267009129
J	1.15661850995819e-09	0.000847118303257067	7.49202905353451e-06	6.04038244747758e-07	9.24789709085714e-09	1.62685024102021e-07	0.000972659392655126	1.97560114964487e-06	0.9981699775461
K	2.8141194889394e-08	0.00086151986527463	2.09971488707237e-07	6.94586769544651e-06	1.1470930026126e-06	4.22547445509683e-08	0.000955158877202459	7.21454472307738e-10	0.998174947207942
L	1.73992334612487e-06	0.000824953114867947	8.67235314956192e-05	4.4745764043517e-09	3.77806080630655e-09	3.89545925317008e-08	0.000912372179252417	3.75280776160238e-07	0.998173788763032
