B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils	otherCells
S10001	0.0307105824227545	0.0121479350026501	0.00465727889787827	0.0292540951293893	3.40480451274989e-08	0.195836110960043	2.04303414067078e-05	2.25110128720563e-05	0.0113603413379631	0.0353499318753192	9.64550388588811e-06	0.00971816910557502	0.0339692626660588	0.0233440954516392	4.8231263040038e-06	0.0328722839242825	0.0305589514350829	0.0148714439947434	1.75579211404085e-06	0.0174464528643083	0.028728455040612	0.0178646128243695	0.471250797242703
S10006	0.0291719887074696	0.0156885539807174	0.00456275928133424	0.0298180070021787	4.63984164795541e-07	0.194287176772409	5.02512425931473e-06	3.17652711149525e-05	0.0160606294441226	0.0400126211535299	1.71304525052236e-05	0.00976142568174111	0.0334273419105831	0.0250735853396616	2.41323066833753e-06	0.0337973660624779	0.0279533635607467	0.00711164307712152	1.24698407169435e-06	0.0183148320554621	0.0289475136751331	0.0160543928281956	0.469898754420332
S1001	0.0264445480925184	0.015599982407976	0.00502052264187586	0.0326622066897146	1.59819174222914e-06	0.185050728467085	7.25980833924958e-06	0.000258206968977224	0.0147269249684992	0.0434901575172442	1.37246868345613e-06	0.00964339680399556	0.0347195900770027	0.0252969456283899	5.25114823484709e-08	0.0339999733576198	0.0266981185070222	0.00853895082282275	2.22579849975988e-05	0.0193506785477286	0.0289059414846215	0.0188307140407683	0.470729872010894
S10010	0.0338532014059781	0.00410757651534197	0.00541231235260667	0.0316813211258696	8.69413524892028e-09	0.205409254342092	1.84829334024408e-05	0.00026571226360523	0.0144540826046514	0.0410965608822866	0.000291488074703434	0.00986685025295279	0.0355928824054613	0.0232828347068616	2.81419432013562e-06	0.0331752271927219	0.0268490525395868	0.00984533922608731	5.63179988441329e-06	0.018556661945555	0.026283748423724	0.0171654276220443	0.462783528496128
S10011	0.0376028090662619	0.00391553834212555	0.00558359409301968	0.0286663719288999	1.44952598358338e-06	0.1903616746848	2.2009986195071e-07	5.47644252694305e-05	0.0144408631462956	0.0414856625279309	0.000359305051417452	0.00949022672354322	0.0337868141608535	0.0234817132095807	5.44903676057461e-06	0.0343706376301432	0.0294567823202036	0.0138078340418743	1.20430781570031e-05	0.0182087175010122	0.0287908614773382	0.0153226277398173	0.47079404018885
S10014	0.0299149630449143	0.0111775053503126	0.00508584876758942	0.0342334203729548	1.51774533261716e-06	0.183327904086484	1.99055674297433e-06	8.9266511048873e-06	0.0147017793204685	0.039616995423342	8.12726291475417e-06	0.0119264687150234	0.0336450259603757	0.0264362253370367	2.22448751928914e-06	0.0330314928990459	0.0297741859635836	0.00690510558803416	1.90185729230883e-06	0.0209694923623979	0.0269261460936124	0.0205456649695339	0.471757087184384
S10026	0.0278910309438423	0.0142685750876322	0.0050271656118106	0.0337955004296209	1.31732137934347e-06	0.198832009367963	1.22413904706435e-06	0.0133966611846534	0.0140327547211832	0.0281367704221943	1.08336278705419e-05	0.00818211964015071	0.0350725325545106	0.0241376191431246	1.78469951015441e-06	0.0334057699446828	0.0262021212879207	0.00802129131508593	5.30256949685015e-07	0.0187831633838769	0.0294922301116878	0.0172047230911755	0.464102271714128
S10032	0.041522799849957	0.00206492280557417	0.006081574036264	0.0331107057776363	5.61949327903581e-07	0.186704284508568	1.4056620804131e-05	0.00632043270380701	0.0146952539157221	0.0331994827325928	2.66894811714117e-05	0.0124268296336642	0.0355425677267195	0.0247100486363669	8.78272085815978e-08	0.0349462121099734	0.025157025577196	0.0109089531456158	6.72012022317198e-06	0.0186352871105656	0.0278585422849435	0.0153937118449087	0.470673249601189
S10036	0.0347881420269372	0.00453012859732669	0.0041010749720011	0.0303775499002365	3.69455449695094e-08	0.196301730205412	1.72664987361362e-06	0.00585118398672143	0.0135815628307932	0.0350267800886051	1.72481343683422e-06	0.0109651293721139	0.0353999781427002	0.0256767926089704	1.15059654369019e-06	0.0332055624001279	0.0270889726770484	0.00925627144017298	7.79718810498853e-07	0.0187970125046569	0.0274045713744805	0.0201088013859726	0.467533336761514
S10042	0.0391864177622669	0.00254510583138293	0.00526086915143161	0.0353137165189227	5.72468610757904e-07	0.191892519740016	1.03230655067977e-05	0.00749764619329288	0.0120955324261277	0.0344249908395979	9.51537701590582e-06	0.0115810833462125	0.0330542239459347	0.0283980392625529	4.25506342482637e-06	0.034335062632174	0.0282440128460333	0.00824511260716119	1.14672957598097e-05	0.0186710539465424	0.0274929109218794	0.0181623334300673	0.463563235328086
S10044	0.0295945346811143	0.0120319459371112	0.00494148114870583	0.0306086035684488	2.76354113543168e-08	0.195706554551807	9.70318811253692e-07	0.00358689372059037	0.0147076760396534	0.0396448292729485	1.30678609074775e-06	0.00971223562021114	0.0340072912531742	0.0254566531533468	1.55962793390918e-06	0.034995590215846	0.02693912552483	0.00868236598417063	6.40035386305545e-06	0.017799645640414	0.0268629369885209	0.0192824979592172	0.46542887401778
S10049	0.0330401502687316	0.0105283655731192	0.00431949574276227	0.0300744237683113	2.53121050432442e-06	0.1956690021509	9.64318303804581e-07	0.00618480102275394	0.0146038230519924	0.0391870152852002	3.3881262627399e-06	0.00903992922098656	0.034579139197335	0.0248346973693113	2.31557530389345e-06	0.0339296358403114	0.0272419206318095	0.00654267129306198	4.53522733782255e-07	0.0174251606462868	0.0282609374713322	0.0189753699420038	0.465553808770682
S10057	0.0278101379508045	0.0133803730956389	0.00419446354980575	0.0334388657364882	1.57642021516195e-06	0.180450556118403	2.10803981972572e-06	7.01779838706004e-06	0.0157339081976296	0.0436704715465107	2.13500938071748e-05	0.0130724063932611	0.0339263015264422	0.0250652035105618	5.39616772838868e-07	0.0338876795636189	0.0268579499468883	0.00957026324547496	7.99542384130752e-06	0.0197782653749398	0.0266682370292898	0.0160478279842179	0.476406501837182
S10062	0.0306104071860056	0.0109368230922761	0.0055135406979084	0.0269537280076421	4.37851061656835e-07	0.196091156359238	4.27928701592616e-06	0.000327452668713756	0.0148340911571859	0.0449465599082327	2.85056410627339e-05	0.0114917692344014	0.0346626321960992	0.0251616932784261	8.32617102202808e-07	0.0332213066127942	0.0240165167823199	0.0129688137264068	5.79510601153194e-06	0.0192611885998616	0.0257761176146059	0.0156486073410897	0.467537745034538
S10066	0.027908561479894	0.0105212474317832	0.0054726436499868	0.028612554986008	1.22073747151429e-07	0.201905489891136	7.10144125916247e-06	0.00210434096311497	0.0123726915925638	0.0363698359034671	8.22668875067323e-05	0.0109501934186409	0.0340181740374295	0.0254747417110355	6.53287383339894e-07	0.0326921851182991	0.0253045509787127	0.0162105321817549	2.32791474678371e-06	0.0180398142394413	0.0289780660046322	0.0180199307259649	0.464951974081492
S10067	0.0326956646346295	0.00974739443682482	0.00507656106953677	0.0311680864432848	4.57028850399102e-07	0.186950249173178	3.94929604107796e-06	0.000176396114717348	0.0157691976442688	0.0469538030478336	2.61824406204039e-06	0.00925441137465913	0.0339456238016531	0.0233074052696186	3.71357107143965e-08	0.0336752923042453	0.0263019270324024	0.0102238607854455	4.35805923660421e-07	0.0178694827434794	0.0288172670332295	0.0184265165319452	0.46963336304846
S1007	0.0367030390240446	0.00619959864109606	0.0045065991640942	0.0321762802328756	7.85057782198494e-07	0.188740899870744	1.31357095796537e-05	0.000344321485652175	0.0130632669479279	0.0363081780478009	8.72413970398313e-07	0.0112790954991937	0.0349311822239573	0.0250510916106161	6.37484575887478e-06	0.0338983038776416	0.0287792756381193	0.0120098435988526	2.77104135886755e-05	0.0200042920461439	0.0261621191352907	0.0179238636940587	0.47186987082121
S10073	0.0329496291312227	0.00738726147283067	0.00420155515362454	0.0298415489433207	1.1032563601689e-06	0.19529548857062	1.53299626565009e-06	0.000287752352930644	0.014902094631351	0.047181964496569	2.94330929156233e-05	0.0117456367927661	0.0348565463141813	0.0241019552270165	4.3279126363996e-06	0.0341580107211093	0.029752358074288	0.00945581247402858	4.34056713836507e-05	0.0181533652709711	0.025851929929283	0.0179591931767955	0.46183809433753
