B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S10001	0.0686	0.1081	0.1027	0.0541	0.3837	0.2828	0
S10006	0.0998	0.1732	0	0.0721	0.4335	0.1732	0.0482
S1001	0.0568	0.2742	0	0.1043	0.3253	0.1287	0.1108
S10010	0.0135	0.23	0.012	0.0627	0.5285	0.1313	0.0221
S10011	0.0442	0.2262	0.0134	0.0378	0.368	0.2639	0.0465
S10014	0.0794	0.2014	0.0056	0.118	0.4041	0.1608	0.0306
S10026	0.0594	0.2328	0	0.0353	0.3866	0.1831	0.1027
S10032	0.0829	0.3712	0.0069	0.0739	0.299	0.1368	0.0293
S10036	0.0561	0.1763	0	0.0464	0.4704	0.1594	0.0913
S10042	0.065	0.2288	0	0.0633	0.3885	0.1545	0.1
S10044	0.0688	0.1913	0	0.0484	0.4142	0.1892	0.0881
S10049	0.0984	0.2074	0	0.0562	0.3388	0.2064	0.0928
S10057	0.0643	0.1426	0.0777	0.1316	0.2855	0.2242	0.0741
S10062	0.055	0.2802	0.0127	0.0531	0.3503	0.2054	0.0434
S10066	0.0254	0.2323	0.0096	0.0338	0.4948	0.2041	0
S10067	0.0662	0.1853	0.0023	0.0935	0.282	0.2481	0.1226
S1007	0.0918	0.1858	0.031	0.0827	0.3769	0.1966	0.0352
S10073	0.038	0.1648	0.0101	0.0548	0.3144	0.2748	0.1432
S10077	0.0855	0.173	0.1443	0.0685	0.315	0.1954	0.0183
S10080	0.0594	0.2494	0.025	0.0881	0.3767	0.1407	0.0608
S10082	0.072	0.1982	0	0.0266	0.3558	0.2578	0.0896
S10087	0.1097	0.2638	0	0.046	0.2683	0.2108	0.1015
S10089	0.0704	0.1248	0.075	0.0701	0.4191	0.2144	0.0263
S1009	0.1221	0.1586	0.0286	0.043	0.231	0.3182	0.0984
S10090	0.0626	0.1571	0.0352	0.0787	0.39	0.2257	0.0507
S10093	0.0702	0.2236	0	0.0917	0.438	0.1107	0.0659
S10094	0.051	0.2643	0.0263	0.0831	0.3818	0.159	0.0345
S1010	0.0797	0.2035	0.073	0.0592	0.2863	0.2524	0.0458
S10111	0.0815	0.1976	0	0.077	0.2924	0.2642	0.0873
S10116	0.0449	0.1505	0.0538	0.1296	0.1844	0.3243	0.1124
S10119	0.0815	0.1832	0	0.0298	0.3262	0.2508	0.1285
S10121	0.0568	0.1742	0.0555	0.0862	0.3693	0.1852	0.0729
S10130	0.0402	0.1916	0.0551	0.0983	0.445	0.1481	0.0216
S10140	0.1311	0.2212	0	0.0638	0.4548	0.0928	0.0362
S10142	0.1281	0.2384	0.0083	0.1629	0.2136	0.1011	0.1475
S10150	0.0336	0.1742	0.0361	0.1039	0.5595	0.0762	0.0166
S10155	0.0988	0.2152	0	0.0622	0.313	0.2636	0.0473
S1016	0.0566	0.2302	0	0.0707	0.4006	0.1499	0.0922
S10163	0.0478	0.1542	0.078	0.071	0.3597	0.2379	0.0515
S10167	0.0664	0.1881	0	0.124	0.3782	0.1121	0.1311
S10168	0.0667	0.1598	0.0302	0.1661	0.287	0.194	0.0962
S10173	0.1144	0.144	0.0065	0.0374	0.2805	0.3033	0.114
