Gene,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
mix_1,33219.2091,25585.6244,14607.8881,6202.5108,3379.6316,13005.1237
mix_2,32181.7502,24650.4185,14543.0742,6168.8419,3481.4114,13783.9759
mix_3,39179.2728,28731.5905,14160.4086,6193.7418,2927.2616,7406.5968
mix_4,37143.9687,27749.9103,14157.9131,6081.5726,3016.7548,9596.7937
mix_5,37386.504,28032.602,14409.376,6219.6619,3038.0375,9133.7926
mix_6,35524.1352,27222.6282,14316.7565,6113.3907,3185.5399,10777.1166
mix_7,38185.8546,28089.3339,14202.25,6085.6867,2917.8648,8821.1486
mix_8,34466.4604,26593.0117,14022.6068,5850.7847,3172.7695,12149.0533
mix_9,34939.9305,26996.1921,14727.4946,6204.0158,3261.7353,11067.73
mix_10,37746.5594,27882.885,13848.4393,5920.8196,2912.462,9358.8933
mix_11,32516.7084,24834.7196,14505.2924,6156.3666,3463.7438,13610.8266
mix_12,34081.7167,26429.7464,14490.8623,6044.5067,3302.7565,11875.4625
mix_13,37741.4422,27839.5227,14220.0771,6066.4594,2875.6701,9342.8463
mix_14,37773.9628,27879.1617,13910.1648,5944.3248,2916.2802,9317.3923
mix_15,38321.116,27942.3213,14864.4625,6278.5725,2832.2444,8147.0382
mix_16,38101.6888,28184.7375,14064.2763,6107.9701,2999.4326,8712.4061
mix_17,39688.0607,28702.8142,13446.4873,5975.5898,2631.0565,7081.1834
mix_18,31764.9668,24409.1929,14308.5112,6131.4653,3503.266,14382.8083
mix_19,35540.8609,27125.6861,14232.8787,6026.2477,3134.3711,10909.604
mix_20,39868.5418,28971.924,14501.0125,6280.0081,2881.6096,5822.9217
mix_21,38263.4882,28215.8151,14036.2158,6034.4417,2959.9469,8635.4386
mix_22,35709.6499,26970.8051,14635.6904,6121.2173,3084.5131,10818.2953
mix_23,35984.0945,27201.1315,14029.6757,5923.3774,3115.2745,10922.8012
mix_24,30965.6077,23976.2329,14557.099,6257.9432,3591.7091,14917.2066
mix_25,36245.5037,27628.1886,14006.6952,6039.2765,3199.5695,10130.6169
mix_26,39303.5095,28845.0848,14987.6038,6594.6178,2924.9344,5977.5297
mix_27,32074.2528,24459.4679,14616.0106,6003.4583,3260.1339,14518.7692
mix_28,39824.2412,28846.5976,14474.5973,6271.495,2829.5959,6202.3534
mix_29,35820.4906,27307.2531,14375.6059,6168.3985,3188.5128,10558.4202
mix_30,36019.9693,27402.7101,14290.789,6091.6588,3137.2727,10429.4331
mix_31,35844.3869,27353.4244,14201.2579,6053.3402,3184.5543,10583.4572
mix_32,37327.9458,27940.8864,14192.5183,6129.4289,3064.9704,9284.5006
mix_33,34936.4835,27037.4686,14227.6228,6064.8078,3186.9554,11462.3674
mix_34,32914.8856,25452.4351,14537.5755,6156.0504,3406.2753,13336.251
mix_35,34887.3647,26850.318,14503.573,6127.7264,3264.2655,11214.3507
mix_36,38320.0273,28158.0964,13981.196,6066.1927,2908.5592,8817.1883
mix_37,38092.5735,28068.3171,13918.3398,5970.6289,2948.4956,9064.7424
mix_38,39289.3276,28819.8195,14458.7566,6465.3193,2919.8668,6674.8399
mix_39,38651.3878,28236.0062,14364.6923,6232.7008,2822.5473,8021.2284
mix_40,35434.4578,27176.782,14157.5796,6022.7598,3164.6864,10962.1764
mix_41,33779.2701,26071.1092,14608.6603,6113.341,3365.2504,12289.2006
mix_42,39595.1976,28741.593,14060.2886,6130.479,2765.4868,6925.9169
mix_43,37494.7342,28253.3184,14519.2863,6344.6744,3087.5047,8583.2316
mix_44,38146.5943,28329.9964,14392.3583,6249.9427,3018.7542,8348.1701
mix_45,36824.3156,27867.1642,14014.7783,6111.6137,3176.0004,9527.9731
mix_46,38859.6724,28669.5908,14383.7939,6300.5745,2922.0311,7408.0266
