B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
Mix_1	0.236523142595138	0.224197993068075	0.348954211215144	0.0606583305969033	0.0396168160651112	0.0900495064596282
Mix_2	0.325154853650981	0.231361365547525	0.297373811026491	0.053037213358488	0.036135491729366	0.0569372646871492
Mix_3	0.187705041980772	0.241143512498679	0.428996005657961	0.0517695985040819	0.0372351748609496	0.0531506664975566
Mix_4	0.21903931705397	0.256694706648161	0.393727900051278	0.0501371032929823	0.0363301678566697	0.0440708050969396
Mix_5	0.375759838584542	0.182662554823965	0.333081755609753	0.0464655124307576	0.0303269802037838	0.0317033583471981
Mix_6	0.302114006201078	0.177271589536915	0.328522402639067	0.0595744400610925	0.0381638036083706	0.0943537579534774
Mix_7	0.246570298461063	0.272859944599298	0.362210293956162	0.0488217623771544	0.0345051923108339	0.0350325082954889
Mix_8	0.336837036055004	0.269020960638951	0.228872114023479	0.055977391013794	0.0379203791618889	0.0713721191068826
Mix_9	0.291834336678462	0.227610877165919	0.342017135088234	0.0509695613825886	0.0355816055643066	0.0519864841204902
Mix_10	0.34760465066602	0.179772987522144	0.316034622801819	0.0537182431155836	0.0348856411020879	0.0679838547923449
Mix_11	0.277422667546959	0.273414265619007	0.319265674141966	0.0499440480630456	0.0354651590064376	0.0444881856225852
Mix_12	0.171013197536402	0.247946803574914	0.403565057592288	0.0584040969686209	0.0405835568093919	0.0784872875183835
Mix_13	0.353155545226894	0.211422477392252	0.310744961722425	0.0476677022539262	0.0327554615809442	0.044253851823558
Mix_14	0.178213097760349	0.273160438542224	0.439638051127761	0.0481926690938099	0.0329893294197395	0.0278064140561161
Mix_15	0.232911225852046	0.293037331498143	0.336157280813382	0.0529781876034905	0.0367800812630976	0.0481358929698409
Mix_16	0.301934305817496	0.254651738208709	0.293528159447613	0.0528060191117238	0.0378335767920571	0.0592462006224007
Mix_17	0.243552844826058	0.281336789521676	0.339941814355136	0.0517963125620864	0.0360634346761879	0.0473088040588545
Mix_18	0.244593964764413	0.327090956100881	0.279254589616291	0.0544183735977124	0.0383584391969915	0.0562836767237118
Mix_19	0.2122074756784	0.216407483613347	0.391035329308783	0.0587614609451014	0.0395581644806514	0.0820300859737169
Mix_20	0.329077164332036	0.220583117394363	0.288869841574059	0.0551618366381555	0.0379893690661351	0.0683186709952517
Mix_21	0.328442106347143	0.219365786157661	0.275005706944064	0.0573684833885687	0.0388607847884185	0.0809571323741452
Mix_22	0.222109985609221	0.218073371769916	0.368162134678516	0.060817894826142	0.0405669907197779	0.0902696223964272
Mix_23	0.376269228731733	0.22649535818393	0.261932187318467	0.0496913591314229	0.034214918223744	0.0513969484107032
Mix_24	0.116156029294339	0.375475237131234	0.330474504752558	0.0621478372778912	0.0428411063062293	0.0729052852377478
Mix_25	0.339454683435487	0.232824486298019	0.315764743411442	0.0468896287692249	0.0319968559323743	0.0330696021534528
Mix_26	0.285459233510841	0.272984252849421	0.31432710748364	0.0486458921094231	0.0360522304987569	0.0425312835479186
Mix_27	0.368718891319263	0.231483638087204	0.229612559721711	0.0558658480592434	0.0380950082321346	0.0762240545804439
Mix_28	0.285801685312034	0.23013735814558	0.312396117651345	0.0575099185710228	0.0387204055331644	0.0754345147868547
Mix_29	0.320606637963118	0.264195866012367	0.290954579862653	0.0479627508253844	0.0338038602342318	0.0424763051022465
Mix_30	0.240401850777374	0.233015119654686	0.418341998788336	0.0457095336567633	0.0322012798018011	0.0303302173210387
Mix_31	0.310480239563174	0.246121021838359	0.299506740038578	0.0520785515393528	0.0364491202721114	0.0553643267484257
Mix_32	0.247014067029184	0.318418054925706	0.273150521087302	0.0564524024431134	0.0391328225443578	0.065832131970337
Mix_33	0.199572363239192	0.293639942658371	0.341864036868308	0.0569695787539255	0.0402854065622982	0.067668671917906
Mix_34	0.319077206579534	0.185644630478028	0.314315628862918	0.0571886730498441	0.037396245031286	0.0863776159983898
Mix_35	0.259880974224741	0.24822479908031	0.360159157398906	0.0503490677892385	0.0364501044524663	0.0449358970543385
Mix_36	0.292004566280516	0.234054390509926	0.336095579782867	0.0513533928057743	0.0359646388388267	0.0505274317820903
Mix_37	0.200047265603531	0.232098776654749	0.421203939414399	0.0540558390268925	0.036551182669691	0.0560429966307384
Mix_38	0.175792754925151	0.266113851989797	0.379284380695604	0.0597500034308725	0.0414543514944758	0.0776046574641
Mix_39	0.392507239641276	0.214153709264911	0.207883309286824	0.0578233450429041	0.0386341778346981	0.0889982189293861
Mix_40	0.269802173265636	0.20911247569025	0.393553557009976	0.0490597750477069	0.0340042815313489	0.044467737455082
Mix_41	0.252093650986242	0.21524757107603	0.388243596836948	0.0522054586645411	0.0361095397877664	0.0561001826484726
Mix_42	0.308417555860929	0.287095309263602	0.274377618706582	0.0496992069080525	0.0355451077478156	0.0448652015130183
Mix_43	0.327696933877194	0.186065813962069	0.330557485351174	0.0533276226250022	0.0358901475075386	0.0664619966770219
Mix_44	0.207887322718756	0.237836571826621	0.382631509870059	0.0584774270768301	0.0394056264757543	0.0737615420319803
Mix_45	0.226791007318647	0.251121178038646	0.36363080575305	0.0540791657863063	0.0388312820208205	0.0655465610825295
Mix_46	0.338235840707629	0.26267761281773	0.250193018565312	0.0524566029803221	0.0366462619476677	0.0597906629813401
Mix_47	0.283495784549011	0.201934287840889	0.339212790826708	0.0578593033782409	0.0388958917633744	0.0786019416417763
Mix_48	0.297252412449642	0.242534454714126	0.322813590018636	0.0512183036442268	0.0361575022624758	0.0500237369108936
Mix_49	0.192488455093209	0.259660831115779	0.430978926914382	0.048664434249016	0.0346508133514347	0.0335565392761791
Mix_50	0.214226794299619	0.306903326246977	0.320315484746719	0.0557841262676482	0.0394269601054851	0.0633433083335515
Mix_51	0.299974647719387	0.256528716009742	0.29769781950933	0.0530164950901335	0.0365864709441419	0.0561958507272661
Mix_52	0.154163337483282	0.275436297101863	0.424916410604699	0.0547575469960773	0.0368443863907987	0.0538820214232804
Mix_53	0.294189125177311	0.234393394922295	0.300957027630812	0.0559978135336556	0.0388973780770467	0.0755652606588786
Mix_54	0.212569202377476	0.184942333737814	0.420450391744239	0.0603973717113993	0.0384095605204304	0.0832311399086415
Mix_55	0.168502991009452	0.243176416838727	0.447528867387104	0.0533503397182904	0.0373040460813965	0.0501373389650297
Mix_56	0.226416498760662	0.274005633749813	0.335455190458118	0.0554013012560955	0.0405268368876932	0.0681945388876178
Mix_57	0.116563635033779	0.269324672417996	0.456201707041483	0.0574650379519278	0.0385008394178858	0.061944108136928
Mix_58	0.231668942479282	0.296542148321644	0.337417395904515	0.0522134567694566	0.0361773347298564	0.0459807217952459
Mix_59	0.191816012576978	0.216670791073646	0.454236942362713	0.0523037036730592	0.036143596682749	0.0488289536308545
Mix_60	0.376749452556666	0.23828195548209	0.287335573390834	0.0436703451099715	0.0294454580054446	0.024517215454994
Mix_61	0.353321126152588	0.177520015068751	0.325735587798514	0.0509406302722556	0.0338509818268052	0.058631658881086
Mix_62	0.359977724338255	0.185369086124646	0.354749694683052	0.0441264520885581	0.0294666834484337	0.0263103593170553
Mix_63	0.180240119758291	0.214677598553909	0.426618916446609	0.059242483165218	0.0400210270743645	0.0791998550016081
Mix_64	0.306509753017771	0.198355825782151	0.311012218783136	0.0580791884544682	0.0389526051741178	0.0870904087883553
Mix_65	0.301793847371434	0.223034082652347	0.302840192404319	0.0568952604517484	0.0385322967397784	0.0769043203803735
Mix_66	0.297335615256662	0.24334832097966	0.341760667921347	0.0483135811686514	0.0335757508935064	0.0356660637801726
Mix_67	0.409974457735237	0.172006619634872	0.255075430480683	0.0536405326227303	0.0360215510663503	0.0732814084601269
Mix_68	0.256512429097673	0.281675190279054	0.300115192084292	0.0557308620354854	0.0401529399386615	0.0658133865648345
Mix_69	0.35725472340085	0.193282008557865	0.320492130431866	0.0488342212265909	0.0335291265058103	0.0466077898770173
Mix_70	0.236345837507067	0.291317729504696	0.319580427796257	0.0536181527932132	0.0396617211960098	0.0594761312027573
Mix_71	0.246184051805679	0.215296016413378	0.400774093171014	0.0519306077237475	0.0354140389542011	0.0504011919319804
Mix_72	0.256513491725675	0.30247925040702	0.248935383275475	0.0591261881471713	0.042149792267663	0.0907958941769954
Mix_73	0.14779835271255	0.261327454494196	0.453058210511325	0.0523191908681027	0.0375181226694446	0.0479786687443821
Mix_74	0.341462811655455	0.17268230818583	0.333659378664391	0.0527473240120766	0.0346629085348017	0.064785268947446
Mix_75	0.239764368609721	0.238381299039625	0.397831311431484	0.0495709583652767	0.0345052049035449	0.039946857650349
Mix_76	0.231402353247409	0.23006713493278	0.419147718666659	0.0483275658909375	0.0331076713659153	0.0379475558963003
Mix_77	0.257813024920072	0.22677999387049	0.337172885364829	0.0579120788920707	0.0397806873278892	0.0805413296246491
Mix_78	0.16146480583775	0.295434407202928	0.429561794832856	0.0484175180467298	0.0355421599920836	0.0295793140876526
Mix_79	0.186071914220689	0.204051006314315	0.443473303102451	0.0568813059270332	0.0387166780512532	0.0708057923842587
Mix_80	0.269179915576601	0.268633475685866	0.312106318539314	0.0536924779407681	0.0370534277031077	0.0593343845543424
Mix_81	0.264172549849347	0.208263187040199	0.371359189039481	0.0546384708330271	0.0370228092638336	0.0645437939741129
Mix_82	0.274639938822467	0.237882066641252	0.395154983827924	0.0439176918398046	0.0306189660317607	0.0177863528367919
Mix_83	0.324977668985851	0.203744562657562	0.322390130558566	0.0528451326343022	0.0356712236698798	0.0603712814938382
Mix_84	0.271436961975359	0.257085867710315	0.309233461570503	0.0549903610208988	0.0383353096447914	0.0689180380781326
Mix_85	0.249877283539099	0.250030116276283	0.384936807420859	0.0466750818215092	0.0338408747817078	0.0346398361605423
Mix_86	0.231843146672444	0.207219652913383	0.399439636668476	0.0554291141612891	0.0374543172821667	0.0686141323022412
Mix_87	0.448486245921939	0.14017074569749	0.262801797426864	0.0512949917607797	0.0321256729225581	0.0651205462703701
Mix_88	0.349117429288898	0.282385846768478	0.224727488490147	0.0545481819105065	0.0352115145963465	0.0540095389456239
Mix_89	0.140215192251542	0.258869544174767	0.413442618180437	0.0596490441754162	0.041506743218174	0.0863168579996643
Mix_90	0.254905319118775	0.213714310827327	0.415718998520379	0.0485716484804574	0.032691895415621	0.0343978276374408
Mix_91	0.423069306878821	0.198957298709606	0.265906242309569	0.0449760071708256	0.0302964436628019	0.0367947012683762
Mix_92	0.284434586063333	0.212708304004845	0.353107386180431	0.0543180518587156	0.0358691957266334	0.0595624761660429
Mix_93	0.275861816164166	0.333547300900705	0.196877979192581	0.0611790891559523	0.0426468788153093	0.0898869357712865
Mix_94	0.361349676396154	0.253721021788149	0.246476301045799	0.0510521404095222	0.0355766118169727	0.0518242485434027
Mix_95	0.244555942987478	0.262916303756861	0.351347603888241	0.0534700815378638	0.036831777489413	0.0508782903401437
Mix_96	0.19157328575995	0.29904462708565	0.359001902176855	0.0537237879275072	0.0389226858531388	0.0577337111968991
Mix_97	0.30076847235536	0.188693265320429	0.350081184300967	0.0543074706256654	0.0360258251214483	0.0701237822761307
Mix_98	0.458805341156857	0.194305087508378	0.126609397473539	0.0622212455464317	0.0390035920230025	0.119055336291792
Mix_99	0.0994445031031424	0.376369263663097	0.386545793114425	0.0556307841671222	0.0389323381143106	0.0430773178379024
Mix_100	0.29411468421744	0.210699114547929	0.313013990306815	0.0593697000136162	0.0387272671658237	0.0840752437483768
