Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
S17973	0.0652896202670022	0.145731902127981	0.392831295689326	0.138183606550931	0.259032364863176	0	9999	0.376386857703952	0.981041774659389	1.00106878949842
S17985	0.0748256790789031	0.158466585144269	0.434372388412565	0.0970473096026696	0.235812623036779	0	9999	0.394986205242694	0.960621139147807	1.00052458527519
S17988	0.0467639969989879	0.136000190730792	0.392036068632485	0.172477348463426	0.253721332720998	0	9999	0.341415533749798	1.01329246507712	1.00099893754669
S17993	0.0535989666915909	0.127241850659307	0.372990396391772	0.145675431291515	0.301285793668635	0	9999	0.352206649334399	1.00009292467	1.00079243870282
S18000	0.0714466837508498	0.121172223441223	0.38965969807182	0.177200428927505	0.241589755307018	0	9999	0.350138891569849	1.00633973437165	1.00106878949842
S18003	0.0742655529031506	0.0755402858117405	0.416420797281509	0.157487445116284	0.27654753576853	0	9999	0.359387930229034	0.993234042685736	1.00026161688121
S18005	0.0792212474060795	0.118217519069765	0.387217158672932	0.156262133074493	0.260550992836682	0	9999	0.370757711509231	0.98688596313247	1.00146905105995
S18007	0.0549794991533579	0.121442915858088	0.390003873813358	0.1326760981824	0.301556186977881	0	9999	0.379765159078187	0.977618063812752	1.00065857398509
S18013	0.0636758038750857	0.0847572804910296	0.361996501872672	0.109578968447557	0.380319562273944	0	9999	0.340372156268766	1.00281018324438	1.00032811696029
S18015	0.052392138166906	0.125355778683144	0.372948700197995	0.166179904684786	0.284461539293803	0	9999	0.32111015140171	1.02596575170632	1.00133806102663
S18016	0.0639281462580885	0.102006215544461	0.362303491982875	0.1364595438789	0.336505448062237	0	9999	0.377241255316304	0.980271872840039	1.00120284572656
S18028	0.0231914560627367	0.18448948272766	0.374274158698116	0.134057691966255	0.284315327505521	0	9999	0.366639132441822	0.991276872529689	1.00032811696029
S1803	0.0225034581506633	0.199830004716959	0.380058182373304	0.1512191106839	0.247998730680022	0	9999	0.339331063332169	1.01499444855272	1.00160948660485
S18037	0.0775817197565447	0.108949700926347	0.344542134416993	0.104628683742161	0.364692378197316	0	9999	0.395993763128705	0.963474692933415	1.00039461703936
S18038	0.0549360685985977	0.116008101736217	0.394811302265963	0.146228237450915	0.289219135674868	0	9999	0.35700540285352	0.995610973987163	1.00120284572656
S18040	0.10232879201055	0.127813517556472	0.27934873647932	0.124839081484763	0.365865500352745	0	9999	0.350845457625209	0.999910538935658	1.00019562788385
S18046	0.121781339655802	0.0835261527310306	0.397269189560123	0.107253352457993	0.290431582476265	0	9999	0.336788275976751	1.00040525593806	1.00026161688121
S18055	0.108610045723897	0.174110244035612	0.403679515811519	0.131092857601903	0.183232843171023	0	9999	0.391943195358674	0.967917817525836	1.00072550634395
S18060	0.136341631694245	0.188296735717145	0.386606385806724	0.111576016819623	0.178248019460679	0	9999	0.367589576548433	0.982013415499379	1.00106878949842
S18063	0.106500673826989	0.134901985387724	0.45396988379122	0.0789253420651256	0.227040175955574	0	9999	0.359809938413243	0.980693440761013	1.00133806102663
S18064	0.0519150210802963	0.135281310050957	0.339218894270754	0.155276270306598	0.319511350017955	0	9999	0.350085777163518	1.00504840203292	1.00120284572656
S18067	0.0456365290241805	0.166266118735199	0.369936575600543	0.168209795455031	0.250743419887867	0	9999	0.387303845140612	0.98144555926332	1.00079243870282
S18071	0.11740465148857	0.109181733616432	0.374060192088831	0.167553643015249	0.23266054193981	0	9999	0.408853510782451	0.95990457953329	1.00086076214889
S18079	0.10988324022118	0.112476637033416	0.397342182509414	0.08773236790837	0.294381165719499	0	9999	0.366863819102979	0.978619056081276	1.00181559339188
S1808	0.0312557861436563	0.112625871982818	0.368980018536292	0.194510311959435	0.293696800876214	0	9999	0.388175358671866	0.984582923640441	1.00106878949842
S18080	0.100141724247445	0.171715451794474	0.385027155894914	0.109699964683545	0.234618549106183	0	9999	0.327208448459604	1.01018198493127	1.00120284572656
S18085	0.0548353503035866	0.122679175902298	0.35147402352549	0.244109763806423	0.227560260447288	0	9999	0.32758213310857	1.04386846571775	1.00065857398509
S18089	0.0956401772617095	0.0908142169911001	0.353335644353474	0.161344129592656	0.29986476934775	0	9999	0.376264003729521	0.983494387133444	1.00099893754669
S18103	0.0619796084379194	0.119470382495865	0.379412239020187	0.117580649616436	0.322625909928009	0	9999	0.340824402977583	1.00277882492926	1.00106878949842
S18107	0.0658649163801889	0.181732844070722	0.374072797921219	0.134677406313357	0.243716854757757	0	9999	0.401711262583272	0.96416188048665	1.00006481944324
S18117	0.0777600636313044	0.118582362638811	0.318619012048201	0.0958686528780571	0.389828482788712	0	9999	0.389206927557533	0.968817514657691	1.00065857398509
S18127	0.0374346466311298	0.109538326298588	0.382013766145051	0.150279556450358	0.321526143177693	0	9999	0.334406309865495	1.01335830946462	1.00079243870282
S18135	0.0193243025604016	0.155480799224222	0.362419511862193	0.116938367214121	0.346697781287954	0	9999	0.375416966551161	0.981927720832246	1.00086076214889
S18139	0.0646071165735139	0.169858451337632	0.351200378540502	0.103868224781382	0.311326590915862	0	9999	0.359151778016408	0.99027745881534	1.00086076214889
S18142	0.0814098198176625	0.13602847809704	0.362954418595396	0.151207544298944	0.269328824785919	0	9999	0.390378724960856	0.973195862652077	1.00092908559496
S1815	0.0696544221442322	0.15223120125791	0.335512863889818	0.0691316655918943	0.374938898176097	0	9999	0.365637114074748	0.982731465307327	1.00146905105995
S18152	0.0830309655745355	0.12843542207351	0.317296153726273	0.206958838660671	0.265549073341608	0	9999	0.371684695827088	0.99999491214545	1.0012704533766
S18155	0.0981350249850668	0.214913881965703	0.404395886762627	0.110509699242881	0.172570092318906	0	9999	0.414984084806549	0.950116961676544	1.00052458527519
S1816	0.0497367489091104	0.133630335785379	0.349316426836692	0.120151904231084	0.347294223124221	0	9999	0.340114526377066	1.00583565579443	1.00012963888649
S18161	0.0465253826074784	0.21104839444716	0.352048951430428	0.133640822396352	0.256801268561826	0	9999	0.368283615735136	0.991059497277318	1.00006481944324
S18173	0.0390035491943162	0.170432578105557	0.402663656616352	0.218826350255192	0.169866304531403	0	9999	0.396411678238887	0.987809418990213	1.00079243870282
S18180	0.0671344905060436	0.121657074095567	0.401125048317494	0.123044760119846	0.287630206591185	0	9999	0.405429569720189	0.957023443286397	1.00059157963014
