naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	otherCells
S10001	0.0302460737608484	0.0451840717841292	0.227254963054034	0.0260183217948495	0.0374263574235934	0.0285382415271863	6.28596424854976e-09	0.176847303797164	0.428484660572231
S10006	0.0298398274547342	0.0494071974643103	0.223969437584422	0.0267575555740349	0.0350469433563558	0.027331327927251	3.86528561210264e-09	0.174882203755496	0.43276550301811
S1001	0.0175377617745599	0.0548827229242485	0.229063654858122	0.0297612511639933	0.0350694407356499	0.0261202367434578	2.00024434732153e-09	0.175340720983116	0.432224208816608
S10010	0.00724673135947196	0.0611239983462932	0.225095289858315	0.0304374602171054	0.0355654991212981	0.0318463606227255	6.43540997246049e-10	0.17150938565682	0.43717527417443
S10011	0.0232636463391513	0.051759048929545	0.232325794171572	0.0275442024789937	0.0353634006468272	0.0310515017083247	4.33806285733357e-08	0.175613548072744	0.423078814272213
S10014	0.0171257492667273	0.0618365804611868	0.225197739918465	0.0277689808949169	0.0347265568092264	0.0275938771589754	8.70637107749915e-08	0.17741174167352	0.428338686753272
S10026	0.0102086047552287	0.0637064564005266	0.235889293970109	0.0264350398958407	0.0367734767051787	0.0251467909544744	2.60219161678122e-08	0.16907208981177	0.432768221484956
S10032	0.028754895656113	0.0448054021896196	0.226359282059347	0.0266429971696331	0.0335698389322737	0.0306119340873712	4.38626638928831e-09	0.172217950192132	0.437037695327244
S10036	0.00984755775252576	0.0646978274684159	0.232669661746843	0.0263814594943853	0.0341607300991667	0.0280789265946482	1.46751872228881e-09	0.176605818095462	0.427558017281034
S10042	0.0269140229935581	0.047161424611499	0.227877654381715	0.0279817474449464	0.0350292176656775	0.0279160437602877	8.1484972785351e-09	0.173459004345433	0.433660876648385
S10044	0.0134405946031683	0.0604932291043141	0.239463655658999	0.0269083605735783	0.033907614529766	0.0257830556021844	4.02119640992563e-09	0.170379894556311	0.429623591350482
S10049	0.019190564251519	0.0573729248191832	0.238729594223931	0.0290153258425774	0.0358462698930369	0.0241061697171509	6.41877953013363e-09	0.170022481173066	0.425716663660756
S10057	0.01419098684805	0.0651020955738146	0.224230498087442	0.0305430473221033	0.0401265598284325	0.0252449423793272	2.2654625909487e-09	0.18025894179071	0.420302925904659
S10062	0.0186203042182267	0.0557165993244845	0.232673943642601	0.029664969531019	0.0375409891250643	0.0255477270536201	6.53911264268671e-09	0.172226727726509	0.428008732839363
S10066	0.0113500544323647	0.0604212805908513	0.230495574815783	0.0269468264647768	0.0326822780712318	0.0345509669648563	3.68944995068472e-09	0.173655529610498	0.429897485360188
S10067	0.0204291225201501	0.0561140607510011	0.24395957546379	0.029040353819641	0.0355723812654948	0.0228560823689435	3.68261660869433e-08	0.171777864139925	0.420250522844889
S1007	0.0281342036973772	0.0477518832516201	0.226551488379528	0.0257707736436123	0.0351558605439955	0.0270256002860188	9.61477334938418e-09	0.180116090333945	0.429494090249131
S10073	0.0191286983377779	0.0561569522843903	0.245993472018328	0.0305113577948139	0.0331125160665129	0.0281248603138411	4.23418567982963e-09	0.164714671941037	0.422257467009113
S10077	0.0255089218524275	0.0551064211167375	0.224814825970565	0.0271477648763898	0.0343234944498772	0.0311670422776468	5.15343854640061e-09	0.176283912634896	0.425647611668022
S10080	0.0306385918577551	0.0438939707919949	0.225604342567945	0.0296504209690983	0.0358690853826741	0.0283170905064275	8.78972708019677e-09	0.175151624364318	0.43087486477006
S10082	0.0191327102511108	0.0581536995550178	0.239788241292023	0.0282663942963429	0.033914621521935	0.0292317656559332	1.72095025109726e-08	0.170746403942185	0.42076614627595
S10087	0.0298883626630332	0.0486599638381066	0.237037167531974	0.0282314803516787	0.0347724222291195	0.025025418842818	3.23483361753161e-09	0.173625887357807	0.422759293950629
S10089	0.0218255961106977	0.0551099542946935	0.227122943401988	0.0285560729055167	0.0369128011903319	0.0259200931652043	1.91610351299988e-09	0.179818012987219	0.424734524028245
S1009	0.0313409411234034	0.0504875238237194	0.235839362680543	0.0312746377845555	0.0373511254117297	0.0254687321114919	3.52262982065166e-10	0.174485158193928	0.413752518518366
S10090	0.0204479287498138	0.0471690063573174	0.230344011099249	0.0309561379526559	0.0377886089689787	0.028679376207095	2.24393965864092e-09	0.175530913219092	0.429084015201859
S10093	0.0155954226039392	0.0563027449200022	0.215977468285521	0.02547890173611	0.0344885614318974	0.0298996053852227	2.77513693777307e-08	0.182195121988148	0.440062145897791
S10094	0.017695817414533	0.0555754298036296	0.23154430741761	0.0261577307221956	0.0351755822964135	0.0282325660714012	1.99315938612292e-08	0.172474508143591	0.433144038199032
S1010	0.0202574665524974	0.0565746316949453	0.231519361556405	0.0297758342120748	0.0355967716001047	0.0272159723594563	7.58990898156882e-09	0.177294303421072	0.421765651013535
S10111	0.015897110606082	0.0563024321042026	0.247249988310034	0.0290165142929936	0.0351326464038206	0.0261297531990419	3.63698334165426e-09	0.169658563109466	0.420612988337377
S10116	0.0184379314461564	0.0579569872479869	0.239039152478642	0.032666085696635	0.0352911566632466	0.0300493114078102	3.28990762208061e-07	0.174737106973356	0.411821939095405
S10119	0.0188997286201333	0.059296920928962	0.234794734093669	0.0296351920045982	0.0350034101481879	0.0267010263455094	5.81009387412925e-08	0.175868445964266	0.419800483793735
S10121	0.0195733418103481	0.0561969870682078	0.229701278841092	0.0323838816437109	0.0359095060916527	0.0274823183199935	5.55141626174906e-10	0.174614550778403	0.42413813489145
S10130	0.0188161470160841	0.056258563278378	0.219463721549762	0.0284597452113596	0.0379501717120335	0.0287629136652043	1.20178110253817e-08	0.176936891096128	0.43335183445324
S10140	0.0322219706734566	0.0468296695334877	0.217326358962712	0.028712540298887	0.0342884489510488	0.0325816967984248	7.40288002198034e-09	0.173056289761358	0.434983017617745
S10142	0.0249745847075162	0.0568549124650049	0.228599697208115	0.0281220036844493	0.0351201709240842	0.0255849915938573	4.61295538711079e-09	0.175688453833305	0.425055180970713
S10150	0.0325806079776419	0.0365068656515494	0.197167387054918	0.0313462668155174	0.0337194081907741	0.0373132846501714	2.28117465430842e-08	0.179441818994294	0.451924337853388
S10155	0.0249215286046833	0.0488717561952314	0.238217948358846	0.0280589033310469	0.0340570793052493	0.0289246396071813	3.83374431567658e-10	0.170842685856029	0.426105458358358
S1016	0.0102595414900708	0.0648546817111656	0.225113514306966	0.0288287301641085	0.0358987126014368	0.0271118986294882	5.81589490438862e-09	0.173059013599242	0.434873901681627
S10163	0.0333116257778652	0.0406315909748148	0.227733538276116	0.0300290270280543	0.035422321359778	0.0316065240885713	3.84316118538508e-08	0.176858497251174	0.424406836812015
S10167	0.0256933451883367	0.0440380592068459	0.224764903182123	0.0327957416395339	0.0330422086485894	0.0292976013591955	5.80454434788095e-09	0.179067309114372	0.431300825856459
S10168	0.0223986121084072	0.0541208202862311	0.235961598509302	0.0300504100866405	0.0364835839170286	0.024661676763946	2.81729826333047e-09	0.173534286835615	0.422789008675532
S10173	0.0282027625303951	0.0528132603170565	0.242642713631289	0.0294343424249297	0.0370282112918625	0.0233176169378246	7.54336923829416e-09	0.172995636147994	0.41356544917528
S10175	0.0230985219322462	0.0523301608616187	0.227766549231141	0.0272955648802685	0.0344003567582178	0.0276379692319242	4.91178378857251e-09	0.178687044019597	0.428783828173203
S10179	0.0101794075500678	0.059616724119813	0.24970158460001	0.0300956212968248	0.0317551804163897	0.0262440060716877	7.30302580401723e-09	0.169048928256651	0.42335854038553
S10186	0.030593790418239	0.0470918246801411	0.242601665383278	0.0284663535463156	0.0374410473021924	0.0230814941968263	1.80328073009222e-09	0.176765778810277	0.413958043859449
S1019	0.0181782035145496	0.0600866843536	0.235934257290414	0.0276335693634902	0.036829748586294	0.0259822427588451	1.41023808394749e-09	0.174172207537734	0.421183085184836
S10190	0.0241345364964435	0.051663841878905	0.246877867226035	0.0277034635686389	0.0311672048912705	0.02900349278228	3.8172907798843e-09	0.169586535515366	0.41986305382377
S10195	0.0239849077054482	0.049421670156076	0.223828978748949	0.026984104338786	0.0357141130618132	0.0293918399289668	5.31250417915102e-09	0.174693551763137	0.43598082898432
S10196	0.00917302340789022	0.0631781077434247	0.234182376358221	0.0270167242554556	0.0345593317963837	0.0278876435473615	6.22807745838231e-09	0.168701053293026	0.435301733370161
S10200	0.00807335208150975	0.0648973256310468	0.228245827659798	0.027479986021113	0.0344243005777056	0.0287576997287646	2.24910827023066e-09	0.175831456456054	0.4322900495949
S10201	0.0216254463869478	0.055728756559922	0.199627782998358	0.027727644686966	0.0361227118154891	0.0355600559986747	7.19977969835302e-09	0.180611105077845	0.442996489276018
S10202	0.0244946849895977	0.0501020035211371	0.229660202910435	0.0299924674099099	0.0363299776588207	0.0281381459676931	5.42322474494073e-09	0.173408917172655	0.427873594946526
S10205	0.0378241480323914	0.0381306715092781	0.240253667532116	0.0248545339975527	0.0347513471054266	0.0260112647615827	1.69962954686337e-09	0.167696831206699	0.430477534155325
S10211	0.00597881039498083	0.0661483023124091	0.230094527718551	0.0277714733035109	0.0388166390160548	0.0240951261113021	3.37570377423762e-09	0.174067441011637	0.433027676755851
S10221	0.0194806859608577	0.0509725774701253	0.234956855638692	0.0292162127358565	0.0365042770319411	0.0251093137794789	3.36803900686486e-08	0.172528129783409	0.431231913919249
S10222	0.0219947257165876	0.0548655549086934	0.219355902815835	0.0288881877144042	0.0352798405241654	0.030016080443142	1.11174603739939e-09	0.178082526413686	0.43151718035174
S10226	0.0237353845514717	0.0546437122102568	0.228149657492276	0.0296448156807539	0.034318114823657	0.0288770351487334	4.64254299968584e-09	0.16946657118591	0.431164704264398
