B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	otherCells
S10001	0.0331041107263384	0.0239520779757346	0.0055681840056225	0.0233642901069976	7.29708652022885e-09	0.240400642299683	0.0112846667679224	0.019734157043195	0.0203446353569125	0.0430723583740099	0.579174870046497
S10006	0.0342620587497607	0.0241714019610251	0.00553517966626825	0.0236475199565241	8.74197550361362e-09	0.238391149516581	0.00206839478093949	0.0219393073748332	0.0229893596493875	0.0490966503614821	0.577898969241223
S1001	0.0297300908906502	0.0257334444492373	0.00616869683651902	0.0249119703100202	2.19744709664793e-08	0.23188321175082	1.98187265455989e-07	0.0239826493548107	0.0222055990487508	0.0541695984138974	0.581214518783558
S10010	0.0254999990710346	0.0265218277155643	0.00631985655271736	0.0254269625436353	1.79097618311021e-09	0.248820486844124	0.00606486839001378	0.0186357812073537	0.0226651126716715	0.0508462169637009	0.569198886249209
S10011	0.0319049209765377	0.0251759878437532	0.00649364704270914	0.0240963842520024	4.43464238799313e-07	0.232558585155377	0.0112994515621944	0.0158362840966266	0.0224573869844774	0.0508608193670919	0.579316089254992
S10014	0.03048874588397	0.0250197904891923	0.00584481900209362	0.0261535084072357	1.3854440112935e-08	0.232046487269975	0.0048997474522414	0.017509724307488	0.0228295489278455	0.0527849098239023	0.582422704581615
S10026	0.0262776434206514	0.0304278032224314	0.00578280030675257	0.0260108903069688	7.69705866911862e-09	0.241864182760545	0.00394083223955738	0.0285878676742148	0.0209053192011426	0.0428111135493212	0.573391539621356
S10032	0.0359176549670952	0.0228550990576511	0.00665554715564879	0.0261981610350859	4.40254383342147e-09	0.232378984900302	0.00458208074860226	0.0231705535163576	0.0225926130248228	0.0447353159793277	0.580913985212563
S10036	0.0258522775415626	0.0278779386327076	0.00556595833429847	0.0244867599964821	4.26601627854291e-09	0.241461031787819	0.00293064771141274	0.0284430470781002	0.0200233809907048	0.0430196073439389	0.580339346316957
S10042	0.0318573895865758	0.0252355124638048	0.00598114568945041	0.0267536078002139	4.90853272024102e-09	0.238228511913354	0.00240066794265788	0.0234179878831306	0.0213252185464378	0.0500491241134105	0.574750829152431
S10044	0.0274946875107479	0.0291215461419587	0.00554152184387971	0.0251253416092412	2.90831599088883e-08	0.241288747098528	0.00613538022150986	0.0251261657899726	0.0216312169074034	0.0446695330626401	0.573865830730959
S10049	0.0315620363312159	0.0266560966264803	0.00532986484668462	0.0216161922121354	1.79760559160782e-09	0.23942952500946	0.000552587053966565	0.0274774484310338	0.0219207052954971	0.051991724749774	0.573463817646147
S10057	0.0277824049246539	0.0292416229969822	0.00565266862099253	0.0270055843944108	4.29531777168084e-09	0.221999076554102	0.00322159914914438	0.0211168592597581	0.0232893851814809	0.0515917694966381	0.58909902512652
S10062	0.0300079845187897	0.0266329096728024	0.00622106045180194	0.0220978652485922	5.94211091661264e-09	0.239591308353432	0.00599364460896059	0.0228604306412596	0.0223963160246883	0.0490602337018355	0.575138240835727
S10066	0.0270000220520431	0.026161606559977	0.00608892282474755	0.0228417142357667	1.8168924404952e-09	0.247831821845693	0.0106185501265222	0.0223126170821373	0.0223124233492226	0.0426885067988607	0.572143813308138
S10067	0.0307601679216062	0.0263565322106151	0.00572816454829379	0.0263163281599965	2.43207748794061e-08	0.233024392203339	0.00418550219730056	0.0239925276363778	0.0223119125562825	0.0524292363227761	0.574895211922638
S1007	0.0364874256161723	0.0211675375064372	0.00573380583242299	0.0256253019025841	3.13684183877444e-09	0.233890217365062	0.00319963026521464	0.0248872582097582	0.0221392650510318	0.0432597020180261	0.583609853096449
S10073	0.0302062831751298	0.0253202260215414	0.00555327573483959	0.0237954914837071	4.51627352246498e-09	0.23905541054443	0.00391591670053583	0.0232402038468335	0.023798438072903	0.0556729449183803	0.569441804985426
S10077	0.0338436037595455	0.0256000526988183	0.0062092141276335	0.025146678484859	3.01559614333594e-09	0.230499612059634	0.00763556407341754	0.0177710545041803	0.022658988764035	0.0501557428073118	0.580479485704969
S10080	0.0357681411423494	0.0225380547400997	0.00646357308834474	0.0270123147883403	6.03307697202164e-10	0.234172927321573	0.00143208524966314	0.0187647410828983	0.0230397064048886	0.0542226084240591	0.576585847154475
S10082	0.0312991891395667	0.0271903620990364	0.00607598801861919	0.0199246246610885	4.63577864674639e-08	0.235656810552477	0.00377075430700734	0.0294996301914406	0.0238347944612824	0.0478875369625638	0.574860263249132
S10087	0.0336915568928407	0.0259280867787194	0.00577286969103838	0.0223852771953156	5.61651266393844e-08	0.236233876022699	0.00373837214082872	0.0259820109202468	0.0228264003721039	0.0484923597661044	0.574949134054976
S10089	0.0297928582191239	0.0260590417356264	0.00515229528489466	0.0249652236520534	4.62951530723755e-09	0.244348981531401	0.00899494391350204	0.0194594954402781	0.0199940945062306	0.0471118650465082	0.574121196040867
S1009	0.0367578335211075	0.0242378284864922	0.00572368378080535	0.0230277935945446	1.25612765288928e-08	0.223537481156774	0.00524894756672915	0.0232261717820856	0.0239996821651011	0.0538771612895089	0.580363404095575
S10090	0.0301794937415094	0.0230132323272679	0.00555964347553307	0.0208065296597725	1.71731650591646e-07	0.241421871092692	0.00773247554750957	0.0177232134598044	0.0240040555673484	0.052786380294229	0.576772933102683
S10093	0.0296387088892746	0.0231549454955189	0.00614304563027338	0.0271512665364419	3.1789552912744e-08	0.235808853522109	2.43330904430176e-06	0.0262984095026243	0.0215026174455857	0.0471124121301044	0.58318727574947
S10094	0.0292699857246993	0.0263087595085348	0.00606569836021967	0.0267974062946326	2.21608147440692e-08	0.239462395399673	0.00359965814941765	0.0270553219097858	0.0212922219003529	0.0442759394577142	0.575872591134155
S1010	0.0290050629372026	0.0284001767488862	0.00585325768643418	0.0229386664086034	1.01622933454088e-08	0.233487671879935	0.00489996782365616	0.0215889863203311	0.0227552899778071	0.0533913640577353	0.577679545997115
S10111	0.0293304974022566	0.0265515872100753	0.00572771905384693	0.0259861293252582	5.09824285125879e-09	0.234157888575869	0.0044146086396804	0.0265241549434214	0.0234103139922318	0.0498317430535051	0.574065352705612
S10116	0.0296268640729714	0.0275660040269414	0.006460535627599	0.0266271389823454	6.32413827966969e-09	0.214465873596123	0.00774020133226938	0.0136704223129151	0.0232143243890191	0.0645169771780248	0.586111652157653
S10119	0.031918598395788	0.0259244555131935	0.00598944949163136	0.022737552348678	4.64799129056779e-08	0.232447733407141	0.00194688552037086	0.0271292302354806	0.0220469994583766	0.0506846944886117	0.579174354660815
S10121	0.0295717565860587	0.0264774886095022	0.00546401678151628	0.0241075189848759	1.27154712893916e-08	0.239569440075572	0.00599064839137703	0.0168013557300538	0.0230979334387623	0.057005390087524	0.571914438599286
S10130	0.0292606562864894	0.0264299290076519	0.00592484301218586	0.026096169162524	1.7269906589622e-09	0.242623933013292	0.00943670745155909	0.0172292959305242	0.0212541468070418	0.0455748007208668	0.576169516880875
S10140	0.0342336175055329	0.0258945596137063	0.00565170888504185	0.0240355761826212	2.57058375494431e-07	0.245713570565157	0.00304447612595799	0.0187055198164048	0.0236180577077714	0.0472541240919986	0.571848532447433
S10142	0.0329813755672269	0.0270148738223967	0.00589534400002664	0.0298383622221833	4.91578581562326e-09	0.222904906470701	0.00275271143325782	0.0209229200433124	0.0224052871994511	0.052373781991196	0.582910432334462
S10150	0.0324649845959878	0.0223353980793538	0.00634657219007438	0.0283502833065281	4.94236415485413e-09	0.250112301924885	0.00526222901004263	0.0113390640896147	0.0222168111044788	0.0522752613260867	0.569297089430584
S10155	0.0315253213836437	0.0255967438725648	0.00593678702084741	0.0242861492098604	1.38670521122674e-07	0.235198969951907	0.00625886979912137	0.0220520110377474	0.0227234033853036	0.0490877663627269	0.577333839305756
S1016	0.024027151034318	0.0311356854822877	0.00618854697757118	0.0260656407955034	1.29711435849307e-08	0.235850005616573	0.0045173097026934	0.0221809257810396	0.0217420606614365	0.0490548908224766	0.579237770154957
S10163	0.03668055782752	0.0206191580602173	0.00627456035104328	0.0278162253037578	2.57516860092925e-08	0.234151637899733	0.00946517464684132	0.0120971815020734	0.0213773437000969	0.0544736613155372	0.577044473641494
S10167	0.0332644418657576	0.0217161024183443	0.00552948213595358	0.0269534688132675	3.68322285976066e-08	0.232560140237752	0.00013882343846542	0.0171789603978422	0.0234630969922676	0.0565175499066852	0.582677896961436
