B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
Mix_1	0.140322846357152	0.0128724988106964	0.0115617493042985	0.0041306043854084	0.00141844505726228	0.00177089420667766	0.0016786256017304	0.00454370991265701	0.41255757645084	0.189204143590112	0.00587082483673674	0.0163606431896028	0.00943941589870485	0.0578469084684975	0.00187136200179459	0.023321737828766	0.04354364932754	0.0340111530971211	0.0180859879613343	0.00507701726662155	0.00451020644644684
Mix_2	0.351343076340081	0.0123299685294302	0.00427305992194885	0.00197401013199774	0.00309269986117637	0.00271412890918384	0.00413070517314431	0.00260672231840942	0.212289361587078	0.162903657718274	0.00404385803236455	0.0147042771164764	0.0102166460725885	0.0609015029829972	0.00289757680656765	0.0284950510805002	0.0793938524157632	0.015749893751334	0.0160722119724859	0.00593693026275432	0.00393080901544418
Mix_3	0.12129889416733	0.0234908814547062	0.00759468366063064	0.00223593312718267	0.00216154584141648	0.00104045682955552	0.00198495170293391	0.00160369219457548	0.213086180988047	0.270944259475382	0.00774956660200189	0.0123290842144259	0.0126102114157534	0.0685329176844117	0.00333070769635747	0.0296303125298629	0.0519226686327965	0.128751071297426	0.0298560937542233	0.00450493507313399	0.00534095165784813
Mix_4	0.212553940113822	0.0216699873109062	0.00392824531458491	0.00102931793030396	0.00268106343408383	0.0018614694185736	0.00175250941397823	0.00208535215186648	0.137114591897529	0.263041954490713	0.00742956811756323	0.0071901891524411	0.0140211561004592	0.0692879484728538	0.00337953564656713	0.0397668570916181	0.0818122123018011	0.0905648699683738	0.0273091919847292	0.00638682611206098	0.00513321357517164
Mix_5	0.497299378964588	0.0101741381208729	0.000863249568126749	0.000521663782050651	0.00123678023783588	0.00428110235248428	0.00548606622184589	0.000227662913738812	0.0491415944598436	0.22155473123022	0.0064613439666824	0.00715590781797284	0.0103804598600244	0.0565087037719964	0.00286064512371653	0.0157514705105784	0.037475431527006	0.0427901000667396	0.0228524059079506	0.003088743741681	0.00388841985404518
Mix_6	0.224442679300034	0.0109481744242632	0.011811080311142	0.00437984843987212	0.00125987198283405	0.0018507042278491	0.00354037140987784	0.00456778607881945	0.426580883882561	0.136843126900085	0.00354856713226448	0.016444994910082	0.00510616997980276	0.0496287924075325	0.00294830607564569	0.00859060847439867	0.0151354307390689	0.0529246089435408	0.0140665144923373	0.00157153359037744	0.00380994629761088
Mix_7	0.281143138882787	0.0213622004435314	0.00194888337051537	0.00116407974591939	0.00340299085092842	0.00297726838773846	0.0037832719735384	0.00153719203610446	0.0963475876661535	0.184607476467541	0.00484105264684637	0.00556672929574463	0.0146690093849549	0.0783551064988499	0.00142803718796778	0.0463284657780607	0.0993177730797997	0.119769031946879	0.0202208036715324	0.0084567935477598	0.00277310713684694
Mix_8	0.330907571135354	0.014258618689625	0.00727030962344002	0.00243841961808118	0.00307535607575182	0.00293991388587203	0.00320542971480657	0.00364634409063253	0.313379607309489	0.035804486037006	0.00127437165698003	0.0130790024412781	0.00773617827490878	0.0663387983389872	0.00179627649418347	0.0402463242242985	0.0855802968820536	0.0528190861978804	0.00611092629820514	0.00764734093950414	0.000445342071662604
Mix_9	0.322181238498737	0.0167404101845932	0.00587730713661795	0.00210650689353642	0.0024917764178828	0.00321603206070186	0.0033841189311321	0.00142830346472901	0.17957850739134	0.194141559490192	0.00554566608780432	0.00987307481978291	0.0109691078243707	0.0618237427235994	0.00290552081888144	0.0262439462650478	0.0652360027807824	0.0572581100829497	0.0206099237557572	0.00462041503393236	0.00376872933762907
Mix_10	0.353961901367878	0.012728697985919	0.00792413447838161	0.00246499826103025	0.00104063873073473	0.00262445011507439	0.00371103183625785	0.00230355136605639	0.26992756077389	0.127619337962216	0.00436612607482755	0.0135411644653328	0.00841821624981666	0.0555631914542357	0.00186619074247446	0.0130321262399587	0.0209619913035645	0.0794737185221166	0.0144610527901895	0.00172335336350924	0.00228656591653615
Mix_11	0.317126712062835	0.0144104142361595	0.00432830789233333	0.00130095267858632	0.00543414506172676	0.00253006071428909	0.00255640653817075	0.00171793565164403	0.14779247172074	0.178763791219707	0.0057575371822904	0.00850776670215457	0.0143135878704828	0.0727692290631296	0.00277140750434011	0.0451800236291089	0.117038441569053	0.0234617038454025	0.0204295425945742	0.0106654966040961	0.00314406565917635
Mix_12	0.0713993719879821	0.0195559699045538	0.0124232565232192	0.00433812975119926	0.0015096151373753	0.000518223764471561	0.00121846754170229	0.00457335302191401	0.377237475312795	0.215030886002563	0.00550356527139362	0.0138807105798951	0.0119419407825782	0.0627664210902488	0.00272479688265159	0.0273836599379447	0.0613227107929388	0.0755843367539099	0.0241976008115474	0.00349659838750793	0.00339290976160774
Mix_13	0.425798683896458	0.0146563777461584	0.0061346031228861	0.00124256186129298	0.00273628847469361	0.0035791339192524	0.0048460769034577	0.00224675136650019	0.132671970360927	0.139755497268031	0.00344491521283585	0.0155295315516312	0.00893782154497002	0.0610344518548299	0.00198604915445657	0.0234368479729764	0.0485130645425944	0.0819671955540378	0.0139084733000451	0.00454158071180973	0.00303212368015591
Mix_14	0.168378434672088	0.0288912798462898	0.000561890687713066	0.000842259742064627	0.0036696959579316	0.00161803108554585	0.0028662556212642	0.00111222188374266	0.0438281133158347	0.303720769280934	0.0090252817824851	0.00511956150275942	0.0151142007232017	0.0767690477986336	0.00378214627350412	0.0447713580722305	0.0970437765608706	0.145088167615049	0.0324855752939057	0.0088216820685723	0.00649025021537966
Mix_15	0.225457045420861	0.0177869199395402	0.00699531436759307	0.00151353449511246	0.00409458882661271	0.00139527953898718	0.00212351314271579	0.00257028278136379	0.171502420096872	0.155058908891618	0.00442563766923553	0.0095709375226462	0.01513819178925	0.0781075240749599	0.0019697213403194	0.0590059277581701	0.127563064479601	0.0829262938666248	0.0178620802114394	0.0118140698536069	0.00311874393287052
Mix_16	0.321192969303648	0.0146894606070298	0.00566446106036519	0.00274194702463566	0.002831091817113	0.00294014465621866	0.00333304193980682	0.00254672287354187	0.238449381836646	0.0924365996594855	0.00267070082581784	0.0114811070920947	0.00915712263433054	0.0648434382886863	0.00160910652453435	0.038424472116569	0.0812591532146331	0.0841652214167397	0.0104941382606593	0.00730331491688181	0.00176640393056267
Mix_17	0.263610648208589	0.0172513873482181	0.00615966782754524	0.00134273156209715	0.00382301245050982	0.00173365984362375	0.00263850315299969	0.00227204613290085	0.158061791413725	0.147861516441107	0.00369996234202581	0.00572800559773521	0.0112562597444568	0.0719385802821602	0.00313610077142117	0.0500630933457318	0.108571008996117	0.10987041620471	0.0171755236869222	0.01006500687526	0.00374107777214295
Mix_18	0.23605869336338	0.0124251054815181	0.00695488550463417	0.00206009433874025	0.00678892254700879	0.00123478498297031	0.00404814004651339	0.00174871935876553	0.230255387059486	0.0912837226313273	0.00128985504250437	0.016112942026875	0.00926456058581564	0.0775040547268857	0.000401944001691724	0.0653788797217945	0.168613749710415	0.0437789796083194	0.0106711581007927	0.0133541103645911	0.000771310795971566
Mix_19	0.11797964955352	0.0161021055213907	0.0108138393810732	0.00338306146764297	0.000770270275742002	0.0012557310427702	0.00127957389799977	0.00361857733472885	0.369666926402728	0.2046806707057	0.00579953578602974	0.0169972626019222	0.00731635527554317	0.0579996012906425	0.00206562883509522	0.0192432999990599	0.0315848010668261	0.103961909901937	0.0187679891501994	0.00333195716684481	0.00338125334260376
Mix_20	0.325379781645095	0.013420629169087	0.00695813516914188	0.00279723060669744	0.00175254204543059	0.0024225327250833	0.00342838641936786	0.00282512374206634	0.283342464159869	0.106865145431936	0.00310899027130065	0.0157904660229031	0.00740246963735834	0.056793806220171	0.00222086301162624	0.0269048559661448	0.055009695522416	0.0651982168759252	0.011209545699065	0.00470973659663126	0.00245938306268376
Mix_21	0.281715389577374	0.0130395726672034	0.00982834637046517	0.00352977820586623	0.00118521962219402	0.00220028437232648	0.00334867146818411	0.00373391634829256	0.365683412748589	0.0758667615217984	0.00179664062478722	0.0178960937820138	0.00804447270296391	0.0578232512900515	0.00182629488668563	0.0242764161453143	0.0477915125231307	0.0660747890555625	0.00830140353225681	0.00417217607127483	0.00186559648366566
Mix_22	0.119576561797047	0.0150543739832365	0.0109717454106289	0.00387979585308486	0.00103045662049439	0.000896248712859392	0.00275510859557496	0.00465594041606692	0.420355800889443	0.164919854166112	0.0041237473360614	0.0186945089975652	0.00988775610165337	0.0561371462132163	0.00223299034514667	0.0225363147973033	0.0376686137645059	0.0806581716456343	0.0183469305506844	0.00285218810254815	0.0027657457011329
Mix_23	0.457496304851341	0.0109754882707715	0.00612395019148843	0.00139378809253147	0.00255116332629849	0.0035726606470096	0.00483766153839393	0.00123605275816642	0.174710087723468	0.104667332132405	0.00284377192031306	0.0123668352469432	0.00891834050117478	0.059800683172549	0.00254047547557142	0.0299681314531615	0.075857516763285	0.0229941669224191	0.00865979633708417	0.00565880904244548	0.00282698363317893
Mix_24	0.0100103919620196	0.0263102932690268	0.00802401420150132	0.00532289887441673	0.00629643032773544	0.000296650637883663	0.000451480517515688	0.00425963603127879	0.354731250631037	0.0611863320896833	0.000807411725444569	0.0167300374266384	0.014239034779536	0.0876271411824292	0.000418782814290365	0.0744916259003705	0.165084805444685	0.136180724489343	0.00945528742377875	0.0158110750976315	0.00226469517375428
Mix_25	0.450886145183502	0.0182435975874077	0.00119997473851438	0.000630829025581999	0.00285311247810735	0.00368913526972933	0.00473959384130045	0.00102902649731493	0.0720288063205018	0.138918929504458	0.0039395946881829	0.00708500093901506	0.0100797692239259	0.0660730688160409	0.00223199240844451	0.0355903295656355	0.0694089068586208	0.0877318263120736	0.0150944571375628	0.00596799978761814	0.00257790381646168
Mix_26	0.354347289969659	0.0167863286436956	0.00355220100659702	0.00216339670044348	0.00226911153779473	0.00342624537537087	0.00569617536077916	0.00220942037015947	0.1412205672252	0.0936075392902747	0.00282345656961747	0.0155548473328076	0.0119528023489237	0.0720959554594149	0.000368881282406695	0.0451104838623168	0.101100957423963	0.102782942404289	0.0117995102670209	0.00861744989564579	0.0025144376736202
Mix_27	0.334502101477233	0.0167163022121551	0.0108050724400107	0.00358345446757417	0.00109119768327233	0.002663498417178	0.00330666581351072	0.00397905507653303	0.314150792787588	0.0155612251041363	0.000157987737600857	0.018217744303723	0.00661519008320751	0.0623891449521208	0.000988532811940339	0.0279054387576269	0.0429432779206783	0.125291603852797	0.00534567566601134	0.00332428593113569	0.000461752503966393
Mix_28	0.242630272612442	0.0105713333332998	0.00884781918986109	0.00316609565458455	0.00205013036568105	0.00190135209260065	0.00314969873036685	0.00349280941039437	0.335354333013745	0.138202672473213	0.00346447817935902	0.0160623581021287	0.00809539043864986	0.0580977820923406	0.00268414585580105	0.0240954557973862	0.0570571011026475	0.0567157283502694	0.0155598951391092	0.00601710670459971	0.00278404136151984
Mix_29	0.390632755719747	0.0195628370550812	0.00188059768583314	0.000942911532075519	0.0039893679330063	0.00314790123441483	0.00405636767798762	0.00124513471086363	0.131406607020238	0.0901885520295475	0.00182860476887393	0.00726695396952158	0.0100326951361103	0.0733824782483184	0.00171865697210872	0.0436389345929635	0.094121493894295	0.100725332365467	0.00948553405567427	0.00828543485690314	0.00246084854096929
