naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
S10001	0.041476756070845	0.0740163863479106	0.076232686475865	0.0579321273347891	0.0367960897404195	0.0652165171971595	0.0725898640040703	0.0731337594315496	0.0226514998980278	0.0416393043098864	0.0177549652095143	0.0395682409984344	0.0649958283932499	0.0289411751677574	0.0482308746910906	0.0371264711355958	0.0217307191223343	0.0594161273095981	0.0213295253187172	0.0992210818431852
S10006	0.0412347177697784	0.0720165381730469	0.0777329133609832	0.0546769237769093	0.0409530681346912	0.0750924936899829	0.0710464522152763	0.0738126813967659	0.0229661899802146	0.0411467832553934	0.0180084281587387	0.0390329464543722	0.0641142424860041	0.0280844659982177	0.0438285838318882	0.0362375532800545	0.0222844744024099	0.0589486605211137	0.0212537531893834	0.0975281299247756
S1001	0.0384263455673537	0.0721234857696365	0.080975372251564	0.0553471434788116	0.041065864675867	0.0774534480663851	0.0701546231463958	0.0721306527459008	0.0237840660917439	0.0406383343669326	0.017822298394075	0.0394004114336778	0.0640405472845255	0.0276289515156173	0.0450389157320212	0.0364254353407734	0.0217994082969834	0.0602133773310476	0.0211950083134441	0.0943363101972437
S10010	0.036871268543541	0.0718843094051824	0.081553370984145	0.0578378926866614	0.0399385417922071	0.0709295186613096	0.0779881303593471	0.067034958414605	0.0239805715213314	0.0411011208878758	0.0177030711851895	0.0406062439674018	0.0629949679181801	0.0288740794066371	0.047001776133277	0.0368094695226163	0.0217441821628586	0.0578416635983038	0.0212389257251578	0.0960659371241719
S10011	0.0405159039355849	0.0728587952962333	0.0808050805509417	0.0579152021865051	0.0382918306119428	0.0663961332047088	0.0713623059500635	0.0733168075307014	0.0236114338700244	0.0410492776930647	0.0181197536764187	0.0399757305088807	0.0645854637724035	0.0281556871339585	0.0437902526761281	0.0373402267016044	0.0223979367038791	0.0590140204415144	0.0215233734000471	0.0989747841553949
S10014	0.0398701381053438	0.0744530126590819	0.0774010198463722	0.0551313202727964	0.0401551655227408	0.071980722999924	0.0713348237866314	0.0705422168824966	0.0234409734150023	0.0402415134267438	0.0176907120851089	0.041154992874162	0.0642028697054228	0.0292225505517639	0.0485335961954115	0.0363925330270886	0.0214583933326654	0.0587130980937142	0.0212117914706753	0.096868555746854
S10026	0.0382456943523929	0.0705820059141065	0.0806311346758799	0.0546781934010316	0.0429605766986416	0.074371990732415	0.0748372702321499	0.0729951159106862	0.0231033523158339	0.0413894039054208	0.0168653762897622	0.0396375917689822	0.0624666333368695	0.0280482852652288	0.0454890644525157	0.0368171286036834	0.0223746478130038	0.0599733661766314	0.0209465684555662	0.0935865996991985
S10032	0.0404849961266545	0.0725384783883779	0.0822255319532661	0.0581153170268119	0.0414431529820494	0.072135907635845	0.071899189323286	0.0692445557750736	0.0227882647490339	0.0396787616180131	0.0185699820953415	0.0415273353183906	0.0617383723451392	0.0283822084157563	0.0438835999070653	0.0372434363729034	0.0220326804681496	0.0597342693434246	0.0213749754775173	0.0949589846779007
S10036	0.038133413584384	0.074756055599373	0.0784419778567016	0.0536936994876896	0.0417504330415471	0.073810154976696	0.0716412685472775	0.0749027706340879	0.0227002072584353	0.0401815837369547	0.0178068555008479	0.0393029054788928	0.0637111017597828	0.0285752999100789	0.045816054652465	0.0347114067726999	0.0218217674099971	0.0594945143883804	0.0208972060518047	0.0978513233519036
S10042	0.0398828145368823	0.0730180287229879	0.0799323570287399	0.0554194164804805	0.0412559047224269	0.075029699368031	0.0742659692045906	0.0703766178389893	0.0234245525138926	0.041623686173364	0.0174137657227465	0.0388085550378119	0.0631477523307585	0.0288090645400094	0.0448834515440166	0.0372576862610836	0.0221269996619606	0.0581992198317686	0.0210816622703789	0.0940427962090804
