naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
Mix_1	0.0674055299591096	0.0277154155000009	0.0833301158956603	0.0602347504334894	0.120310913407575	0.0485335700020865	0.0341432702681582	0.0780924881451561	0.063343298461946	0.0343309643655438	0.0312867986085699	0.0765922131182425	0.0109508641165951	0.0139910948843148	0.0204261864752885	0.0617007577313759	0.0470483462104268	0.0422153571877582	0.0338137139463369	0.044534351282366
Mix_2	0.149189255892566	0.0568758183385099	0.0448790979569704	0.0486604666002019	0.126850564254684	0.0349164515289022	0.023551982522479	0.104668629491263	0.0478002843422498	0.0269210727043401	0.02272428911398	0.039266485828515	0.00986528758380361	0.01103017795201	0.0171979704721289	0.0892230027781793	0.0519689423445956	0.0273530000678534	0.0332469652249742	0.0338102550017939
Mix_3	0.0595300782862643	0.0303808052051297	0.0392881703210906	0.0406104340560643	0.151809491600917	0.0570927595221503	0.0197680980033502	0.0802332181897818	0.171898776255805	0.0290745684378614	0.0187589980764568	0.0466706322383077	0.0158855966484875	0.0120396181866477	0.0180710708600051	0.0664126312325398	0.0529257997923212	0.0305276873231861	0.0298581545063952	0.0291634112572385
Mix_4	0.0914706708613639	0.0368643780962453	0.0283731005446476	0.0360213775156285	0.146445650795666	0.0555863487623644	0.0179704782824952	0.106963176291985	0.13752930618488	0.0238412885198332	0.0155606404970794	0.0353974547141763	0.0140022172502384	0.0118433757705196	0.0155745523529726	0.0894751676244026	0.0563742076220214	0.023780368701605	0.0281332298319663	0.0287930097799094
Mix_5	0.232371600219995	0.07666715403265	0.0175839618295617	0.0322932062965736	0.162643375307102	0.0609386589890857	0.00990206137088721	0.057027127048747	0.0740757730108419	0.0215078742277296	0.00992446737619848	0.0189966377681645	0.0108101960537107	0.0106796781549603	0.0150070425151402	0.0664557466774243	0.0473098193898238	0.0115160538487225	0.029356288509404	0.0349332773732768
Mix_6	0.108051950496878	0.0364128653340485	0.0929783823081245	0.0691919113210061	0.120450095310342	0.0349245445152034	0.0375914858944428	0.0305220508387098	0.0780428182721494	0.0341032235047579	0.0332304229341947	0.0775357852819882	0.00991480601433671	0.012101989423526	0.017581005592153	0.0395862221411693	0.0443465935940962	0.0436517207024298	0.0359569787917874	0.0438251477286558
Mix_7	0.107801449271114	0.0418514850463895	0.0233202749260453	0.029575604268297	0.126785401170496	0.0400906670590233	0.0130917174728307	0.126828841944679	0.170398838237522	0.0189451250084908	0.0128022042874732	0.0252947602681192	0.0168445365903777	0.0101268688952157	0.0139708665620468	0.100562002938689	0.0601339895509429	0.0127484080025046	0.0241376522736833	0.024689306226059
Mix_8	0.129779957657841	0.0572443225018087	0.0620795555505278	0.0510360711070485	0.0713953923543084	0.00950934117192903	0.0248765036619437	0.121623308258362	0.0990048790154888	0.0285865269513765	0.0269065685285234	0.039498362535831	0.0131725451077814	0.0105676492834185	0.0125953435043872	0.0867890318608769	0.060533363956636	0.0309385008133485	0.0256582219186044	0.0382045542599587
Mix_9	0.135957987748025	0.0494298868614173	0.0435939502499166	0.0438249473499428	0.132597647615778	0.0422874964487689	0.0161842985896042	0.0851049208714311	0.0980998934097299	0.0225017122903584	0.0184668945757457	0.0434905572694509	0.0143164576664046	0.0113152532554659	0.0151271393095771	0.0843256885803737	0.0521620008186947	0.0260488723388387	0.0304774630386599	0.0346869317118169
Mix_10	0.151989941004785	0.0546956945320007	0.0599480657580068	0.0549025616792276	0.118570624708777	0.0378315841182422	0.0257414891629228	0.0380308557290012	0.108671742254646	0.0235702387320324	0.0237342944228447	0.0540361014528991	0.0136025488516818	0.0107960590248244	0.0158212536308388	0.0495796129179206	0.0493171770493946	0.0323549503783927	0.0322047652119549	0.0446004393796063
