B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
mix_1	0.0305657787152797	0.0109133217374781	0.353169530219545	0.0397991870569709	0.0514943903126502	0.0198373109564742	0.074953773142536	0.109539038969622	0.00897968353766297	0.0824148410139769	0.00289471193521323	0.00722172061931133	0.0319923173529069	0.00640990326547123	0.0224674211047714	0.00922817373330884	0.016519410728336	0.0118260584932336	0.0698939662092417	0.00716105843458514	0.0111585411272513	0.0215598613341734
mix_2	0.0182690026775347	0.00951276243806961	0.436974766938649	0.026171484970801	0.0288479052832877	0.0227336876906788	0.066971418984475	0.088185970125002	0.00575214731313863	0.0886364948794022	0.00366510726275941	0.00803226360787434	0.0411883560975509	0.00804128396666116	0.0278091272494603	0.00720519341515399	0.0143035126895244	0.0112587030418328	0.0430201268111452	0.00710164211935704	0.0131307920633795	0.0231882503742618
mix_3	0.0990167436190222	0.022674627505982	0.117588931411167	0.0280496299320782	0.0432883555882798	0.00735521955895079	0.15348029957171	0.227437411597814	0.01146200198725	0.0940141607521302	0.00168697719280036	0.00347712728494777	0.017721545770129	0.00448946676511518	0.00842810147993423	0.0192628333922319	0.0260375349984719	0.0139135137929442	0.0670249738732736	0.00600967535934023	0.00879412702731451	0.0187867415391132
mix_4	0.115842353861409	0.0301853875539175	0.208220970204447	0.0322194898489851	0.037364164368307	0.0118346724079084	0.110849560098248	0.152677651193371	0.00847888050305701	0.092223968982794	0.00199664689407651	0.00478700003125291	0.0223896660623853	0.00537990079163327	0.0121896411735021	0.0196527410850391	0.022742732324585	0.0126762234702629	0.0632046892073213	0.00630449891956604	0.00834209182104199	0.0204370691968887
mix_5	0.0845192582438682	0.0250309315712852	0.160902973662361	0.046158751738116	0.0611583611019451	0.0108409559248657	0.11485246750499	0.140088084817093	0.00865964709421787	0.130951793786227	0.00173419764572552	0.00495029457096895	0.0228707926436368	0.00473650172415513	0.0123385555578861	0.0175233534963547	0.0224150904535727	0.0126304773361046	0.0823449029559596	0.00627337592898223	0.00946950371883836	0.019549728522847
mix_6	0.0733318221083517	0.020043226553622	0.266242157363041	0.0304429202478137	0.0404431177842003	0.0142203049754794	0.0986092292331993	0.137827765325611	0.00722813506139813	0.116616299150121	0.00196367787935002	0.00636973320845424	0.0271119481098149	0.00553164579081188	0.0149930695028233	0.016316280261089	0.0192556421513861	0.0111608676339693	0.0549374243263053	0.0066571205108665	0.00953438469374412	0.0211632281285476
mix_7	0.150718662009597	0.0371592722450407	0.136682130843335	0.0325130214143323	0.0477377318740562	0.0090261348937613	0.113036658099659	0.15907005776068	0.0103989138773103	0.0894442324079402	0.00159331174926509	0.00476806979893075	0.0213600816995406	0.00446215660373118	0.00964851461406451	0.0259439094385076	0.0236790509909104	0.012981214202524	0.0738614509647125	0.00629827962378322	0.00862088992338471	0.0209962549649326
mix_8	0.133059171524008	0.0368241705707027	0.332036967212738	0.00883615638280001	0.00834659754742265	0.0154610470928343	0.0851763368389143	0.132007669985576	0.00609456475696442	0.053031139470138	0.00326340107870683	0.00754016173642261	0.0321650898439129	0.00616188112812386	0.0197638868354142	0.0228067528881579	0.0189985154135801	0.00978438131548132	0.0215375687367881	0.0096853083538301	0.0114591216225268	0.0259601096649561
mix_9	0.0375990607765367	0.0127284411307155	0.281986227903428	0.042909982771131	0.0576573002260525	0.0159751646736632	0.091342809136717	0.139656297284437	0.00898474536510306	0.0887778421946933	0.00279906190169012	0.00505193507884317	0.0336427805309741	0.00757609783829962	0.0172382656285933	0.0104816321733879	0.02135860485778	0.012168132333364	0.0766087806093678	0.00617515042751316	0.00898350089600734	0.0202981862617022
mix_10	0.181849709851974	0.045476050913535	0.182656230234959	0.0116907379109336	0.0130132330234229	0.0101943336380297	0.119105649591142	0.133404432548552	0.00605437898789188	0.111722493815037	0.00236133244605601	0.00629169778821969	0.024899309520236	0.0053484298135358	0.0156160646990856	0.0295954558105121	0.0204667546565933	0.0108515394173736	0.0284968894678471	0.00827952598808496	0.00864892027237303	0.0239768296046067
