Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE
Mix_1	0.0427211339536961	0	0.195930410879671	0.0717238314484263	0.112940342248112	0	0.022959825336988	0	0	0	0.0253055237219506	0.0173987379671635	0.0314833126389765	0.125462129478068	0.00465886541306557	0.00405700375424648	0.0245816848719726	0.0282899452483311	0	9.2744934279699e-05	0.0266706466673596	0	0	0.0325338715630226	0	0.0107592301988341	0	0.0667409900144699	0	0.00266022716595063	0	0.066396078032736	0.0773913028943424	0.00924216156833677	9999	0.4069059912469	0.913880036357816
Mix_2	0.0454497671612128	0	0.214667568130022	0.0357249235951232	0.102023068403568	0	0.011464587452365	0	0	0	0.0356493044768248	0.0174332214964431	0.0273897342853736	0.118511201473293	0	0.0150381115454977	0.0318274511157935	0.0196928039653871	0	0.00330385116735546	0.023869000133727	0	0	0.0287321245026704	0	0.00335085345649357	0	0.0674223856773338	0	0	0	0.0544683217729352	0.134467841238826	0.00951387894975449	9999	0.394062217493184	0.919510734635188
Mix_3	0.0506979328440282	0	0.189904508569949	0.0360762389396134	0.137266107874584	0.000868230582306604	0.00591722405700671	0	0.000927505367880263	0	0.0279936782136209	0.0245297357342778	0.0273031802408254	0.125533048963622	0.00136676157128382	0.0169659212776578	0.0346045797020944	0.0119444375376968	0	0.00264143645689029	0.0162819884193307	0	0	0.0264230107939802	0	0	0	0.0712475006774812	0	0	0	0.112606461245917	0.0789005109299544	0	9999	0.404298143160079	0.915077643208437
Mix_4	0.0451727395266938	0	0.184837548858238	0.0219831318231959	0.117873720852644	0	0.0135415547645025	0	0	0	0.0403083074906545	0.0169914474082024	0.0260627947102994	0.118601542062336	0	0.0166833536511154	0.0295563703604966	0.0121657266249661	0	0.00515487137062255	0.0226803483835054	0	0	0.028312224364577	0	0.00586004063486888	0	0.0542741200217591	0	0	0	0.0726518718321613	0.126551963112111	0.0407363221470495	9999	0.40082822379888	0.916328209534154
Mix_5	0.0482168887630197	0	0.249948106401161	0.0120258815396798	0.123135810249636	0	0.0149820985883046	0	0	0	0.0467298508392175	0.0189691398280567	0.0241722681933992	0.121983433063315	0	0.0169683827003467	0.0244591805545452	0.011765773203041	0	0.00318765106962536	0.0255604841800614	0	0	0.0273222965008622	0	3.71480523321059e-05	0	0.0570735397506816	0	0	0	0.0814059958523629	0.0741873903144604	0.0178686803558922	9999	0.392139182240914	0.920601227396252
Mix_6	0.0447682135112045	0	0.225652960880573	0.0834279868631698	0.0934274632370685	0	0.0126520602133839	0	0	0	0.0324061895276023	0.0188907999189903	0.0296080072973538	0.130687750550073	0.00487555287481459	0.0114725672055372	0.0322640988927916	0.0317053525264784	0	0.000626624812956849	0.0274140756435538	0	0	0.0304153280814606	0	0	0	0.0721655658426509	0	0.00313941064679463	0	0.079830473215266	0.0299321947611145	0.00463732349716204	9999	0.398738352949276	0.918434585203615
Mix_7	0.057849864482049	0	0.202742784682534	0.0144378978797457	0.0924776365946771	0	0.00912414748009068	0	0	0	0.037801207033259	0.0312264298068319	0.027449670364053	0.123486985245237	0	0.0182974009076738	0.0277951316523224	0.00873572846405769	0	0.00337190572518488	0.0203243219487991	0	0	0.0252090484593012	0	0	0	0.0647201712464736	0	0	0	0.100124104976216	0.130467547160828	0.00435801589066686	9999	0.387871449182233	0.923325572308925
Mix_8	0.0428554604715899	0	0.21931686801597	0.0528875205943107	0.0310912985588497	0	0.00949248993213755	0	0	0	0.033654012751152	0.024215699375011	0.0279165961773954	0.118512645820226	0	0.011475298239697	0.0314257207372245	0.0228678090238231	0	0.00443134041752825	0.0261139995465193	0	0	0.0284685793777277	0	0.000770215325546083	0	0.0701033463811629	0	0.00116257896171626	0	0.0498676714943214	0.158697208689605	0.0346736401084855	9999	0.385313414339278	0.923575632361153
Mix_9	0.0467321764952318	0	0.212864563661982	0.0301924235731857	0.102501465946985	0	0.0124405812308645	0	0	0	0.0402235303359993	0.018437681402191	0.0256686180359759	0.117867854154289	0	0.0158418742474147	0.0288663255480712	0.0161106240936061	0	0.00481071550899893	0.0225402015209558	0	0	0.0278251346639559	0	0.00405727758879944	0	0.0603352368940923	0	0	0	0.0662928986279568	0.115019661154823	0.0313711553146215	9999	0.394433434296024	0.91931838136521
Mix_10	0.0475862135825649	0	0.249699039372788	0.0557738754622111	0.0825317629378362	0	0.00880995529533987	0	0	0	0.0274039048481887	0.0233737140432712	0.0256542112107829	0.128370947227929	0.00470719532637477	0.0138190741949103	0.0353174864210192	0.0219598058835748	0	0.00179708201935012	0.0219071921109361	0	0	0.0289890900466486	0	0	0	0.0732508698165603	0	0	0	0.0937794975173571	0.0438895028811031	0.0113795798012531	9999	0.391787400409442	0.921351551294354
