Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
Mix_1	0.48853313382352	0.192056308686035	0.247819580097509	0.0440265370107179	0	0.0275644403822184	9999	0.66656850492679	0.796717391264467
Mix_2	0.526238590144383	0.240534324407665	0.192962899288921	0.0336203089591568	0	0.00664387719987407	9999	0.667003048025063	0.797572015875775
Mix_3	0.38332863038144	0.236797273014202	0.322406616453898	0.0574674801504594	0	0	9999	0.658569768441011	0.809310495746016
Mix_4	0.415120277165406	0.236291004518317	0.297399813710259	0.0511889046060179	0	0	9999	0.661035312926518	0.806088071405693
Mix_5	0.500395055191865	0.224748190985287	0.210578497384043	0.0642782564388054	0	0	9999	0.652203369953759	0.814668172902933
Mix_6	0.474563839478397	0.195947683847836	0.223381907204442	0.0649685721800335	0	0.0411379972892917	9999	0.66180125621489	0.800682074313931
Mix_7	0.42606791203489	0.27003802766551	0.256611860764438	0.0472821995351615	0	0	9999	0.663288088360049	0.803226717474531
Mix_8	0.542416216342543	0.268672582908572	0.122612137033221	0.0563092293894907	0	0.00998983432617316	9999	0.670958308649113	0.791432721644919
Mix_9	0.491377748149317	0.220471034437064	0.242858912826571	0.045292304587048	0	0	9999	0.663406370759762	0.802451897173786
Mix_10	0.492653870715241	0.223691217008543	0.213235048411368	0.0644244692127009	0	0.00599539465214653	9999	0.659985450953653	0.80518307350489
Mix_11	0.460326362106431	0.292406363567539	0.211340836531871	0.0359264377941592	0	0	9999	0.668403731002598	0.796993543386813
Mix_12	0.431137840091563	0.207739041088942	0.294307426630301	0.0528800510641403	0	0.0139356411250541	9999	0.666638379601358	0.798104949656093
Mix_13	0.472052423636084	0.263307299942559	0.203530864652903	0.0611094117684538	0	0	9999	0.659913291517635	0.80598252121327
Mix_14	0.351096785515172	0.277138987413434	0.310581331753609	0.0611828953177846	0	0	9999	0.657631546905537	0.810694175554791
Mix_15	0.414970126267469	0.308685269327938	0.227682334072194	0.0486622703323993	0	0	9999	0.67035991576382	0.794791078031572
Mix_16	0.50616920205519	0.254532336019168	0.186937092137667	0.0503121668958209	0	0.0020492028921544	9999	0.668396663559643	0.795791920496558
Mix_17	0.385200605353661	0.328398997490781	0.225321666517926	0.0610787306376322	0	0	9999	0.66753686008272	0.798144023208399
Mix_18	0.426048699769118	0.346180323499654	0.17474447361287	0.0530265031183581	0	0	9999	0.673684063339828	0.790375773780431
Mix_19	0.465309199041089	0.156446276675278	0.320068439243768	0.0399847276799472	0	0.0181913573599186	9999	0.662624725417111	0.802890065946459
Mix_20	0.468371291876409	0.261110809105798	0.200850665766282	0.0644464901908818	0	0.00522074306063027	9999	0.666382171608054	0.797846579171078
Mix_21	0.478154568729597	0.257511829215035	0.182272704823828	0.0707821793076694	0	0.0112787179238707	9999	0.667688012035495	0.795467222637255
Mix_22	0.478605414491094	0.163388781038686	0.277791455304018	0.0593479252218198	0	0.020866423944382	9999	0.665545875519603	0.798198351382464
Mix_23	0.550655297103458	0.248193977413069	0.149014668109555	0.0521360573739175	0	0	9999	0.665248844782594	0.799158036858547
Mix_24	0.395340216903009	0.320285374666074	0.222034211776912	0.0604061099572459	0	0.00193408669675979	9999	0.674479873279433	0.789526871694029
