Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
Mix_1	0	0	0.00448245758400014	0.0271959983341902	0	0	0.114509823592444	0	0.189199277022411	0	0	0.0516827238489822	0	0.0157740364927789	0.00348444128384974	0.140081056989237	0	0.380189115679272	0.0734010691728339	0	0	9999	0.378788575675487	1.06949409094496
Mix_2	0.0291130287956672	0	0	0.0248274436285497	0	0	0.104747405641275	0	0.177819982067519	0	0	0.0564906131218761	0	0.0142507279647161	0.00217832664114741	0.112755347834828	0	0.401836692204265	0.0759804321001571	0	0	9999	0.372495723958061	1.07517713531194
Mix_3	0	0	0	0.0257741163079218	0	0	0.107816722031573	0	0.153786927653216	0	0	0.0528194743968263	0	0.00830873865714791	0	0.127618211211504	0	0.453797862900219	0.0700779468415918	0	0	9999	0.367712809408954	1.08187659383458
Mix_4	0	0	0.00485563663191508	0.0276771651746321	0	0	0.109703825109699	0	0.145797316872944	0	0	0.0494234127877156	0	0.0104256703657783	0	0.123331932594919	0	0.452873991993716	0.0759110484686799	0	0	9999	0.368336058550749	1.0810257816927
Mix_5	0.0707960855492941	0	0.00578407717848812	0.0308677959709831	0	0	0.0999109953201004	0	0.131583747317844	0	0	0.0487250488904738	0	0.0112801928657817	0	0.107869633212373	0	0.41911802786155	0.0740643958331125	0	0	9999	0.362558256575765	1.08422614392646
Mix_6	0.0136668846244211	0.00484325675538849	0.00999611487534395	0.02565352866017	0	0	0.106273095721152	0	0.189623225532894	0	0	0.0490607963084594	0	0.0189654849244106	0.00358276872119379	0.121111863434703	0	0.384583099762426	0.0726398806794375	0	0	9999	0.374323354504326	1.07235965555655
Mix_7	0.0104954541675111	0	0.00100776869923171	0.025500682142351	0	0	0.105348608755237	0	0.141616817086523	0	0	0.0522485627348423	0	0.00876853910885362	0	0.113988436964909	0	0.466110901929118	0.0749142284114231	0	0	9999	0.364896794696502	1.08443941933643
Mix_8	0.0263218881096125	0	0.00453479286542159	0.0268327843898507	0	0	0.106800658105627	0	0.18520783401782	0	0	0.0594744547274052	0	0.0141845833388629	0.00357946937105259	0.0899508987338708	0	0.40472475521362	0.0783878811268571	0	0	9999	0.369776555457325	1.07752538142871
Mix_9	0.0215589929456201	0	0.00445161517052683	0.0243689562007148	0	0	0.102806429506307	0	0.160242259339198	0	0	0.0543490965854653	0	0.00924479295102758	0	0.123469362066579	0	0.424864910683337	0.074643584551225	0	0	9999	0.369066680566674	1.08004087595515
Mix_10	0.0416519070113137	0	0.0051355236852132	0.0263279803538654	0	0	0.105876822022303	0	0.164832231024944	0	0	0.0500764485011993	0	0.0135604232896425	0.00402532534901466	0.0985681548588763	0	0.414830316999825	0.0751148669038029	0	0	9999	0.366103252351447	1.08102920389907
