Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
mix_1	0.0962544364525511	0.558062271895337	0.0181799280171461	0.0221893520261557	0	0.10392028005878	0.201393731550031	9999	0.555475652647321	0.919615091431453
mix_2	0.0726731774088728	0.658266747469993	0.0101731956480494	0.00220000153539334	0	0.0693226009277356	0.187364277009956	9999	0.551366294904239	0.928054829416475
mix_3	0.241522895507339	0.198547671744267	0.00832605187706641	0	0	0.318639955765515	0.232963425105812	9999	0.569228067521701	0.899392165804969
mix_4	0.23671419277104	0.339409726351702	0.0112885003705485	0.00955494510592323	0	0.213939394080302	0.189093241320485	9999	0.565605947714651	0.90221927640902
mix_5	0.201233215346735	0.313293851046346	0.0147745684676103	0.0102100317816911	0	0.218421397735548	0.24206693562207	9999	0.567219032834729	0.901201528130837
mix_6	0.176164347921713	0.423021590873783	0.0250785805916927	0.0110328584945885	0	0.168434365152498	0.196268256965724	9999	0.559886944241154	0.910182074081618
mix_7	0.305645119131697	0.241842529134212	0.0192963491527282	0.0203245384964842	0	0.239990507041471	0.172900957043407	9999	0.56482628228415	0.901789349952827
mix_8	0.230356796748995	0.475380908482228	0.0217394785432714	0	0	0.143096918495667	0.129425897729839	9999	0.556167494675979	0.914103593420687
mix_9	0.118401578811755	0.451062984804162	0.0218154268718277	0.0149107063927062	0	0.168864349988139	0.224944953131411	9999	0.559460858909353	0.91232148359827
mix_10	0.333276009500509	0.282970069102275	0.0214320369998652	0	0	0.231663272376312	0.130658612021038	9999	0.561630866509003	0.90453592570391
mix_11	0.0976569573193108	0.616378653211892	0.0179857120060156	0	0	0.0842087705798448	0.183769906882936	9999	0.553194793593289	0.924068900070331
mix_12	0.0809352505359964	0.541304592234038	0.00706113587964795	0	0	0.156643258199923	0.214055763150395	9999	0.554533765885013	0.920147695706043
mix_13	0.365153666332006	0.23630674490386	0.0267020106336895	0.0325808447468795	0	0.212292546571932	0.126964186811632	9999	0.562949977256984	0.902629473095178
mix_14	0.367570875246406	0.257286384801976	0.021657730171518	0.00560865324495858	0	0.212506476358661	0.135369880176481	9999	0.562348189529553	0.903267759934435
mix_15	0.333295087836932	0.145979398553423	0.043056920540235	0.0402651604332791	0	0.235364246093794	0.202039186542337	9999	0.567409596276636	0.899307935627504
mix_16	0.220473743387856	0.298828030564333	0.00813794071776233	0.000475528431890066	0	0.247557255866862	0.224527501031297	9999	0.563289787191963	0.904959356431241
mix_17	0.508797803922079	0.0199348278231193	0.0449201680984698	0.0117261851628371	0	0.306078557792233	0.108542457201263	9999	0.572529296182235	0.894201766012352
