Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
mix_1	0.0306696278740873	5.82203687581091e-09	0.211138580930774	0.0873647867269626	1.43977915959883e-08	0.066505634780411	0.604321349467937
mix_2	0.0174421485095048	5.03439235789771e-10	0.206789234953884	0.11074569254052	1.3166552317475e-07	0.0244487430831164	0.640574048744012
mix_3	0.109029151527229	0.123376635170282	0.271059690187995	0.020984810419977	1.376009590414e-08	0.0342154411217124	0.441334257812709
mix_4	0.142681951257294	0.000958050749145066	0.298730111351	0.0447072555294636	6.89753300893526e-07	0.0380925476890797	0.474829393670717
mix_5	0.0999017192345357	3.31364552852293e-10	0.373202633582054	0.0368704802453623	6.65164357085431e-06	0.0668643429978211	0.423154171965292
mix_6	0.0881907640060497	8.45643083595252e-10	0.32050310449506	0.0634849961237973	2.43455813536068e-07	0.0308223791525744	0.496998511921062
mix_7	0.187601118844722	0.00933271565264397	0.286312297810224	0.0314019012718204	1.28851165016464e-08	0.0565096878243444	0.428842265711129
mix_8	0.166069887299139	0.0641520180762874	0.129825103221026	0.0762587235222566	7.7737231677402e-07	1.82749629345367e-10	0.563693490326224
mix_9	0.039637438015456	3.60922592841104e-08	0.272679208039787	0.0657273872960205	1.03084881166901e-09	0.0738940856132722	0.548061843912356
mix_10	0.221150276888041	0.0101272601093865	0.285647627837859	0.0391484347361397	1.19932596698671e-06	3.69785591687303e-10	0.443925200732821
mix_11	0.0372152607192795	0.0364775376275412	0.138246349861273	0.106360346717372	2.89441696910409e-08	0.036738822236824	0.644961653893541
mix_12	0.0124597279677916	7.77617530221772e-08	0.311108450652328	0.0813242264473522	1.40029201299177e-06	0.0132382138987908	0.581867902979971
mix_13	0.249286932820137	4.28743697046335e-07	0.229168196078539	0.0314071840203346	9.18094666367845e-07	0.0660205163550805	0.424115823887546
mix_14	0.250300202784837	1.97376864818246e-06	0.342282718140678	0.0363614373047858	1.77492063502664e-06	2.63363319158766e-08	0.371051866744084
mix_15	0.194297389547086	4.63070731442702e-09	0.304972815351595	0.0139228260156656	0.000170750906600931	0.135545288838126	0.351090924710219
mix_16	0.121706391306539	0.0447072863310713	0.309667822696132	0.0376245749992256	2.89477711857984e-09	0.0204532426932045	0.465840679079051
mix_17	0.336425120106738	4.35557055356591e-10	0.408177095781529	0.000187358536042954	3.31810297560656e-07	6.31523366577049e-05	0.255146940993177
mix_18	0.0384201064162793	2.01048405659507e-09	0.170842819288252	0.117464665185049	1.50678451093287e-06	0.00806364004817878	0.665207260267246
mix_19	0.137196677954744	3.1253291437866e-06	0.301611748245745	0.0601169076756356	5.0794619550781e-10	0.0253496348726136	0.475721905414172
mix_20	0.0646805683920818	2.35708290073331e-07	0.622699119015175	3.36779409714541e-05	7.15562393394912e-09	0.0406013846819247	0.271985007105933
mix_21	0.160650034502514	1.75570288346156e-09	0.412402786699027	0.0321005632703717	1.62280909820737e-07	0.0126115236445459	0.382234927846929
