B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_1	0.0998	0.0478	0.1244	0.1281	0.0022	0.0874	0.5102
mix_2	0.2095	0.0361	0.1242	0.1324	0.0209	0.1006	0.3764
mix_3	0.1885	0.1367	0.2138	0.1043	0.0227	0.0965	0.2376
mix_4	0.1194	0.0173	0.1029	0.0751	0.0038	0.2547	0.4269
mix_5	0.126	0.0726	0.1425	0.1006	0.0083	0.1471	0.4029
mix_6	0.1256	0.0192	0.1086	0.0911	0.003	0.2159	0.4367
mix_7	0.156	0.0986	0.1679	0.1046	0.0141	0.1232	0.3356
mix_8	0.1603	0.066	0.1615	0.1144	0.0164	0.1025	0.3788
mix_9	0.1031	0.0033	0.0817	0.0788	0	0.2462	0.487
mix_10	0.1844	0.0618	0.1419	0.0752	0.0073	0.2586	0.2707
mix_11	0.1497	0.0246	0.0953	0.1207	0.0056	0.1145	0.4897
mix_12	0.0993	0.0582	0.1418	0.0858	0.0073	0.22	0.3876
mix_13	0.1415	0.0088	0.1212	0.0604	0.0096	0.3425	0.316
mix_14	0.1287	0.0208	0.0994	0.0686	0.0019	0.2721	0.4084
mix_15	0.1456	0.0502	0.145	0.1009	0.0119	0.1466	0.3997
mix_16	0.2429	0.1086	0.2155	0.1003	0.0302	0.0896	0.2129
mix_17	0.2205	0.0999	0.216	0.1055	0.0316	0.1213	0.2052
mix_18	0.1975	0.0373	0.1342	0.0642	0.0174	0.3165	0.2329
mix_19	0.176	0.1247	0.215	0.1062	0.0192	0.0971	0.2619
mix_20	0.1805	0	0.1048	0.0912	0.0127	0.2396	0.3712
mix_21	0.1771	0.0706	0.1823	0.0752	0.0221	0.2338	0.2388
mix_22	0.0865	0.0627	0.1101	0.1006	0	0.1849	0.4551
mix_23	0.1445	0.0121	0.1002	0.0868	0.0061	0.2314	0.419
mix_24	0.1429	0.0512	0.1501	0.0839	0.0117	0.2011	0.3591
mix_25	0.1312	0	0.084	0.0735	0	0.2699	0.4414
mix_26	0.1689	0.1015	0.198	0.0816	0.0213	0.2125	0.2162
mix_27	0.12	0.0262	0.1024	0.1073	0.002	0.1687	0.4733
mix_28	0.1483	0.0229	0.1171	0.0858	0.0066	0.2155	0.4037
mix_29	0.1178	0.0429	0.1075	0.1218	0.0028	0.1267	0.4805
mix_30	0.1135	0.0144	0.1013	0.0774	0.0011	0.2646	0.4277
mix_31	0.1317	0.0414	0.1267	0.0826	0.0075	0.2451	0.365
mix_32	0.1181	0.0254	0.0896	0.0649	0	0.301	0.4011
mix_33	0.1466	0.0534	0.1528	0.0696	0.0121	0.2761	0.2895
mix_34	0.2083	0.1079	0.1936	0.1004	0.0243	0.1774	0.1882
mix_35	0.0955	0.0471	0.118	0.09	0.0049	0.2185	0.4259
mix_36	0.1189	0.0794	0.1342	0.09	0.0042	0.1868	0.3865
mix_37	0.1834	0.095	0.1963	0.0986	0.0203	0.1311	0.2754
mix_38	0.1606	0.0952	0.1776	0.1096	0.0143	0.1128	0.3299
mix_39	0.1389	0.0186	0.1117	0.0947	0.0091	0.2042	0.4228
mix_40	0.1007	0.0834	0.1365	0.0762	0.0021	0.2354	0.3656
mix_41	0.1755	0.107	0.1995	0.0842	0.0155	0.1814	0.2368
mix_42	0.1693	0	0.0696	0.0613	0.0056	0.3688	0.3253
mix_43	0.192	0.0925	0.1704	0.076	0.016	0.2246	0.2286
mix_44	0.1827	0.009	0.1032	0.097	0.0106	0.1978	0.3997
mix_45	0.1305	0.0694	0.1241	0.1131	0.0043	0.1474	0.4113
mix_46	0.1237	0.1129	0.1832	0.0816	0.0078	0.2105	0.2803
mix_47	0.291	0.1096	0.2423	0.1156	0.0454	0.0607	0.1354
mix_48	0.1816	0.0306	0.1129	0.0671	0.0111	0.3074	0.2893
mix_49	0.0942	0.1054	0.127	0.0999	0	0.1598	0.4136
mix_50	0.1043	0.0312	0.1074	0.0949	0.0067	0.1995	0.4559
mix_51	0.1996	0.1147	0.2103	0.0883	0.0214	0.1679	0.1978
mix_52	0.1888	0.0901	0.1882	0.0904	0.0159	0.1825	0.244
mix_53	0.2573	0.0584	0.1532	0.0904	0.017	0.1909	0.2328
mix_54	0.1455	0.0451	0.1329	0.0784	0.0092	0.244	0.3449
mix_55	0.174	0.0556	0.1607	0.0652	0.018	0.2856	0.2408
mix_56	0.1013	0.0345	0.1145	0.0688	2e-04	0.2839	0.3967
mix_57	0.1017	0.0186	0.093	0.0825	0	0.2204	0.4838
mix_58	0.1294	0.0488	0.1452	0.0915	0.01	0.1898	0.3854
mix_59	0.2113	0.1218	0.1829	0.098	0.0164	0.1375	0.2319
mix_60	0.1687	0.0457	0.1459	0.0715	0.0154	0.2726	0.2802
mix_61	0.1288	0.0693	0.1457	0.0874	0.0082	0.1769	0.3838
mix_62	0.1541	0.1087	0.1954	0.0859	0.0172	0.1374	0.3013
mix_63	0.1149	0.047	0.1398	0.084	0.0071	0.2175	0.3897
mix_64	0.3029	0.1065	0.2285	0.1135	0.0351	0.0689	0.1446
mix_65	0.1851	0.1171	0.1976	0.0986	0.0161	0.157	0.2285
mix_66	0.2109	0.0865	0.1523	0.1148	0.0091	0.1187	0.3077
mix_67	0.1503	0.0622	0.1348	0.1102	0.005	0.1027	0.435
mix_68	0.1703	0.0694	0.1677	0.0943	0.0174	0.1912	0.2898
mix_69	0.1733	0.0093	0.1184	0.0811	0.0108	0.2522	0.3548
mix_70	0.1716	0.1038	0.2055	0.0878	0.0217	0.1812	0.2283
mix_71	0.1804	0.0768	0.1767	0.0982	0.0144	0.1453	0.3081
mix_72	0.1597	0.109	0.2046	0.1026	0.0171	0.1096	0.2976
mix_73	0.1741	0.1046	0.1991	0.0854	0.0245	0.173	0.2393
mix_74	0.1182	0	0.0682	0.067	0.0026	0.2963	0.4477
mix_75	0.178	0.0432	0.143	0.0682	0.0099	0.2692	0.2886
mix_76	0.1119	0.1145	0.1647	0.113	0.0076	0.0814	0.4068
mix_77	0.1423	0.0331	0.1133	0.0795	0.0047	0.2392	0.3878
mix_78	0.1758	0.0595	0.168	0.0849	0.017	0.2077	0.2872
mix_79	0.2517	0.1367	0.2009	0.0874	0.0214	0.0955	0.2065
mix_80	0.2267	0.0761	0.15	0.0759	0.0114	0.2196	0.2403
mix_81	0.2618	0.1029	0.2012	0.111	0.0223	0.113	0.1879
mix_82	0.2013	0.184	0.2495	0.1151	0.0317	0.0571	0.1613
mix_83	0.1408	0.084	0.1754	0.0717	0.0213	0.2576	0.2491
mix_84	0.1452	0.0839	0.1606	0.1041	0.0111	0.1366	0.3586
mix_85	0.1877	0.1362	0.1982	0.111	0.0178	0.1062	0.2429
mix_86	0.145	0.0445	0.1396	0.0832	0.0098	0.2104	0.3674
mix_87	0.0678	0.0042	0.0666	0.0712	0	0.2468	0.5434
mix_88	0.1138	0.0341	0.1128	0.0785	0.0045	0.2388	0.4175
mix_89	0.3289	0.0952	0.2049	0.1006	0.0278	0.1028	0.1398
mix_90	0.062	0.0071	0.0723	0.0856	0	0.2297	0.5434
mix_91	0.0892	0.0606	0.1195	0.0889	0.0023	0.2039	0.4356
mix_92	0.1539	0.0194	0.1147	0.0827	0.0101	0.2642	0.355
mix_93	0.2007	0.1377	0.2302	0.0883	0.0345	0.1076	0.201
mix_94	0.0845	0.0178	0.0891	0.0768	0	0.2693	0.4626
mix_95	0.1228	0.0169	0.1178	0.0707	0.0048	0.3068	0.3602
mix_96	0.171	0.0516	0.1375	0.0946	0.011	0.2045	0.3297
mix_97	0.0975	0.0332	0.082	0.0785	0	0.2756	0.4332
mix_98	0.1099	0.0579	0.1306	0.065	0.0014	0.3028	0.3324
mix_99	0.2332	0.1694	0.2115	0.1066	0.0253	0.0652	0.1889
mix_100	0.0921	0.0692	0.143	0.0798	0.0068	0.2377	0.3715
