Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.0835435921512305	1.11511114053897	0	0	0.00647974904159986	0.175934510648823	9999	0.593487545118288	0.864600369780482	1.38106899238063
mix_2	0.0984407656674502	1.05114326820379	0	0	0.00631957803958576	0.225805331827418	9999	0.587289624636423	0.870499603164654	1.38170894373824
mix_3	0.196051994943305	1.14442307919997	0	0	0.013763495822773	0.0184563320841496	9999	0.603391467208279	0.857441990793666	1.3726949020502
mix_4	0.21221000253122	1.08040677326451	0	0	0.0100300142801693	0.0710525011893772	9999	0.600817543373957	0.858349191402689	1.37369929126527
mix_5	0.177468254568009	1.12488075457607	0	0	0.00741080125806258	0.0629350916480558	9999	0.605429664428843	0.854093227437557	1.3726949020502
mix_6	0.164380704532532	1.0812125884528	0	0	0.0154761937149945	0.11023378716009	9999	0.597370568861443	0.860673310833604	1.37130327386042
mix_7	0.261019078466943	1.04569892835293	0	0	0.00968431098070685	0.0472230598429229	9999	0.600106263213664	0.859749361416528	1.3636253776435
mix_8	0.226844131510533	0.986595842062963	0	0	0.0134635871768877	0.144620123910165	9999	0.590347969510731	0.867337749517988	1.37152368466055
mix_9	0.11031125762251	1.13048577906629	0	0	0.0145214091690235	0.119441477378415	9999	0.601445769704741	0.856561343608506	1.37475992323624
mix_10	0.278702020751927	1.03147738644386	0	0	0.00529791058250716	0.0595995409877888	9999	0.596599889516431	0.86338288364558	1.37507685876608
mix_11	0.0832314715609496	1.08823702560642	0	0	0.0126887691338355	0.193765171898265	9999	0.588329066308581	0.869280149164733	1.37792243819947
mix_12	0.0900443397788894	1.12309933089027	0	0	0.0156706736009749	0.159505403397506	9999	0.595756754375245	0.861790623130133	1.38831974766764
mix_13	0.291099964322214	1.02156666329282	0	0	0.00184659026308733	0.0545791076458273	9999	0.6006505223246	0.859483524428284	1.36909232552395
mix_14	0.296186834514363	1.02056487963479	0	0	0.00442128242898213	0.0600799248150123	9999	0.597479951514942	0.862504313670194	1.38125292139315
mix_15	0.251773070457017	1.07854631342101	0	0	0.00204808130225224	0.0271141894208016	9999	0.608804998273956	0.851795512738467	1.35948165460108
mix_16	0.201044734506291	1.11039754148229	0	0	0.00979392893726997	0.0546744146945068	9999	0.599263602066974	0.860650511858331	1.37591061962036
mix_17	0.42130106799833	0.945463806135913	0	0	0.00173538237832673	0	9999	0.58998583155021	0.873081893776402	1.36850025651257
mix_18	0.0966394256632844	1.04648918747687	0	0	0.0132926084297338	0.220939549107877	9999	0.582523280453531	0.874960581953463	1.37736077067776
mix_19	0.205533515812586	1.03611034074364	0	0	0.0141042582359995	0.114910267468503	9999	0.59648457911527	0.861434611105259	1.37065838226073
mix_20	0.187291395846871	1.16803712328142	0	0	0.00796548227778149	0	9999	0.60564527281949	0.856405706525837	1.36329400140607
