B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S10001	0.1818	0.5313	0.0031	0.0594	0.01	0.2144
S10006	0.2174	0.3407	0.1603	0.0729	0.0113	0.1974
S1001	0.1761	0.2922	0.2854	0.0572	0.0087	0.1804
S10010	0.1796	0.3819	0.1185	0.0516	0.0064	0.2619
S10011	0.1507	0.5374	0.0926	0.0414	0.0093	0.1686
S10014	0.2213	0.3775	0.1555	0.0606	0.0095	0.1756
S10026	0.2119	0.3682	0.1837	0.0404	0.0075	0.1884
S10032	0.2518	0.3119	0.1388	0.0528	0.0045	0.2402
S10036	0.208	0.3536	0.2074	0.0534	0.015	0.1627
S10042	0.2163	0.332	0.2045	0.0532	0.0056	0.1885
S10044	0.2103	0.3481	0.1919	0.054	0.0055	0.1902
S10049	0.2378	0.3617	0.1702	0.0596	0.0035	0.1673
S10057	0.1483	0.4243	0.2253	0.0576	0.0139	0.1305
S10062	0.2158	0.3997	0.1056	0.0543	0.0046	0.22
S10066	0.1662	0.4927	0.0301	0.0587	0.0072	0.2451
S10067	0.1847	0.3759	0.2535	0.0429	0.006	0.137
S1007	0.2016	0.389	0.1278	0.0706	0.0068	0.2042
S10073	0.1586	0.4361	0.2177	0.0369	0.0037	0.1469
S10077	0.2216	0.436	0.0684	0.059	0.0051	0.2099
S10080	0.1997	0.3786	0.1727	0.0478	0.0064	0.1947
S10082	0.1962	0.4755	0.1096	0.0448	0.0037	0.1701
S10087	0.2432	0.37	0.1436	0.0464	0.0042	0.1927
S10089	0.1742	0.4449	0.0797	0.066	0.0079	0.2271
S1009	0.2236	0.4936	0.1266	0.0359	0.0034	0.1169
S10090	0.1446	0.4512	0.112	0.0573	0.0118	0.2231
S10093	0.1451	0.347	0.2174	0.0844	0.0193	0.1867
S10094	0.2067	0.3586	0.1448	0.0598	0.0019	0.2281
S1010	0.2077	0.4558	0.0956	0.0429	0.0043	0.1936
S10111	0.1874	0.4266	0.1846	0.0466	0.0057	0.149
S10116	0.1149	0.5152	0.2292	0.0356	0.0078	0.0973
S10119	0.1884	0.4264	0.1931	0.0451	0.0097	0.1373
S10121	0.2132	0.3576	0.1877	0.055	0.0031	0.1833
S10130	0.1615	0.4154	0.1001	0.0593	0.0111	0.2526
S10140	0.2851	0.3004	0.1008	0.0633	0.0035	0.247
S10142	0.2403	0.2341	0.3466	0.0484	0.0024	0.1282
S10150	0.184	0.3186	0.1582	0.0665	0.0092	0.2635
S10155	0.2275	0.4401	0.1127	0.0456	0.0046	0.1695
S1016	0.1788	0.345	0.234	0.0529	0.0142	0.1751
S10163	0.1553	0.5063	0.1075	0.0437	0.0087	0.1786
S10167	0.1648	0.2976	0.2971	0.0484	0.0128	0.1792
S10168	0.1691	0.3426	0.3163	0.0466	0.0046	0.1208
S10173	0.2376	0.4925	0.1489	0.0295	0.0068	0.0847
S10175	0.2228	0.343	0.186	0.0533	0.0066	0.1883
S10179	0.1686	0.3	0.3448	0.0451	0.0062	0.1353
S10186	0.2235	0.4343	0.1803	0.0374	0.0084	0.1161
S1019	0.2098	0.4039	0.1539	0.0595	0.0058	0.1672
S10190	0.2442	0.4082	0.158	0.0423	0.0046	0.1427
S10195	0.1902	0.4049	0.0917	0.0616	0.0084	0.2432
S10196	0.1971	0.3936	0.1588	0.0638	0.0051	0.1815
S10200	0.1702	0.2764	0.262	0.0618	0.0066	0.223
S10201	0.2156	0.2949	0.0812	0.09	0.0065	0.3117
S10202	0.1506	0.3419	0.3037	0.0409	0.0075	0.1554
