ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S10001,8.189642,8.787494,8.678008,10.0302,8.163002,7.704028
S10006,8.08688,8.692336,8.629196,9.957586,8.58773,7.820202
S1001,8.019414,8.817204,8.584944,10.010146,8.744866,7.89132
S10010,8.019416,8.990684,8.69441,10.32938,8.358886,7.760688
S10011,8.215714,8.925874,8.68009,9.988044,8.698828,7.795568
S10014,7.937918,8.629672,8.643286,9.948452,8.307696,7.713616
S10026,8.11844,8.75083,8.651682,10.019342,8.680896,7.880548
S10032,8.19285,9.039362,8.69183,10.071002,8.61826,7.871546
S10036,7.733844,8.440198,8.3486,10.004552,8.394924,7.658502
S10042,8.341248,9.040384,8.874568,10.285852,8.672674,7.980392
S10044,8.2249,8.934372,8.779658,10.209408,8.754402,8.13345
S10049,8.24293,8.764292,8.66578,10.046432,8.629342,8.038488
S10057,7.8658,8.376506,8.508066,9.649298,8.45956,7.5341
S10062,8.224958,8.994448,8.739914,10.138554,8.603312,7.978918
S10066,8.182714,9.028448,8.64592,10.351076,8.362678,7.762544
S10067,8.061646,8.73845,8.740324,9.951196,8.602222,7.987042
S1007,8.11571,8.701124,8.567206,9.942888,8.549272,7.761788
S10073,8.335008,8.921808,8.909454,10.139506,8.792234,8.166624
S10077,8.306744,8.976264,8.75514,10.023592,8.241456,7.683228
S10080,8.36967,9.159718,8.911464,10.270092,8.771002,7.907534
S10082,8.153204,8.882128,8.651708,9.991858,8.738374,7.947046
S10087,8.356898,8.833992,8.719802,9.9981,8.413826,7.967868
S10089,8.140038,8.674454,8.566944,10.032984,8.216688,7.57096
S1009,8.585382,8.893304,8.856908,9.897656,8.816024,8.009728
S10090,7.880286,8.420318,8.504272,9.841712,8.023192,7.51831
S10093,7.914868,8.716282,8.450658,10.02264,8.761202,7.733012
S10094,8.116414,9.009436,8.70655,10.15684,8.616,7.922998
S1010,8.435546,8.980398,8.802994,10.179352,8.597248,7.952678
S10111,8.221738,8.914758,8.82404,10.01805,8.73397,8.116328
S10116,8.345406,8.930616,8.96552,9.790666,8.67258,7.933602
S10119,8.17059,8.726668,8.656726,9.992084,8.704894,7.931988
S10121,8.00738,8.70496,8.65725,9.981852,8.42941,7.824678
S10130,8.233502,8.925828,8.68425,10.132294,8.278864,7.654174
S10140,8.130818,8.975944,8.647388,10.22027,8.348556,7.790392
S10142,8.072706,8.61221,8.738912,9.765354,8.418862,7.85592
S10150,8.275462,8.974942,8.749172,10.490718,8.165348,7.566924
S10155,8.214588,8.942016,8.7779,10.157378,8.741136,7.989142
S1016,7.789234,8.462474,8.460394,9.890194,8.201798,7.632268
S10163,8.501456,9.108814,8.91256,10.277292,8.411282,7.875326
S10167,8.203964,8.806874,8.771756,10.106092,8.783268,8.01537
S10168,8.14612,8.661824,8.711308,9.842442,8.623266,7.929242
S10173,8.376026,8.88403,8.691454,9.959932,8.90526,7.990984
S10175,8.064938,8.843378,8.664032,10.075378,8.447798,7.786908
S10179,8.401148,8.923898,9.006306,10.087994,8.868282,8.311904
S10186,8.055588,8.604736,8.682562,9.657184,8.64653,8.018598
S1019,8.03917,8.628448,8.620996,9.815368,8.498772,7.778314
S10190,8.355818,8.986844,8.699568,10.192506,9.031756,8.224058
S10195,8.067446,8.812014,8.712442,10.112904,8.42865,7.83172
S10196,8.248244,9.012874,8.894236,10.299432,8.752364,8.084202
S10200,7.979786,8.807552,8.672622,10.072444,8.432318,7.76382
S10201,7.851448,8.749006,8.546776,10.261306,7.7688,7.39342
S10202,8.110556,8.909574,8.876072,10.112072,8.353906,7.765732
S10205,8.28704,8.930024,8.903872,10.229302,8.60848,8.069728
S10211,7.736268,8.549574,8.444008,9.732498,8.526784,7.769522
S10221,8.298618,9.046126,8.78729,10.270368,8.883784,8.165666
S10222,7.919774,8.669866,8.42862,10.015318,8.18327,7.61582
S10226,8.2437,8.898414,8.700396,10.161782,8.383604,7.89706
S10227,7.984398,8.873898,8.613732,10.140954,8.532872,7.812008
S10228,8.06794,8.764774,8.768338,10.138682,8.5022,7.895612
S10232,8.257588,8.605702,8.61104,9.738896,8.822878,7.813886
S10248,7.980282,8.61983,8.508832,9.999798,8.788614,7.910542
S10249,8.169446,9.165456,8.680848,10.271874,8.388876,7.636362
S1025,8.303918,8.820688,8.7448,9.971438,8.60265,7.990886
S10266,8.283704,9.00729,8.726514,10.286904,8.388506,7.753304
S10269,8.082046,8.650802,8.605488,9.996706,8.239808,7.672592
S10272,7.801832,8.390976,8.433562,10.002668,8.242094,7.633696
S10273,8.250702,8.76561,8.680502,10.07162,8.29805,7.699196
S10274,8.167676,8.854896,8.714568,10.117506,8.702788,7.906916
S1028,8.116284,8.741592,8.589874,10.233344,8.786062,7.941952
S10280,8.32473,9.19718,8.903828,10.147468,8.268112,8.115692
S10283,8.17118,8.88824,8.838128,9.866434,8.783562,8.08978
S1029,8.129196,8.773012,8.73025,10.014968,8.376226,7.895792
S10292,8.00328,8.54114,8.562304,9.730254,8.559824,7.83484
S10294,7.977262,8.68803,8.640788,9.854846,8.759466,7.990794
S10302,8.062912,8.752774,8.6717,10.077262,8.751436,7.927928
S10303,8.114766,8.786546,8.751024,9.96476,8.459926,7.72612
S10323,8.13175,8.831946,8.657468,10.062564,8.306924,7.80336
S10326,7.991466,8.857306,8.731266,10.070678,8.329878,7.869058
S10328,8.179618,8.880428,8.999254,10.092338,8.4505,7.962348
S10329,8.243476,8.904456,8.761988,10.002982,8.493126,7.893888
S10336,8.013716,8.85169,8.695392,10.008512,8.441558,7.676012
S10340,8.094784,8.781058,8.63035,10.080124,8.505492,7.839816
S10347,7.913328,8.564892,8.582008,9.6066,8.26085,7.499232
S10353,8.275644,8.880574,8.694174,10.114046,8.532528,7.798294
S10356,8.257918,8.802652,8.628758,9.974058,8.435462,7.722756
S10358,8.078518,8.912062,8.760242,10.200406,8.308014,7.854126
S10365,7.967772,8.776826,8.507962,10.116802,8.333442,7.652804
S1037,8.237578,8.68444,8.847938,9.822168,8.731182,8.102166
S10373,8.278298,8.831008,8.77698,10.034676,8.741564,7.980892
S10374,7.806254,8.316702,8.194912,9.766238,8.525758,7.57222
S10375,8.26519,9.10993,8.861198,10.315822,8.888858,7.99907
S10377,8.136668,8.66857,8.466418,9.829616,8.815674,7.770216
S10378,8.406776,9.022024,8.912514,10.262954,8.857354,8.097634
S10390,7.943698,8.44177,8.368912,9.60176,8.188412,7.326556
S10391,7.905474,8.629084,8.486404,9.782168,8.487314,7.750196
S10393,7.929772,8.690038,8.568912,10.10211,8.972202,7.90907
